,FPTS,Position,Price,Value
Clyde Edwards-Helaire,97.5,rb,1.53,5.416666666666667
Mike Davis,94.2,rb,1.47,5.233333333333333
Alexander Mattison,93.9,rb,1.47,5.216666666666667
Jamaal Williams,93.8,rb,1.47,5.211111111111111
Latavius Murray,93.6,rb,1.46,5.199999999999999
Miles Sanders,91.2,rb,1.43,5.066666666666666
Christian McCaffrey,90.5,rb,1.42,5.027777777777778
Kenneth Gainwell,90.4,rb,1.42,5.022222222222222
Kareem Hunt,88.0,rb,1.38,4.888888888888889
Boston Scott,85.6,rb,1.34,4.7555555555555555
D'Ernest Johnson,85.1,rb,1.33,4.727777777777778
D'Onta Foreman,84.9,rb,1.33,4.716666666666667
Brandon Bolden,83.1,rb,1.3,4.616666666666666
Ty Johnson,83.0,rb,1.3,4.611111111111111
Zack Moss,82.2,rb,1.29,4.566666666666666
Mark Ingram II,81.6,rb,1.28,4.533333333333333
Rex Burkhead,79.3,rb,1.24,4.405555555555555
Nyheim Hines,72.6,rb,1.14,4.033333333333333
Kenyan Drake,72.5,rb,1.14,4.027777777777778
Ronald Jones II,69.2,rb,1.09,3.8444444444444446
Khalil Herbert,64.9,rb,1.02,3.605555555555556
Justin Jackson,64.2,rb,1.01,3.566666666666667
Jordan Howard,60.5,rb,0.95,3.361111111111111
Alex Collins,59.8,rb,0.94,3.322222222222222
Samaje Perine,56.2,rb,0.89,3.1222222222222222
Duke Johnson Jr.,55.1,rb,0.87,3.0611111111111113
Dontrell Hilliard,53.7,rb,0.85,2.9833333333333334
Ameer Abdullah,51.5,rb,0.81,2.861111111111111
David Johnson,49.3,rb,0.78,2.738888888888889
Derrick Gore,48.1,rb,0.76,2.6722222222222225
Jaret Patterson,45.9,rb,0.73,2.55
Travis Homer,45.8,rb,0.73,2.5444444444444443
Jeremy McNichols,45.6,rb,0.72,2.533333333333333
Damien Williams,44.7,rb,0.71,2.4833333333333334
Jeff Wilson Jr.,44.5,rb,0.71,2.4722222222222223
Kyle Juszczyk,43.8,rb,0.7,2.433333333333333
Chris Carson,42.1,rb,0.67,2.338888888888889
Phillip Lindsay,41.4,rb,0.66,2.3
Tevin Coleman,40.5,rb,0.64,2.25
Peyton Barber,39.9,rb,0.64,2.216666666666667
DeeJay Dallas,39.1,rb,0.62,2.1722222222222225
Dare Ogunbowale,37.1,rb,0.59,2.0611111111111113
Giovani Bernard,36.1,rb,0.58,2.0055555555555555
Matt Breida,35.7,rb,0.57,1.9833333333333334
Chris Evans,34.8,rb,0.56,1.9333333333333331
Carlos Hyde,33.8,rb,0.54,1.8777777777777775
Le'Veon Bell,33.1,rb,0.53,1.838888888888889
Ty'Son Williams,32.9,rb,0.53,1.8277777777777777
Ke'Shawn Vaughn,32.6,rb,0.52,1.8111111111111111
Demetric Felton Jr.,32.5,rb,0.52,1.8055555555555556
Craig Reynolds,28.2,rb,0.45,1.5666666666666667
Elijhaa Penny,26.9,rb,0.43,1.4944444444444445
Salvon Ahmed,26.6,rb,0.43,1.4777777777777779
JaMycal Hasty,26.5,rb,0.43,1.4722222222222223
Trey Sermon,25.3,rb,0.41,1.4055555555555557
Royce Freeman,24.6,rb,0.4,1.3666666666666667
Corey Clement,22.9,rb,0.37,1.2722222222222221
Adrian Peterson,22.6,rb,0.37,1.2555555555555555
Eno Benjamin,22.0,rb,0.36,1.2222222222222223
Jermar Jefferson,21.7,rb,0.35,1.2055555555555555
Malcolm Brown,19.5,rb,0.32,1.0833333333333333
James White,19.2,rb,0.32,1.0666666666666667
Kene Nwangwu,19.0,rb,0.31,1.0555555555555556
