,FPTS,Position,Price,Value
Ross Dwelley,11.1,te,0.36,0.6166666666666667
Adam Shaheen,11.0,te,0.36,0.6111111111111112
Antony Auclair,10.7,te,0.35,0.5944444444444444
Kylen Granson,10.6,te,0.35,0.5888888888888889
Tommy Sweeney,10.4,te,0.34,0.5777777777777778
Chris Herndon IV,10.0,te,0.33,0.5555555555555556
Blake Bell,9.7,te,0.32,0.5388888888888889
Noah Gray,9.6,te,0.32,0.5333333333333333
Sean McKeon,8.7,te,0.3,0.4833333333333333
Tyree Jackson,8.2,te,0.28,0.4555555555555555
Drew Sample,8.1,te,0.28,0.44999999999999996
Chris Myarick,7.7,te,0.27,0.4277777777777778
Josh Oliver,6.6,te,0.24,0.36666666666666664
Luke Farrell,5.6,te,0.21,0.3111111111111111
Charlie Woerner,5.2,te,0.2,0.2888888888888889
Tre' McKitty,4.5,te,0.18,0.25
Parker Hesse,4.3,te,0.18,0.23888888888888887
Garrett Griffin,3.9,te,0.17,0.21666666666666667
Kendall Blanton,3.7,te,0.16,0.20555555555555557
Kenny Yeboah,3.6,te,0.16,0.2
Tyler Davis,3.5,te,0.16,0.19444444444444445
Shane Zylstra,3.4,te,0.15,0.18888888888888888
Kaden Smith,3.3,te,0.15,0.18333333333333332
Jeremy Sprinkle,3.1,te,0.15,0.17222222222222222
Daniel Brown,2.9,te,0.14,0.1611111111111111
Jack Stoll,2.2,te,0.12,0.12222222222222223
Mitchell Wilcox,1.6,te,0.11,0.08888888888888889
Derek Carrier,1.3,te,0.1,0.07222222222222223
Luke Stocker,1.2,te,0.09,0.06666666666666667
Richard Rodgers,1.1,te,0.09,0.061111111111111116
Demetrius Harris,1.0,te,0.09,0.05555555555555555
Johnny Mundt,0.9,te,0.09,0.05
Hunter Long,0.8,te,0.08,0.044444444444444446
Eric Tomlinson,0.7,te,0.08,0.03888888888888889
Nick Boyle,0.2,te,0.07,0.011111111111111112
Matthew Orzech,0.0,te,0.06,0.0
Daniel Helm,-0.1,te,0.06,-0.005555555555555556
Daniel Carlson,174.0,k,2.32,9.666666666666666
Nick Folk,171.0,k,2.27,9.5
Justin Tucker,162.0,k,2.11,9.0
Matt Gay,159.0,k,2.06,8.833333333333334
Greg Joseph,156.0,k,2.01,8.666666666666666
Matt Prater,154.0,k,1.98,8.555555555555555
Jake Elliott,150.0,k,1.91,8.333333333333334
Dustin Hopkins,147.0,k,1.86,8.166666666666666
Tyler Bass,143.0,k,1.79,7.944444444444445
Greg Zuerlein,140.0,k,1.74,7.777777777777778
Ryan Succop,138.0,k,1.71,7.666666666666667
Mason Crosby,134.0,k,1.64,7.444444444444445
Randy Bullock,130.0,k,1.58,7.222222222222222
Brandon McManus,129.0,k,1.56,7.166666666666667
Younghoe Koo,125.0,k,1.49,6.944444444444445
Graham Gano,123.0,k,1.46,6.833333333333333
Cairo Santos,116.0,k,1.34,6.444444444444445
Jason Sanders,115.0,k,1.32,6.388888888888889
Robbie Gould,112.0,k,1.27,6.222222222222222
Jason Myers,104.0,k,1.14,5.777777777777778
Michael Badgley,102.0,k,1.11,5.666666666666667
Joey Slye,100.0,k,1.07,5.555555555555555
Zane Gonzalez,98.0,k,1.04,5.444444444444445
Chase McLaughlin,93.0,k,0.96,5.166666666666667
Matthew Wright,87.0,k,0.85,4.833333333333333
Ka'imi Fairbairn,68.0,k,0.54,3.7777777777777777
Brett Maher,62.0,k,0.43,3.4444444444444446
Riley Patterson,59.0,k,0.38,3.2777777777777777
Matt Ammendola,55.0,k,0.32,3.0555555555555554
Rodrigo Blankenship,45.0,k,0.15,2.5
Brian Johnson,42.0,k,0.1,2.3333333333333335
Eddy Pineiro,38.0,k,0.03,2.111111111111111
Tristan Vizcaino,29.0,k,0.0,1.6111111111111112
Aldrick Rosas,22.0,k,0.0,1.2222222222222223
Lirim Hajrullahu,20.0,k,0.0,1.1111111111111112
Ryan Santoso,18.0,k,0.0,1.0
Elliott Fry,17.0,k,0.0,0.9444444444444444
Dominik Eberle,13.0,k,0.0,0.7222222222222222
Chris Blewitt,11.0,k,0.0,0.6111111111111112
Josh Lambo,5.0,k,0.0,0.2777777777777778
Chris Naggar,4.0,k,0.0,0.2222222222222222
Cody Parkey,3.0,k,0.0,0.16666666666666666
Cameron Nizialek,0.0,k,0.0,0.0
Dallas Cowboys,185.0,dst,3.16,10.277777777777779
New England Patriots,158.0,dst,2.32,8.777777777777779
Miami Dolphins,155.0,dst,2.22,8.61111111111111
Buffalo Bills,151.0,dst,2.1,8.38888888888889
New Orleans Saints,145.0,dst,1.91,8.055555555555555
Tampa Bay Buccaneers,141.0,dst,1.78,7.833333333333333
Indianapolis Colts,138.0,dst,1.69,7.666666666666667
Kansas City Chiefs,131.0,dst,1.47,7.277777777777778
Arizona Cardinals,126.0,dst,1.31,7.0
Minnesota Vikings,124.0,dst,1.25,6.888888888888889
Tennessee Titans,123.0,dst,1.22,6.833333333333333
Los Angeles Rams,121.0,dst,1.15,6.722222222222222
Denver Broncos,119.0,dst,1.09,6.611111111111111
San Francisco 49ers,118.0,dst,1.06,6.555555555555555
Green Bay Packers,117.0,dst,1.03,6.5
Philadelphia Eagles,111.0,dst,0.84,6.166666666666667
Cincinnati Bengals,108.0,dst,0.74,6.0
Chicago Bears,105.0,dst,0.65,5.833333333333333
Cleveland Browns,104.0,dst,0.62,5.777777777777778
Seattle Seahawks,95.0,dst,0.34,5.277777777777778
Washington Commanders,92.0,dst,0.24,5.111111111111111
Carolina Panthers,89.0,dst,0.15,4.944444444444445
Houston Texans,87.0,dst,0.08,4.833333333333333
New York Giants,86.0,dst,0.05,4.777777777777778
Baltimore Ravens,85.0,dst,0.02,4.722222222222222
Los Angeles Chargers,78.0,dst,0.0,4.333333333333333
Las Vegas Raiders,65.0,dst,0.0,3.611111111111111
Jacksonville Jaguars,64.0,dst,0.0,3.5555555555555554
New York Jets,58.0,dst,0.0,3.2222222222222223
