Player,FPTS,FPTS/G,ROST
Trevor Lawrence,33.4,33.4,91.2%
Jalen Hurts,30.4,30.4,100.0%
Russell Wilson,26.6,26.6,69.9%
Jared Goff,26.1,26.1,82.5%
Kirk Cousins,25.0,25.0,20.8%
Patrick Mahomes II,22.8,22.8,100.0%
Geno Smith,22.6,22.6,62.4%
Brock Purdy,21.7,21.7,91.8%
Josh Allen,20.6,20.6,100.0%
Justin Herbert,19.5,19.5,98.6%
Daniel Jones,19.4,19.4,19.3%
Ryan Tannehill,18.8,18.8,1.6%
Joe Burrow,17.6,17.6,39.5%
Deshaun Watson,17.3,17.3,26.1%
Dak Prescott,15.7,15.7,97.5%
Baker Mayfield,14.2,14.2,52.1%
Tua Tagovailoa,12.6,12.6,97.0%
Tom Brady,12.1,12.1,0.8%
Mitch Trubisky,12.0,12.0,1.8%
Sam Darnold,11.8,11.8,0.3%
Colt McCoy,11.2,11.2,0.0%
Mike White,10.7,10.7,0.1%
Tyrod Taylor,9.9,9.9,0.7%
Jeff Driskel,9.1,9.1,0.0%
Mac Jones,8.3,8.3,3.8%
Tyler Huntley,6.6,6.6,0.1%
Davis Mills,6.2,6.2,0.0%
Derek Carr,4.6,4.6,34.8%
Brett Rypien,3.6,3.6,0.0%
Kenny Pickett,1.6,1.6,17.1%
Josh Johnson,0.7,0.7,0.0%
Kyler Murray,0.7,0.7,73.2%
Anthony Brown,0.1,0.1,0.0%
Matt Corral,0.0,0.0,0.0%
Jacoby Brissett,0.0,0.0,0.1%
Gardner Minshew II,-0.1,-0.1,19.2%
Joe Flacco,-2.0,-2.0,4.1%
,,,
,,,
