Player,FPTS,FPTS/G,ROST
Joe Burrow,28.7,28.7,39.5%
Patrick Mahomes II,27.5,27.5,100.0%
Daniel Jones,26.6,26.6,19.3%
Jacoby Brissett,25.9,25.9,0.1%
Jimmy Garoppolo,25.4,25.4,2.8%
Jalen Hurts,24.2,24.2,100.0%
Justin Fields,23.6,23.6,86.7%
Andy Dalton,22.2,22.2,0.1%
Dak Prescott,20.6,20.6,97.5%
Derek Carr,20.3,20.3,34.8%
Ryan Tannehill,20.0,20.0,1.6%
Justin Herbert,19.7,19.7,98.6%
Aaron Rodgers,19.1,19.1,19.8%
Marcus Mariota,17.7,17.7,0.2%
Lamar Jackson,16.5,16.5,99.1%
Kenny Pickett,16.0,16.0,17.1%
Matthew Stafford,14.8,14.8,44.5%
Josh Allen,12.6,12.6,100.0%
Davis Mills,11.8,11.8,0.0%
Russell Wilson,10.7,10.7,69.9%
Mac Jones,10.1,10.1,3.8%
Matt Ryan,8.6,8.6,0.0%
Colt McCoy,8.3,8.3,0.0%
Taylor Heinicke,7.8,7.8,3.0%
Baker Mayfield,7.0,7.0,52.1%
Jared Goff,6.5,6.5,82.5%
Bryce Perkins,6.5,6.5,0.0%
Zach Wilson,5.7,5.7,3.4%
Nick Mullens,2.2,2.2,0.1%
Kirk Cousins,2.2,2.2,20.8%
Trace McSorley,2.0,2.0,0.1%
Cooper Rush,1.2,1.2,0.1%
Brock Purdy,0.3,0.3,91.8%
,,,
,,,
