Player,FPTS,FPTS/G,ROST
Justin Fields,42.7,42.7,86.7%
Patrick Mahomes II,35.1,35.1,100.0%
Josh Allen,26.8,26.8,100.0%
Tua Tagovailoa,24.1,24.1,97.0%
Geno Smith,21.8,21.8,62.4%
Jalen Hurts,20.0,20.0,100.0%
Joe Burrow,19.1,19.1,39.5%
Kyler Murray,19.0,19.0,73.2%
Derek Carr,18.4,18.4,34.8%
Lamar Jackson,17.5,17.5,99.1%
Kirk Cousins,17.4,17.4,20.8%
Trevor Lawrence,16.7,16.7,91.2%
Aaron Rodgers,16.6,16.6,19.8%
Tom Brady,15.2,15.2,0.8%
Taylor Heinicke,14.7,14.7,3.0%
Baker Mayfield,14.2,14.2,52.1%
Davis Mills,14.0,14.0,0.0%
Justin Herbert,13.1,13.1,98.6%
Jared Goff,12.4,12.4,82.5%
Andy Dalton,11.9,11.9,0.1%
Zach Wilson,10.6,10.6,3.4%
Matthew Stafford,10.5,10.5,44.5%
Mac Jones,9.7,9.7,3.8%
Marcus Mariota,7.6,7.6,0.2%
Malik Willis,7.2,7.2,0.1%
Sam Ehlinger,7.0,7.0,0.0%
Brandon Allen,0.8,0.8,0.0%
Nick Mullens,-0.1,-0.1,0.1%
P.J. Walker,-1.0,-1.0,0.6%
,,,
,,,
