Player,FPTS,FPTS/G,ROST
Josh Allen,36.2,36.2,100.0%
Patrick Mahomes II,30.5,30.5,100.0%
Jalen Hurts,27.7,27.7,100.0%
Geno Smith,24.0,24.0,62.4%
Kirk Cousins,23.2,23.2,20.8%
Carson Wentz,22.9,22.9,0.2%
Tom Brady,19.7,19.7,0.8%
Joe Burrow,18.3,18.3,39.5%
Marcus Mariota,18.0,18.0,0.2%
Jimmy Garoppolo,18.0,18.0,2.8%
Derek Carr,17.9,17.9,34.8%
Kyler Murray,17.2,17.2,73.2%
Justin Fields,17.0,17.0,86.7%
Aaron Rodgers,16.9,16.9,19.8%
Lamar Jackson,15.8,15.8,99.1%
Jacoby Brissett,15.4,15.4,0.1%
Zach Wilson,14.6,14.6,3.4%
Justin Herbert,14.4,14.4,98.6%
Kenny Pickett,13.1,13.1,17.1%
Daniel Jones,12.4,12.4,19.3%
Trevor Lawrence,12.3,12.3,91.2%
Ryan Tannehill,11.5,11.5,1.6%
Matthew Stafford,11.3,11.3,44.5%
Russell Wilson,11.2,11.2,69.9%
Bailey Zappe,11.0,11.0,1.9%
Andy Dalton,10.9,10.9,0.1%
Matt Ryan,8.1,8.1,0.0%
Baker Mayfield,7.6,7.6,52.1%
Jared Goff,6.9,6.9,82.5%
Davis Mills,5.8,5.8,0.0%
Cooper Rush,4.0,4.0,0.1%
Skylar Thompson,3.6,3.6,0.0%
P.J. Walker,2.4,2.4,0.6%
Case Keenum,0.1,0.1,0.0%
Feleipe Franks,0.0,0.0,0.0%
Teddy Bridgewater,0.0,0.0,0.1%
Brock Purdy,-0.1,-0.1,91.8%
,,,
,,,
