Player,FPTS,FPTS/G,ROST
Justin Fields,40.4,40.4,86.7%
Patrick Mahomes II,32.1,32.1,100.0%
Tua Tagovailoa,23.4,23.4,97.0%
Jalen Hurts,22.8,22.8,100.0%
Matt Ryan,22.7,22.7,0.0%
Josh Allen,21.6,21.6,100.0%
Dak Prescott,21.2,21.2,97.5%
Trevor Lawrence,21.0,21.0,91.2%
Ryan Tannehill,19.4,19.4,1.6%
Aaron Rodgers,19.4,19.4,19.8%
Geno Smith,19.2,19.2,62.4%
Kenny Pickett,19.1,19.1,17.1%
Marcus Mariota,18.7,18.7,0.2%
Daniel Jones,18.3,18.3,19.3%
Derek Carr,17.9,17.9,34.8%
Kirk Cousins,17.5,17.5,20.8%
Tom Brady,17.0,17.0,0.8%
Jacoby Brissett,16.5,16.5,0.1%
Jimmy Garoppolo,15.9,15.9,2.8%
Davis Mills,15.8,15.8,0.0%
Russell Wilson,15.2,15.2,69.9%
Jared Goff,14.8,14.8,82.5%
Colt McCoy,13.9,13.9,0.0%
Justin Herbert,13.0,13.0,98.6%
John Wolford,9.8,9.8,0.0%
Andy Dalton,9.1,9.1,0.1%
Taylor Heinicke,6.4,6.4,3.0%
P.J. Walker,5.7,5.7,0.6%
Skylar Thompson,0.7,0.7,0.0%
Bryce Perkins,0.3,0.3,0.0%
Trey Lance,0.0,0.0,0.7%
Chase Daniel,0.0,0.0,0.0%
Kyle Allen,0.0,0.0,0.1%
Malik Willis,-2.4,-2.4,0.1%
,,,
,,,
