Player,FPTS,FPTS/G,ROST
Jared Goff,34.2,34.2,82.5%
Geno Smith,31.7,31.7,62.4%
Russell Wilson,26.5,26.5,69.9%
Tom Brady,25.4,25.4,0.8%
Josh Allen,24.5,24.5,100.0%
Patrick Mahomes II,24.4,24.4,100.0%
Kyler Murray,23.9,23.9,73.2%
Daniel Jones,21.6,21.6,19.3%
Justin Herbert,21.1,21.1,98.6%
Joe Burrow,20.1,20.1,39.5%
Zach Wilson,19.8,19.8,3.4%
Matt Ryan,18.8,18.8,0.0%
Cooper Rush,17.6,17.6,0.1%
Aaron Rodgers,17.1,17.1,19.8%
Jalen Hurts,17.0,17.0,100.0%
Jacoby Brissett,16.0,16.0,0.1%
Davis Mills,15.8,15.8,0.0%
Kenny Pickett,15.3,15.3,17.1%
Lamar Jackson,15.1,15.1,99.1%
Ryan Tannehill,14.4,14.4,1.6%
Jimmy Garoppolo,13.9,13.9,2.8%
Kirk Cousins,13.9,13.9,20.8%
Andy Dalton,13.7,13.7,0.1%
Teddy Bridgewater,11.8,11.8,0.1%
Derek Carr,11.5,11.5,34.8%
Justin Fields,10.2,10.2,86.7%
Carson Wentz,9.3,9.3,0.2%
Baker Mayfield,7.9,7.9,52.1%
Matthew Stafford,7.8,7.8,44.5%
Trevor Lawrence,6.7,6.7,91.2%
Bailey Zappe,6.0,6.0,1.9%
Marcus Mariota,4.9,4.9,0.2%
Tua Tagovailoa,3.4,3.4,97.0%
Mitch Trubisky,2.5,2.5,1.8%
Tyrod Taylor,2.4,2.4,0.7%
Brian Hoyer,1.5,1.5,0.2%
Miles Sanders,27.5,27.5,51.0%
Christian McCaffrey,27.3,27.3,100.0%
Jerick McKinnon,25.4,25.4,23.3%
Tony Pollard,18.2,18.2,99.8%
J.K. Dobbins,18.0,18.0,16.3%
Derrick Henry,17.5,17.5,99.8%
Josh Jacobs,17.4,17.4,99.6%
James Conner,17.4,17.4,90.2%
Austin Ekeler,16.4,16.4,100.0%
Chuba Hubbard,15.9,15.9,69.8%
Pierre Strong Jr.,15.0,15.0,0.8%
Ezekiel Elliott,14.1,14.1,56.3%
Zonovan Knight,13.7,13.7,0.3%
Marlon Mack,13.7,13.7,0.0%
