Player,FPTS,FPTS/G,ROST
Lamar Jackson,40.4,40.4,99.1%
Jalen Hurts,27.6,27.6,100.0%
Josh Allen,26.7,26.7,100.0%
Trevor Lawrence,25.2,25.2,91.2%
Joe Burrow,23.0,23.0,39.5%
Derek Carr,20.8,20.8,34.8%
Geno Smith,19.9,19.9,62.4%
Ryan Tannehill,19.8,19.8,1.6%
Mac Jones,18.9,18.9,3.8%
Kirk Cousins,18.3,18.3,20.8%
Patrick Mahomes II,18.1,18.1,100.0%
Jacoby Brissett,17.9,17.9,0.1%
Aaron Rodgers,17.1,17.1,19.8%
Jameis Winston,16.6,16.6,2.1%
Marcus Mariota,16.6,16.6,0.2%
Matt Ryan,15.3,15.3,0.0%
Mitch Trubisky,15.0,15.0,1.8%
Jared Goff,14.9,14.9,82.5%
Daniel Jones,14.7,14.7,19.3%
Tom Brady,14.7,14.7,0.8%
Justin Herbert,13.6,13.6,98.6%
Kyler Murray,13.4,13.4,73.2%
Cooper Rush,12.4,12.4,0.1%
Davis Mills,11.8,11.8,0.0%
Tua Tagovailoa,11.4,11.4,97.0%
Baker Mayfield,10.7,10.7,52.1%
Matthew Stafford,10.2,10.2,44.5%
Jimmy Garoppolo,9.4,9.4,2.8%
Russell Wilson,9.1,9.1,69.9%
Carson Wentz,8.6,8.6,0.2%
Justin Fields,6.9,6.9,86.7%
Joe Flacco,5.4,5.4,4.1%
Teddy Bridgewater,0.0,0.0,0.1%
C.J. Beathard,-0.1,-0.1,1.3%
Josh Jacobs,42.3,42.3,99.6%
Miles Sanders,28.0,28.0,51.0%
Nick Chubb,19.2,19.2,22.3%
Brian Robinson Jr.,18.5,18.5,89.3%
James Conner,18.0,18.0,90.2%
Kenneth Walker III,15.9,15.9,96.4%
Aaron Jones,15.9,15.9,92.5%
Jonathan Taylor,15.8,15.8,95.7%
JaMycal Hasty,15.5,15.5,0.1%
Ezekiel Elliott,15.5,15.5,56.3%
Samaje Perine,15.3,15.3,32.8%
AJ Dillon,14.8,14.8,71.7%
Isiah Pacheco,14.6,14.6,96.5%
Austin Ekeler,14.0,14.0,100.0%
Ty Johnson,13.8,13.8,0.1%
Benny Snell Jr.,12.8,12.8,0.0%
Derrick Henry,11.7,11.7,99.8%
Ameer Abdullah,11.5,11.5,0.5%
Travis Homer,11.3,11.3,0.1%
D'Onta Foreman,11.3,11.3,32.8%
David Montgomery,11.3,11.3,95.9%
Jeff Wilson Jr.,11.2,11.2,15.8%
Rhamondre Stevenson,11.2,11.2,92.9%
Saquon Barkley,11.2,11.2,99.9%
Rachaad White,10.9,10.9,95.8%
Kenneth Gainwell,10.6,10.6,23.6%
Jamaal Williams,10.6,10.6,17.8%
Zonovan Knight,10.3,10.3,0.3%
Najee Harris,9.9,9.9,93.6%
Latavius Murray,9.8,9.8,15.7%
Gus Edwards,9.2,9.2,82.0%
Devin Singletary,8.0,8.0,75.5%
Dare Ogunbowale,8.0,8.0,0.1%
Cordarrelle Patterson,7.1,7.1,2.0%
Darrynton Evans,6.7,6.7,0.1%
Chuba Hubbard,6.5,6.5,69.8%
D'Andre Swift,6.3,6.3,96.9%
Tony Pollard,6.1,6.1,99.8%
Kene Nwangwu,6.0,6.0,0.7%
Kyren Williams,6.0,6.0,94.4%
Dalvin Cook,5.6,5.6,23.9%
Antonio Gibson,5.4,5.4,50.0%
Tyler Allgeier,5.4,5.4,46.9%
Gary Brightwell,4.9,4.9,0.3%
Christian McCaffrey,4.9,4.9,100.0%
Elijah Mitchell,4.3,4.3,16.9%
Trayveon Williams,4.2,4.2,0.7%
Anthony McFarland Jr.,4.1,4.1,0.1%
Cam Akers,3.7,3.7,20.9%
Michael Carter,3.6,3.6,1.5%
Ronald Jones II,3.4,3.4,0.3%
Zamir White,2.8,2.8,1.3%
Jerick McKinnon,2.6,2.6,23.3%
Jordan Mason,2.5,2.5,0.9%
Boston Scott,2.4,2.4,0.2%
Jonathan Williams,2.2,2.2,0.0%
Kareem Hunt,2.1,2.1,55.5%
Myles Gaskin,2.1,2.1,0.1%
Joshua Kelley,2.0,2.0,11.4%
Justin Jackson,1.9,1.9,0.0%
Dontrell Hilliard,1.9,1.9,0.0%
James Cook,1.8,1.8,94.3%
Dameon Pierce,1.6,1.6,68.0%
Damien Harris,1.6,1.6,7.2%
Ke'Shawn Vaughn,1.5,1.5,0.3%
DeeJay Dallas,1.5,1.5,0.9%
Matt Breida,1.5,1.5,2.6%
Patrick Ricard,1.4,1.4,0.1%
Caleb Huntley,1.3,1.3,0.0%
Marlon Mack,1.2,1.2,0.0%
Snoop Conner,1.1,1.1,0.0%
Alexander Mattison,1.1,1.1,86.3%
Mark Ingram II,1.0,1.0,0.0%
Alvin Kamara,1.0,1.0,98.7%
Corey Clement,0.8,0.8,0.1%
Derek Watt,0.5,0.5,0.0%
Isaiah Spiller,0.5,0.5,0.2%
Rex Burkhead,0.5,0.5,10.0%
Keaontay Ingram,0.5,0.5,2.0%
Travis Etienne Jr.,0.3,0.3,99.9%
Devine Ozigbo,0.3,0.3,0.0%
Justice Hill,0.3,0.3,12.4%
Nyheim Hines,0.3,0.3,0.1%
Zack Moss,0.2,0.2,88.5%
Kyle Juszczyk,0.2,0.2,0.3%
Kenyan Drake,0.2,0.2,0.1%
Chris Myarick,0.0,0.0,0.0%
Khari Blasingame,0.0,0.0,0.0%
Alec Ingold,0.0,0.0,0.1%
Jakob Johnson,0.0,0.0,0.0%
Reggie Gilliam,0.0,0.0,0.0%
Pierre Strong Jr.,0.0,0.0,0.8%
Hassan Haskins,0.0,0.0,0.1%
Chris Evans,0.0,0.0,0.2%
Jashaun Corbin,0.0,0.0,0.0%
Jerome Ford,0.0,0.0,86.9%
Avery Williams,0.0,0.0,0.0%
