Player,FPTS,FPTS/G,ROST
Ja'Marr Chase,25.2,25.2,100.0%
Stefon Diggs,20.8,20.8,100.0%
Brandon Aiyuk,20.3,20.3,97.6%
Tyreek Hill,17.7,17.7,100.0%
Tyquan Thornton,17.3,17.3,1.0%
JuJu Smith-Schuster,17.3,17.3,19.1%
Chase Claypool,16.4,16.4,2.4%
Dante Pettis,14.4,14.4,0.0%
Allen Lazard,13.6,13.6,10.8%
Gabe Davis,13.4,13.4,81.3%
Michael Pittman Jr.,13.4,13.4,96.1%
A.J. Brown,12.7,12.7,100.0%
Allen Robinson II,12.3,12.3,1.1%
Ben Skowronek,11.7,11.7,0.1%
Parris Campbell,11.7,11.7,2.5%
Adam Thielen,11.6,11.6,91.4%
Jaylen Waddle,10.9,10.9,99.4%
Alec Pierce,10.9,10.9,2.7%
Justin Jefferson,10.7,10.7,99.9%
DeVonta Smith,10.4,10.4,98.3%
Amari Cooper,10.4,10.4,92.9%
Rashid Shaheed,10.4,10.4,32.0%
Tre'Quan Smith,10.3,10.3,0.0%
Mecole Hardman Jr.,10.2,10.2,1.7%
Wan'Dale Robinson,9.7,9.7,6.2%
Cooper Kupp,9.7,9.7,99.0%
Chris Godwin,9.5,9.5,88.5%
Deebo Samuel,9.0,9.0,98.6%
Braxton Berrios,8.6,8.6,1.6%
CeeDee Lamb,7.7,7.7,100.0%
Donovan Peoples-Jones,7.6,7.6,2.2%
Marquise Brown,6.8,6.8,85.6%
Christian Kirk,6.8,6.8,86.5%
Darnell Mooney,6.8,6.8,17.6%
Tyler Boyd,6.6,6.6,49.6%
DeVante Parker,6.4,6.4,2.8%
Jakobi Meyers,6.0,6.0,79.1%
Olamide Zaccheaus,5.8,5.8,0.1%
Joshua Palmer,5.7,5.7,25.6%
Jerry Jeudy,5.4,5.4,63.9%
Corey Davis,5.2,5.2,0.1%
Terry McLaurin,5.2,5.2,90.8%
Rondale Moore,4.9,4.9,21.2%
Tee Higgins,4.7,4.7,89.4%
KJ Hamler,4.4,4.4,0.0%
Mike Evans,4.2,4.2,97.3%
Zay Jones,4.2,4.2,23.7%
Drake London,4.0,4.0,82.4%
Brandon Powell,4.0,4.0,1.3%
Dee Eskridge,3.9,3.9,0.0%
Marquez Callaway,3.6,3.6,0.0%
Diontae Johnson,3.6,3.6,80.9%
DK Metcalf,3.4,3.4,98.2%
George Pickens,2.8,2.8,81.7%
Demarcus Robinson,2.7,2.7,0.1%
Marquise Goodwin,2.6,2.6,0.1%
Marcus Johnson,2.5,2.5,0.0%
Skyy Moore,2.4,2.4,19.5%
Jamal Agnew,2.4,2.4,0.2%
Romeo Doubs,2.1,2.1,48.4%
Russell Gage,2.0,2.0,0.1%
Tim Jones,2.0,2.0,0.0%
Michael Gallup,1.8,1.8,19.7%
K.J. Osborn,1.8,1.8,22.4%
Jauan Jennings,1.8,1.8,0.7%
Richie James Jr.,1.8,1.8,0.1%
Darius Slayton,1.8,1.8,2.2%
Mike Williams,1.7,1.7,18.8%
Kendrick Bourne,1.7,1.7,5.4%
DeAndre Carter,1.7,1.7,0.1%
Tyler Lockett,1.7,1.7,91.9%
Michael Woods II,1.5,1.5,0.0%
