Player,FPTS,FPTS/G,ROST
Gabe Davis,29.1,29.1,81.3%
Davante Adams,24.4,24.4,99.9%
Dyami Brown,22.5,22.5,0.1%
Tyler Lockett,22.4,22.4,91.9%
Cooper Kupp,18.9,18.9,99.0%
Justin Jefferson,18.3,18.3,99.9%
Jakobi Meyers,17.1,17.1,79.1%
Stefon Diggs,16.2,16.2,100.0%
Marquise Brown,13.8,13.8,85.6%
Amari Cooper,13.6,13.6,92.9%
Khalil Shakir,13.5,13.5,9.3%
Mike Williams,13.4,13.4,18.8%
DK Metcalf,12.8,12.8,98.2%
Chris Olave,11.4,11.4,98.4%
Marvin Jones Jr.,10.4,10.4,0.6%
Olamide Zaccheaus,9.9,9.9,0.1%
Randall Cobb,9.9,9.9,0.3%
Allen Lazard,9.5,9.5,10.8%
Deebo Samuel,9.2,9.2,98.6%
Josh Reynolds,9.2,9.2,11.4%
Marquez Valdes-Scantling,9.0,9.0,3.8%
DeVonta Smith,8.7,8.7,98.3%
George Pickens,8.3,8.3,81.7%
Mike Evans,8.1,8.1,97.3%
Alec Pierce,8.1,8.1,2.7%
Mecole Hardman Jr.,8.0,8.0,1.7%
Darius Slayton,7.9,7.9,2.2%
Devin Duvernay,7.8,7.8,0.1%
Terry McLaurin,7.6,7.6,90.8%
Braxton Berrios,7.4,7.4,1.6%
Courtland Sutton,7.4,7.4,86.9%
Nick Westbrook-Ikhine,7.2,7.2,0.8%
Velus Jones Jr.,6.9,6.9,0.1%
Shi Smith,6.9,6.9,0.0%
DJ Moore,6.7,6.7,96.6%
Nico Collins,6.5,6.5,92.0%
Chris Godwin,6.3,6.3,88.5%
Curtis Samuel,6.2,6.2,39.8%
Jalen Reagor,6.1,6.1,0.1%
Rondale Moore,6.1,6.1,21.2%
Diontae Johnson,6.0,6.0,80.9%
Tyreek Hill,6.0,6.0,100.0%
Michael Pittman Jr.,5.9,5.9,96.1%
Brandon Aiyuk,5.8,5.8,97.6%
Tutu Atwell,5.4,5.4,22.0%
KhaDarel Hodge,5.3,5.3,0.0%
CeeDee Lamb,5.3,5.3,100.0%
Jerry Jeudy,5.3,5.3,63.9%
Darnell Mooney,5.2,5.2,17.6%
Chase Claypool,5.0,5.0,2.4%
Ja'Marr Chase,5.0,5.0,100.0%
Donovan Peoples-Jones,5.0,5.0,2.2%
Jauan Jennings,4.5,4.5,0.7%
Kalif Raymond,4.5,4.5,1.9%
Michael Gallup,4.4,4.4,19.7%
Ben Skowronek,4.1,4.1,0.1%
Isaiah Hodgins,4.1,4.1,1.1%
K.J. Osborn,4.1,4.1,22.4%
Russell Gage,4.0,4.0,0.1%
Corey Davis,3.8,3.8,0.1%
Robert Woods,3.7,3.7,7.8%
Drake London,3.5,3.5,82.4%
Scott Miller,3.5,3.5,0.0%
Marcus Johnson,3.5,3.5,0.0%
JuJu Smith-Schuster,3.3,3.3,19.1%
Mike Thomas,3.3,3.3,0.0%
A.J. Brown,3.2,3.2,100.0%
Tyler Boyd,3.2,3.2,49.6%
Robbie Chosen,3.2,3.2,0.1%
Terrace Marshall Jr.,3.0,3.0,0.3%
Romeo Doubs,2.9,2.9,48.4%
Adam Thielen,2.7,2.7,91.4%
Garrett Wilson,2.7,2.7,97.3%
Hunter Renfrow,2.5,2.5,2.3%
Joshua Palmer,2.4,2.4,25.6%
Equanimeous St. Brown,2.4,2.4,0.1%
Jaylen Waddle,2.3,2.3,99.4%
Parris Campbell,2.2,2.2,2.5%
Brandin Cooks,2.0,2.0,70.5%
A.J. Green,2.0,2.0,1.0%
Cedrick Wilson Jr.,2.0,2.0,0.2%
Quez Watkins,1.9,1.9,0.3%
Amon-Ra St. Brown,1.8,1.8,100.0%
Ashton Dulin,1.8,1.8,0.0%
Richie James Jr.,1.6,1.6,0.1%
Skyy Moore,1.5,1.5,19.5%
David Sills,1.2,1.2,0.0%
Zay Jones,1.2,1.2,23.7%
Allen Robinson II,1.2,1.2,1.1%
Jeff Smith,1.1,1.1,0.0%
Miles Boykin,1.1,1.1,0.0%
Christian Kirk,1.1,1.1,86.5%
Elijah Moore,1.1,1.1,42.2%
KJ Hamler,1.0,1.0,0.0%
Tre'Quan Smith,1.0,1.0,0.0%
Bryan Edwards,1.0,1.0,0.0%
Justin Watson,1.0,1.0,3.4%
Montrell Washington,0.9,0.9,0.0%
DeAndre Carter,0.9,0.9,0.1%
Demarcus Robinson,0.8,0.8,0.1%
Tylan Wallace,0.8,0.8,0.0%
James Proche II,0.7,0.7,0.0%
Tyquan Thornton,0.7,0.7,1.0%
Kyle Philips,0.7,0.7,0.1%
Cam Sims,0.7,0.7,0.0%
David Bell,0.6,0.6,0.1%
Marquez Callaway,0.5,0.5,0.0%
Noah Brown,0.5,0.5,44.7%
