Player,FPTS,FPTS/G,ROST
Ja'Marr Chase,25.0,25.0,100.0%
Mecole Hardman Jr.,24.0,24.0,1.7%
Tyler Boyd,21.5,21.5,49.6%
Marquise Goodwin,18.7,18.7,0.1%
JuJu Smith-Schuster,18.4,18.4,19.1%
Mike Williams,14.6,14.6,18.8%
Damiere Byrd,13.5,13.5,0.0%
Terry McLaurin,13.3,13.3,90.8%
Parris Campbell,13.0,13.0,2.5%
DJ Moore,12.6,12.6,96.6%
Ray-Ray McCloud III,12.5,12.5,1.1%
George Pickens,12.1,12.1,81.7%
Darius Slayton,11.8,11.8,2.2%
Rashid Shaheed,11.3,11.3,32.0%
Marquez Valdes-Scantling,11.1,11.1,3.8%
Chris Olave,10.6,10.6,98.4%
Phillip Dorsett II,10.5,10.5,0.0%
Mack Hollins,10.4,10.4,0.4%
DeAndre Hopkins,10.3,10.3,94.9%
Christian Kirk,10.1,10.1,86.5%
Jerry Jeudy,9.6,9.6,63.9%
Mike Evans,9.6,9.6,97.3%
Davante Adams,9.5,9.5,99.9%
Kalif Raymond,9.5,9.5,1.9%
Jakobi Meyers,9.4,9.4,79.1%
Tee Higgins,9.3,9.3,89.4%
Jaylen Waddle,8.8,8.8,99.4%
Brandon Aiyuk,8.2,8.2,97.6%
Chris Moore,8.0,8.0,0.1%
Curtis Samuel,7.9,7.9,39.8%
Amari Cooper,7.4,7.4,92.9%
Tyreek Hill,7.2,7.2,100.0%
DeVante Parker,6.8,6.8,2.8%
Zay Jones,6.8,6.8,23.7%
Greg Dortch,6.6,6.6,7.1%
CeeDee Lamb,6.6,6.6,100.0%
Kevin White,6.4,6.4,0.0%
Justin Watson,6.4,6.4,3.4%
Tre'Quan Smith,5.9,5.9,0.0%
Marvin Jones Jr.,5.7,5.7,0.6%
Hunter Renfrow,5.5,5.5,2.3%
Allen Lazard,5.5,5.5,10.8%
Darnell Mooney,5.3,5.3,17.6%
Donovan Peoples-Jones,5.1,5.1,2.2%
Wan'Dale Robinson,5.0,5.0,6.2%
Equanimeous St. Brown,4.8,4.8,0.1%
Brandin Cooks,4.6,4.6,70.5%
Tyler Lockett,4.5,4.5,91.9%
Chris Godwin,4.5,4.5,88.5%
Diontae Johnson,4.5,4.5,80.9%
Deebo Samuel,4.4,4.4,98.6%
Trent Sherfield,4.4,4.4,0.1%
Rashod Bateman,4.2,4.2,9.9%
Devin Duvernay,4.2,4.2,0.1%
Braxton Berrios,4.2,4.2,1.6%
Chase Claypool,4.1,4.1,2.4%
Russell Gage,3.9,3.9,0.1%
Michael Pittman Jr.,3.8,3.8,96.1%
DeAndre Carter,3.7,3.7,0.1%
Alec Pierce,3.7,3.7,2.7%
Sammy Watkins,3.6,3.6,0.0%
Nico Collins,3.3,3.3,92.0%
Cody Hollister,3.2,3.2,0.0%
Olamide Zaccheaus,3.1,3.1,0.1%
Rondale Moore,3.1,3.1,21.2%
Dante Pettis,3.1,3.1,0.0%
Terrace Marshall Jr.,3.1,3.1,0.3%
Noah Brown,3.0,3.0,44.7%
Robert Woods,2.6,2.6,7.8%
Garrett Wilson,2.4,2.4,97.3%
Jauan Jennings,2.4,2.4,0.7%
Courtland Sutton,2.3,2.3,86.9%
Marquez Callaway,2.0,2.0,0.0%
DJ Turner,2.0,2.0,0.0%
Tyquan Thornton,1.9,1.9,1.0%
David Sills,1.9,1.9,0.0%
KJ Hamler,1.8,1.8,0.0%
N'Keal Harry,1.4,1.4,0.0%
Kendall Hinton,1.4,1.4,0.0%
Tom Kennedy,1.4,1.4,0.0%
Cam Sims,1.2,1.2,0.0%
DK Metcalf,1.2,1.2,98.2%
Keenan Allen,1.1,1.1,99.4%
Drake London,0.9,0.9,82.4%
Laviska Shenault Jr.,0.8,0.8,0.1%
Josh Reynolds,0.8,0.8,11.4%
David Bell,0.7,0.7,0.1%
Tim Jones,0.7,0.7,0.0%
Scott Miller,0.6,0.6,0.0%
Jason Moore Jr.,0.5,0.5,0.0%
Samori Toure,0.4,0.4,0.1%
Amon-Ra St. Brown,0.4,0.4,100.0%
Dax Milne,0.4,0.4,0.0%
Denzel Mims,0.4,0.4,0.0%
Dee Eskridge,0.4,0.4,0.0%
KaVontae Turpin,0.3,0.3,0.7%
Mason Kinsey,0.3,0.3,0.0%
Richie James Jr.,0.2,0.2,0.1%
Montrell Washington,0.2,0.2,0.0%
Jaelon Darden,0.1,0.1,0.0%
Shi Smith,0.0,0.0,0.0%
Elijah Moore,0.0,0.0,42.2%
Jeff Smith,0.0,0.0,0.0%
KhaDarel Hodge,0.0,0.0,0.0%
Nick Westbrook-Ikhine,0.0,0.0,0.8%
Justyn Ross,0.0,0.0,0.4%
Gunner Olszewski,0.0,0.0,0.0%
James Proche II,0.0,0.0,0.0%
Romeo Doubs,0.0,0.0,48.4%
Danny Gray,0.0,0.0,0.0%
Trent Taylor,0.0,0.0,0.0%
Corey Davis,0.0,0.0,0.1%
Justin Hardee,0.0,0.0,0.0%
Michael Gallup,0.0,0.0,19.7%
Cedrick Wilson Jr.,0.0,0.0,0.2%
Marcus Kemp,0.0,0.0,0.0%
Nelson Agholor,0.0,0.0,0.7%
Marcus Johnson,0.0,0.0,0.0%
Robbie Chosen,0.0,0.0,0.1%
Michael Bandy,-0.5,-0.5,0.0%
Amari Rodgers,-0.6,-0.6,0.0%
Skyy Moore,-2.0,-2.0,19.5%
,,,
,,,
