Player,FPTS,FPTS/G,ROST
Jerry Jeudy,25.3,25.3,63.9%
Justin Jefferson,22.3,22.3,99.9%
Ja'Marr Chase,18.5,18.5,100.0%
Mike Williams,17.6,17.6,18.8%
DJ Chark Jr.,15.4,15.4,17.1%
Marquise Goodwin,15.3,15.3,0.1%
Tyreek Hill,14.1,14.1,100.0%
Zay Jones,13.7,13.7,23.7%
JuJu Smith-Schuster,13.4,13.4,19.1%
DK Metcalf,13.1,13.1,98.2%
A.J. Brown,13.0,13.0,100.0%
Adam Thielen,12.5,12.5,91.4%
DeVonta Smith,12.4,12.4,98.3%
Chris Moore,12.4,12.4,0.1%
Richie James Jr.,12.1,12.1,0.1%
Tyler Lockett,12.0,12.0,91.9%
Amari Rodgers,12.0,12.0,0.0%
Trenton Irwin,11.8,11.8,1.9%
Isaiah Hodgins,11.8,11.8,1.1%
Brandon Aiyuk,11.7,11.7,97.6%
Donovan Peoples-Jones,11.4,11.4,2.2%
Josh Reynolds,11.1,11.1,11.4%
Van Jefferson,10.4,10.4,2.4%
Deebo Samuel,10.4,10.4,98.6%
Jameson Williams,10.1,10.1,19.1%
K.J. Osborn,9.8,9.8,22.4%
Keenan Allen,9.2,9.2,99.4%
Ben Skowronek,8.9,8.9,0.1%
Noah Brown,8.5,8.5,44.7%
Nick Westbrook-Ikhine,8.3,8.3,0.8%
Diontae Johnson,8.2,8.2,80.9%
George Pickens,7.8,7.8,81.7%
Garrett Wilson,7.8,7.8,97.3%
Shi Smith,7.7,7.7,0.0%
Amon-Ra St. Brown,7.4,7.4,100.0%
Russell Gage,7.2,7.2,0.1%
Davante Adams,7.1,7.1,99.9%
Mack Hollins,6.2,6.2,0.4%
Elijah Moore,6.0,6.0,42.2%
DeAndre Hopkins,5.9,5.9,94.9%
Chris Godwin,5.4,5.4,88.5%
Joshua Palmer,5.3,5.3,25.6%
Demarcus Robinson,5.2,5.2,0.1%
Robbie Chosen,5.0,5.0,0.1%
Robert Woods,4.9,4.9,7.8%
Kendrick Bourne,4.7,4.7,5.4%
Christian Kirk,4.5,4.5,86.5%
Tutu Atwell,4.5,4.5,22.0%
Jamal Agnew,4.4,4.4,0.2%
Mike Evans,4.4,4.4,97.3%
Amari Cooper,4.2,4.2,92.9%
Darius Slayton,4.2,4.2,2.2%
Michael Gallup,4.0,4.0,19.7%
Kendall Hinton,3.8,3.8,0.0%
Laviska Shenault Jr.,3.8,3.8,0.1%
Julio Jones,3.8,3.8,1.5%
Stefon Diggs,3.7,3.7,100.0%
Denzel Mims,3.5,3.5,0.0%
Trent Taylor,3.4,3.4,0.0%
Marquise Brown,3.4,3.4,85.6%
DeSean Jackson,3.4,3.4,1.0%
CeeDee Lamb,3.3,3.3,100.0%
Nelson Agholor,3.2,3.2,0.7%
Jaylen Waddle,3.1,3.1,99.4%
Steven Sims Jr.,3.1,3.1,0.0%
Gabe Davis,3.1,3.1,81.3%
Isaiah McKenzie,2.8,2.8,0.2%
Tyquan Thornton,2.8,2.8,1.0%
Chris Conley,2.7,2.7,0.0%
David Bell,2.7,2.7,0.1%
Braxton Berrios,2.5,2.5,1.6%
DeVante Parker,2.4,2.4,2.8%
Marvin Jones Jr.,2.2,2.2,0.6%
Marquez Valdes-Scantling,2.0,2.0,3.8%
Quez Watkins,1.9,1.9,0.3%
Kalif Raymond,1.9,1.9,1.9%
Cedrick Wilson Jr.,1.9,1.9,0.2%
Ray-Ray McCloud III,1.8,1.8,1.1%
Phillip Dorsett II,1.8,1.8,0.0%
Terrace Marshall Jr.,1.8,1.8,0.3%
Corey Davis,1.5,1.5,0.1%
Keelan Cole Sr.,1.1,1.1,0.0%
Danny Gray,1.0,1.0,0.0%
Jalen Virgil,0.9,0.9,0.0%
A.J. Green,0.7,0.7,1.0%
Trent Sherfield,0.7,0.7,0.1%
Skyy Moore,0.7,0.7,19.5%
Gunner Olszewski,0.7,0.7,0.0%
DJ Turner,0.6,0.6,0.0%
DJ Moore,0.6,0.6,96.6%
Austin Trammell,0.5,0.5,0.0%
Jauan Jennings,0.5,0.5,0.7%
Zach Pascal,0.5,0.5,0.0%
Greg Dortch,0.0,0.0,7.1%
Stanley Morgan Jr.,0.0,0.0,0.0%
Scott Miller,0.0,0.0,0.0%
Miles Boykin,0.0,0.0,0.0%
Devin Duvernay,0.0,0.0,0.1%
Jalen Reagor,0.0,0.0,0.1%
Lance McCutcheon,0.0,0.0,0.0%
Raleigh Webb,0.0,0.0,0.0%
Montrell Washington,0.0,0.0,0.0%
Britain Covey,0.0,0.0,0.1%
Khalil Shakir,0.0,0.0,9.3%
Brandon Johnson,0.0,0.0,0.1%
Deven Thompkins,0.0,0.0,0.3%
Jalen Nailor,0.0,0.0,0.0%
Racey McMath,0.0,0.0,0.0%
John Brown,0.0,0.0,0.0%
Matthew Slater,0.0,0.0,0.0%
Justin Hardee,0.0,0.0,0.0%
Justin Watson,0.0,0.0,3.4%
Brandon Powell,0.0,0.0,1.3%
James Washington,0.0,0.0,0.0%
DeAndre Carter,0.0,0.0,0.1%
Pharoh Cooper,0.0,0.0,0.0%
Tyler Boyd,0.0,0.0,49.6%
KaVontae Turpin,-2.0,-2.0,0.7%
,,,
,,,
