Player,FPTS,FPTS/G,ROST
Taysom Hill,11.3,11.3,77.0%
Noah Fant,10.2,10.2,1.8%
Evan Engram,9.0,9.0,94.9%
Cade Otton,8.8,8.8,34.1%
Greg Dulcich,8.5,8.5,5.8%
Gerald Everett,8.0,8.0,34.0%
Connor Heyward,7.7,7.7,0.5%
Pat Freiermuth,7.6,7.6,72.6%
Cole Kmet,7.2,7.2,82.2%
Chigoziem Okonkwo,6.8,6.8,30.6%
MyCole Pruitt,6.7,6.7,0.0%
Mark Andrews,5.4,5.4,57.4%
Brevin Jordan,4.6,4.6,7.6%
Jack Stoll,4.1,4.1,0.2%
Travis Kelce,3.6,3.6,100.0%
Dalton Schultz,3.3,3.3,80.4%
T.J. Hockenson,3.3,3.3,99.2%
Foster Moreau,3.2,3.2,0.1%
C.J. Uzomah,3.1,3.1,0.1%
Isaiah Likely,3.0,3.0,38.8%
Adam Trautman,2.8,2.8,0.4%
Jelani Woods,2.8,2.8,0.9%
Brock Wright,2.5,2.5,0.1%
Daniel Bellinger,2.4,2.4,0.8%
Anthony Firkser,2.4,2.4,0.0%
Austin Hooper,2.2,2.2,0.3%
George Kittle,2.2,2.2,99.7%
Will Dissly,2.2,2.2,0.1%
Durham Smythe,2.1,2.1,0.5%
Jordan Akins,2.1,2.1,0.0%
Marcedes Lewis,2.0,2.0,0.0%
Logan Thomas,2.0,2.0,53.5%
Grant Calcaterra,1.9,1.9,0.1%
Kylen Granson,1.9,1.9,0.8%
Parker Hesse,1.6,1.6,0.0%
Noah Gray,1.5,1.5,1.1%
Harrison Bryant,1.4,1.4,0.7%
Tyler Kroft,1.4,1.4,0.0%
Tyler Higbee,1.4,1.4,44.3%
Mitchell Wilcox,1.3,1.3,0.0%
Hunter Henry,1.3,1.3,20.1%
Johnny Mundt,1.2,1.2,0.0%
Colby Parkinson,1.2,1.2,0.1%
Ko Kieft,1.2,1.2,0.0%
Hayden Hurst,1.2,1.2,3.3%
Pharaoh Brown,1.1,1.1,0.0%
Robert Tonyan,1.0,1.0,0.1%
Tyler Conklin,0.9,0.9,20.0%
Zach Gentry,0.8,0.8,0.0%
Tre' McKitty,0.8,0.8,0.0%
Jody Fortson,0.6,0.6,0.0%
Jonnu Smith,0.6,0.6,18.3%
Geoff Swaim,0.4,0.4,0.0%
Shane Zylstra,0.4,0.4,0.0%
Luke Farrell,0.3,0.3,0.0%
Stone Smartt,0.3,0.3,0.1%
Feleipe Franks,0.0,0.0,0.0%
Dawson Knox,0.0,0.0,5.4%
Kevin Rader,0.0,0.0,0.0%
Tommy Sweeney,0.0,0.0,0.0%
Sean McKeon,0.0,0.0,0.0%
Chris Myarick,0.0,0.0,0.0%
Josiah Deguara,0.0,0.0,0.1%
Teagan Quitoriano,0.0,0.0,0.0%
Cole Turner,0.0,0.0,0.0%
Peyton Hendershot,0.0,0.0,0.1%
Zach Wood,0.0,0.0,0.0%
Mike Gesicki,0.0,0.0,3.3%
Eric Saubert,0.0,0.0,0.0%
Dan Arnold,0.0,0.0,0.0%
Nick Vannett,0.0,0.0,0.0%
Beau Brinkley,0.0,0.0,0.2%
Nick Boyle,0.0,0.0,0.0%
Chris Manhertz,0.0,0.0,0.0%
Jake Ferguson,-0.1,-0.1,87.0%
Mo Alie-Cox,-1.4,-1.4,0.1%
,,,
,,,
