Player,FPTS,FPTS/G,ROST
Tyler Conklin,19.9,19.9,20.0%
Kyle Pitts,14.0,14.0,81.5%
Isaiah Likely,13.7,13.7,38.8%
Evan Engram,11.5,11.5,94.9%
George Kittle,9.9,9.9,99.7%
Mike Gesicki,9.8,9.8,3.3%
Zach Ertz,9.4,9.4,14.2%
Greg Dulcich,8.7,8.7,5.8%
T.J. Hockenson,8.0,8.0,99.2%
Dalton Schultz,7.4,7.4,80.4%
Taysom Hill,7.3,7.3,77.0%
Cole Kmet,7.1,7.1,82.2%
Dawson Knox,7.0,7.0,5.4%
Dallas Goedert,6.4,6.4,82.7%
Johnny Mundt,6.1,6.1,0.0%
Jake Ferguson,6.1,6.1,87.0%
Tanner Hudson,5.8,5.8,4.3%
Pat Freiermuth,5.7,5.7,72.6%
Ross Dwelley,5.6,5.6,0.1%
Hayden Hurst,4.2,4.2,3.3%
Robert Tonyan,3.5,3.5,0.1%
Stephen Sullivan,3.3,3.3,0.1%
Mark Andrews,3.3,3.3,57.4%
Foster Moreau,3.1,3.1,0.1%
Irv Smith Jr.,2.8,2.8,3.4%
C.J. Uzomah,2.7,2.7,0.1%
O.J. Howard,2.4,2.4,0.0%
Hunter Henry,2.2,2.2,20.1%
Brevin Jordan,1.9,1.9,7.6%
Noah Fant,1.9,1.9,1.8%
Tommy Tremble,1.7,1.7,0.1%
Cade Otton,1.5,1.5,34.1%
Peyton Hendershot,1.5,1.5,0.1%
Tyler Higbee,1.5,1.5,44.3%
Juwan Johnson,1.4,1.4,20.9%
James Mitchell,1.4,1.4,0.0%
Armani Rogers,1.3,1.3,0.0%
Will Dissly,1.2,1.2,0.1%
Kylen Granson,1.1,1.1,0.8%
Jonnu Smith,1.0,1.0,18.3%
Chris Myarick,1.0,1.0,0.0%
Parker Hesse,0.9,0.9,0.0%
Josiah Deguara,0.9,0.9,0.1%
Ko Kieft,0.9,0.9,0.0%
Nick Vannett,0.8,0.8,0.0%
Dan Arnold,0.8,0.8,0.0%
Tyler Kroft,0.6,0.6,0.0%
Brock Wright,0.6,0.6,0.1%
John Bates,0.6,0.6,0.1%
Jordan Akins,0.5,0.5,0.0%
Colby Parkinson,0.5,0.5,0.1%
Austin Hooper,0.5,0.5,0.3%
Josh Oliver,0.4,0.4,0.2%
Mitchell Wilcox,0.3,0.3,0.0%
Zach Gentry,0.3,0.3,0.0%
Chigoziem Okonkwo,0.3,0.3,30.6%
Ian Thomas,0.2,0.2,0.0%
Feleipe Franks,0.0,0.0,0.0%
Jesper Horsted,0.0,0.0,0.0%
Trevon Wesco,0.0,0.0,0.0%
Mitchell Fraboni,0.0,0.0,0.0%
Lawrence Cager,0.0,0.0,0.0%
Giovanni Ricci,0.0,0.0,0.0%
Jared Pinkney,0.0,0.0,0.0%
Connor Heyward,0.0,0.0,0.5%
Hunter Long,0.0,0.0,0.0%
Trey McBride,0.0,0.0,80.4%
Jack Stoll,0.0,0.0,0.2%
Kyle Rudolph,0.0,0.0,0.0%
Mo Alie-Cox,0.0,0.0,0.1%
Eric Saubert,0.0,0.0,0.0%
Pharaoh Brown,0.0,0.0,0.0%
Patrick Scales,0.0,0.0,0.0%
Eric Tomlinson,0.0,0.0,0.0%
Darren Waller,0.0,0.0,62.7%
Chris Manhertz,-0.1,-0.1,0.0%
,,,
,,,
