Player,FPTS,FPTS/G,ROST
Evan Engram,28.2,28.2,94.9%
Chigoziem Okonkwo,12.5,12.5,30.6%
David Njoku,11.7,11.7,90.8%
Dawson Knox,10.1,10.1,5.4%
Pat Freiermuth,9.3,9.3,72.6%
Dalton Schultz,8.7,8.7,80.4%
Travis Kelce,7.1,7.1,100.0%
Hunter Henry,7.0,7.0,20.1%
Austin Hooper,6.8,6.8,0.3%
T.J. Hockenson,5.7,5.7,99.2%
Noah Gray,4.5,4.5,1.1%
Greg Dulcich,4.2,4.2,5.8%
George Kittle,2.8,2.8,99.7%
Trey McBride,2.8,2.8,80.4%
Cade Otton,2.8,2.8,34.1%
Gerald Everett,2.8,2.8,34.0%
Tyler Conklin,2.8,2.8,20.0%
Grant Calcaterra,2.4,2.4,0.1%
Chris Manhertz,2.1,2.1,0.0%
Jack Stoll,2.0,2.0,0.2%
Will Dissly,2.0,2.0,0.1%
Daniel Bellinger,1.9,1.9,0.8%
Shane Zylstra,1.8,1.8,0.0%
Mark Andrews,1.7,1.7,57.4%
Connor Heyward,1.3,1.3,0.5%
Cameron Brate,1.2,1.2,2.0%
Tyler Higbee,1.1,1.1,44.3%
Ko Kieft,1.1,1.1,0.0%
Ian Thomas,1.1,1.1,0.0%
Eric Tomlinson,1.1,1.1,0.0%
Mitchell Wilcox,1.0,1.0,0.0%
Colby Parkinson,1.0,1.0,0.1%
Nick Vannett,0.9,0.9,0.0%
Stone Smartt,0.8,0.8,0.1%
Brycen Hopkins,0.8,0.8,0.0%
Harrison Bryant,0.8,0.8,0.7%
C.J. Uzomah,0.7,0.7,0.1%
Stephen Anderson,0.7,0.7,0.0%
Dan Arnold,0.5,0.5,0.0%
Tre' McKitty,0.5,0.5,0.0%
Jordan Akins,0.5,0.5,0.0%
Eric Saubert,0.2,0.2,0.0%
Foster Moreau,0.0,0.0,0.1%
Zach Gentry,0.0,0.0,0.0%
Kevin Rader,0.0,0.0,0.0%
Stephen Sullivan,0.0,0.0,0.1%
Charlie Woerner,0.0,0.0,0.0%
Chris Myarick,0.0,0.0,0.0%
Tommy Tremble,0.0,0.0,0.1%
Kenny Yeboah,0.0,0.0,0.0%
Brock Wright,0.0,0.0,0.1%
Jonnu Smith,0.0,0.0,18.3%
Mike Gesicki,0.0,0.0,3.3%
Noah Fant,0.0,0.0,1.8%
Tyler Kroft,0.0,0.0,0.0%
Geoff Swaim,0.0,0.0,0.0%
,,,
,,,
