Player,FPTS,FPTS/G,ROST
Travis Kelce,29.5,29.5,100.0%
George Kittle,20.4,20.4,99.7%
Austin Hooper,15.6,15.6,0.3%
Juwan Johnson,10.7,10.7,20.9%
Pat Freiermuth,7.9,7.9,72.6%
Dawson Knox,7.0,7.0,5.4%
Taysom Hill,6.6,6.6,77.0%
Logan Thomas,6.5,6.5,53.5%
Mark Andrews,6.3,6.3,57.4%
Jody Fortson,5.1,5.1,0.0%
Tyler Higbee,4.5,4.5,44.3%
Jonnu Smith,4.5,4.5,18.3%
Kyle Pitts,4.3,4.3,81.5%
Harrison Bryant,4.1,4.1,0.7%
Cole Kmet,3.5,3.5,82.2%
T.J. Hockenson,3.4,3.4,99.2%
Foster Moreau,3.3,3.3,0.1%
Chigoziem Okonkwo,3.1,3.1,30.6%
Greg Dulcich,3.0,3.0,5.8%
Hayden Hurst,2.8,2.8,3.3%
Ian Thomas,2.4,2.4,0.0%
Dalton Schultz,2.2,2.2,80.4%
Hunter Henry,2.0,2.0,20.1%
Brock Wright,2.0,2.0,0.1%
Robert Tonyan,1.9,1.9,0.1%
MyCole Pruitt,1.7,1.7,0.0%
David Njoku,1.7,1.7,90.8%
Eric Saubert,1.6,1.6,0.0%
Kylen Granson,1.6,1.6,0.8%
Tyler Conklin,1.5,1.5,20.0%
Noah Gray,1.5,1.5,1.1%
Jake Ferguson,1.5,1.5,87.0%
Trey McBride,1.4,1.4,80.4%
Mo Alie-Cox,1.4,1.4,0.1%
Adam Trautman,1.2,1.2,0.4%
O.J. Howard,0.9,0.9,0.0%
Jordan Akins,0.8,0.8,0.0%
Zach Gentry,0.8,0.8,0.0%
Johnny Mundt,0.8,0.8,0.0%
Maxx Williams,0.7,0.7,0.0%
Jack Stoll,0.7,0.7,0.2%
Stone Smartt,0.6,0.6,0.1%
Geoff Swaim,0.3,0.3,0.0%
Josh Oliver,0.2,0.2,0.2%
Isaiah Likely,0.1,0.1,38.8%
Jesper Horsted,0.0,0.0,0.0%
Tyree Jackson,0.0,0.0,0.0%
Lawrence Cager,0.0,0.0,0.0%
Reggie Gilliam,0.0,0.0,0.0%
Devin Asiasi,0.0,0.0,0.0%
Grant Calcaterra,0.0,0.0,0.1%
Teagan Quitoriano,0.0,0.0,0.0%
Connor Heyward,0.0,0.0,0.5%
Tommy Tremble,0.0,0.0,0.1%
John Bates,0.0,0.0,0.1%
Cole Turner,0.0,0.0,0.0%
Ben Mason,0.0,0.0,0.0%
Jacob Harris,0.0,0.0,0.0%
Ryan Griffin,0.0,0.0,0.0%
Stephen Anderson,0.0,0.0,0.0%
Pharaoh Brown,0.0,0.0,0.0%
Andrew DePaola,0.0,0.0,0.0%
C.J. Uzomah,0.0,0.0,0.1%
Peyton Hendershot,-0.2,-0.2,0.1%
,,,
,,,
