Player,FPTS,FPTS/G,ROST
Travis Kelce,18.1,18.1,100.0%
O.J. Howard,15.8,15.8,0.0%
Taysom Hill,14.3,14.3,77.0%
Gerald Everett,11.4,11.4,34.0%
Colby Parkinson,10.3,10.3,0.1%
Will Dissly,10.3,10.3,0.1%
Zach Ertz,9.4,9.4,14.2%
Darren Waller,7.9,7.9,62.7%
Tyler Conklin,7.6,7.6,20.0%
Pat Freiermuth,7.5,7.5,72.6%
Dalton Schultz,6.2,6.2,80.4%
Chris Myarick,6.1,6.1,0.0%
Jody Fortson,6.1,6.1,0.0%
Dallas Goedert,6.0,6.0,82.7%
Ian Thomas,5.3,5.3,0.0%
Mark Andrews,5.2,5.2,57.4%
Andrew Beck,5.2,5.2,0.0%
Hayden Hurst,4.6,4.6,3.3%
Logan Thomas,4.5,4.5,53.5%
Juwan Johnson,4.3,4.3,20.9%
Zach Gentry,4.0,4.0,0.0%
Tyler Higbee,3.9,3.9,44.3%
T.J. Hockenson,3.8,3.8,99.2%
Robert Tonyan,3.6,3.6,0.1%
Jonnu Smith,3.3,3.3,18.3%
Albert Okwuegbunam,3.3,3.3,0.1%
Josiah Deguara,2.8,2.8,0.1%
Evan Engram,2.8,2.8,94.9%
Mo Alie-Cox,2.6,2.6,0.1%
Tre' McKitty,2.4,2.4,0.0%
Armani Rogers,2.3,2.3,0.0%
Kylen Granson,2.2,2.2,0.8%
Hunter Henry,2.0,2.0,20.1%
Geoff Swaim,1.9,1.9,0.0%
Kyle Pitts,1.9,1.9,81.5%
Harrison Bryant,1.8,1.8,0.7%
Johnny Mundt,1.7,1.7,0.0%
Pharaoh Brown,1.7,1.7,0.0%
Noah Fant,1.6,1.6,1.8%
Durham Smythe,1.4,1.4,0.5%
Ross Dwelley,1.1,1.1,0.1%
Noah Gray,1.0,1.0,1.1%
Tyler Kroft,0.9,0.9,0.0%
David Njoku,0.7,0.7,90.8%
Cameron Brate,0.7,0.7,2.0%
Chigoziem Okonkwo,0.7,0.7,30.6%
Anthony Firkser,0.6,0.6,0.0%
Austin Hooper,0.6,0.6,0.3%
Parker Hesse,0.5,0.5,0.0%
Dawson Knox,0.5,0.5,5.4%
Brevin Jordan,0.5,0.5,7.6%
Tyler Davis,0.3,0.3,0.0%
Ben Ellefson,0.2,0.2,0.0%
Drew Sample,0.2,0.2,0.1%
Mike Gesicki,0.1,0.1,3.3%
Tommy Tremble,0.1,0.1,0.1%
Irv Smith Jr.,0.0,0.0,3.4%
Noah Togiai,0.0,0.0,0.0%
Lawrence Cager,0.0,0.0,0.0%
Giovanni Ricci,0.0,0.0,0.0%
Cole Kmet,0.0,0.0,82.2%
Connor Heyward,0.0,0.0,0.5%
John Bates,0.0,0.0,0.1%
Isaiah Likely,0.0,0.0,38.8%
Cade Otton,0.0,0.0,34.1%
Richard Rodgers,0.0,0.0,0.0%
Ryan Griffin,0.0,0.0,0.0%
Stephen Anderson,0.0,0.0,0.0%
Eric Saubert,0.0,0.0,0.0%
Eric Tomlinson,0.0,0.0,0.0%
,,,
,,,
