Player,FPTS,FPTS/G,ROST
Pittsburgh Steelers,26.0,26.0,89.2%
Miami Dolphins,18.0,18.0,91.7%
Buffalo Bills,17.0,17.0,74.0%
Los Angeles Chargers,13.0,13.0,30.2%
Tampa Bay Buccaneers,13.0,13.0,49.0%
Minnesota Vikings,12.0,12.0,26.2%
Baltimore Ravens,11.0,11.0,84.7%
Chicago Bears,10.0,10.0,3.9%
Los Angeles Rams,9.0,9.0,22.6%
Tennessee Titans,9.0,9.0,8.3%
Seattle Seahawks,7.0,7.0,22.0%
Houston Texans,7.0,7.0,54.5%
Indianapolis Colts,6.0,6.0,33.2%
Jacksonville Jaguars,6.0,6.0,55.5%
Atlanta Falcons,6.0,6.0,49.4%
Cleveland Browns,6.0,6.0,82.1%
New Orleans Saints,6.0,6.0,60.5%
Denver Broncos,5.0,5.0,23.5%
Philadelphia Eagles,5.0,5.0,62.1%
Dallas Cowboys,5.0,5.0,96.5%
San Francisco 49ers,5.0,5.0,94.9%
Washington Commanders,4.0,4.0,18.0%
New York Jets,4.0,4.0,72.7%
New York Giants,4.0,4.0,6.3%
New England Patriots,4.0,4.0,29.1%
Kansas City Chiefs,3.0,3.0,72.9%
Cincinnati Bengals,2.0,2.0,19.4%
Green Bay Packers,1.0,1.0,54.0%
Carolina Panthers,1.0,1.0,6.4%
Las Vegas Raiders,0.0,0.0,9.8%
Detroit Lions,0.0,0.0,32.8%
Arizona Cardinals,-2.0,-2.0,1.0%
,,,
,,,
