Player,FPTS,FPTS/G,ROST
New Orleans Saints,16.0,16.0,60.5%
Philadelphia Eagles,14.0,14.0,62.1%
Seattle Seahawks,13.0,13.0,22.0%
Cleveland Browns,13.0,13.0,82.1%
Dallas Cowboys,11.0,11.0,96.5%
Minnesota Vikings,10.0,10.0,26.2%
Tennessee Titans,9.0,9.0,8.3%
New England Patriots,9.0,9.0,29.1%
Atlanta Falcons,8.0,8.0,49.4%
New York Jets,8.0,8.0,72.7%
Houston Texans,8.0,8.0,54.5%
Washington Commanders,7.0,7.0,18.0%
Cincinnati Bengals,7.0,7.0,19.4%
Denver Broncos,7.0,7.0,23.5%
Arizona Cardinals,6.0,6.0,1.0%
Green Bay Packers,6.0,6.0,54.0%
Carolina Panthers,5.0,5.0,6.4%
Buffalo Bills,5.0,5.0,74.0%
Indianapolis Colts,5.0,5.0,33.2%
New York Giants,5.0,5.0,6.3%
Baltimore Ravens,5.0,5.0,84.7%
Tampa Bay Buccaneers,5.0,5.0,49.0%
Jacksonville Jaguars,5.0,5.0,55.5%
Detroit Lions,3.0,3.0,32.8%
San Francisco 49ers,3.0,3.0,94.9%
Los Angeles Rams,2.0,2.0,22.6%
Miami Dolphins,1.0,1.0,91.7%
Las Vegas Raiders,0.0,0.0,9.8%
Pittsburgh Steelers,-1.0,-1.0,89.2%
Chicago Bears,-1.0,-1.0,3.9%
,,,
,,,
