Player,FPTS,FPTS/G,ROST
New York Jets,20.0,20.0,72.7%
Seattle Seahawks,17.0,17.0,22.0%
Arizona Cardinals,14.0,14.0,1.0%
Atlanta Falcons,13.0,13.0,49.4%
New England Patriots,13.0,13.0,29.1%
Minnesota Vikings,13.0,13.0,26.2%
Washington Commanders,13.0,13.0,18.0%
Los Angeles Rams,11.0,11.0,22.6%
Carolina Panthers,9.0,9.0,6.4%
Buffalo Bills,8.0,8.0,74.0%
Los Angeles Chargers,7.0,7.0,30.2%
Philadelphia Eagles,7.0,7.0,62.1%
Chicago Bears,7.0,7.0,3.9%
New York Giants,7.0,7.0,6.3%
Baltimore Ravens,6.0,6.0,84.7%
Indianapolis Colts,6.0,6.0,33.2%
Denver Broncos,5.0,5.0,23.5%
New Orleans Saints,4.0,4.0,60.5%
Dallas Cowboys,4.0,4.0,96.5%
Tampa Bay Buccaneers,3.0,3.0,49.0%
Pittsburgh Steelers,3.0,3.0,89.2%
Miami Dolphins,3.0,3.0,91.7%
Kansas City Chiefs,3.0,3.0,72.9%
Green Bay Packers,2.0,2.0,54.0%
Cincinnati Bengals,1.0,1.0,19.4%
San Francisco 49ers,1.0,1.0,94.9%
Cleveland Browns,0.0,0.0,82.1%
Jacksonville Jaguars,-1.0,-1.0,55.5%
,,,
,,,
