Player,FPTS,FPTS/G,ROST
Tampa Bay Buccaneers,26.0,26.0,49.0%
Jacksonville Jaguars,21.0,21.0,55.5%
Buffalo Bills,20.0,20.0,74.0%
Atlanta Falcons,16.0,16.0,49.4%
San Francisco 49ers,15.0,15.0,94.9%
Philadelphia Eagles,12.0,12.0,62.1%
Kansas City Chiefs,10.0,10.0,72.9%
Green Bay Packers,9.0,9.0,54.0%
Seattle Seahawks,9.0,9.0,22.0%
Arizona Cardinals,9.0,9.0,1.0%
Detroit Lions,9.0,9.0,32.8%
Los Angeles Rams,9.0,9.0,22.6%
New England Patriots,8.0,8.0,29.1%
New York Giants,7.0,7.0,6.3%
Dallas Cowboys,7.0,7.0,96.5%
Baltimore Ravens,7.0,7.0,84.7%
Denver Broncos,7.0,7.0,23.5%
Minnesota Vikings,7.0,7.0,26.2%
Houston Texans,6.0,6.0,54.5%
Chicago Bears,5.0,5.0,3.9%
Cincinnati Bengals,4.0,4.0,19.4%
Carolina Panthers,4.0,4.0,6.4%
New Orleans Saints,4.0,4.0,60.5%
Las Vegas Raiders,3.0,3.0,9.8%
Pittsburgh Steelers,3.0,3.0,89.2%
Cleveland Browns,3.0,3.0,82.1%
New York Jets,2.0,2.0,72.7%
Los Angeles Chargers,1.0,1.0,30.2%
Indianapolis Colts,0.0,0.0,33.2%
Washington Commanders,-1.0,-1.0,18.0%
Tennessee Titans,-3.0,-3.0,8.3%
Miami Dolphins,-4.0,-4.0,91.7%
,,,
,,,
