Player,FPTS,FPTS/G,ROST
Cleveland Browns,27.0,27.0,82.1%
Dallas Cowboys,20.0,20.0,96.5%
San Francisco 49ers,18.0,18.0,94.9%
Los Angeles Chargers,12.0,12.0,30.2%
Denver Broncos,12.0,12.0,23.5%
Philadelphia Eagles,10.0,10.0,62.1%
Green Bay Packers,9.0,9.0,54.0%
Los Angeles Rams,8.0,8.0,22.6%
Seattle Seahawks,8.0,8.0,22.0%
Las Vegas Raiders,8.0,8.0,9.8%
Houston Texans,8.0,8.0,54.5%
New York Giants,8.0,8.0,6.3%
Washington Commanders,7.0,7.0,18.0%
New Orleans Saints,6.0,6.0,60.5%
Miami Dolphins,6.0,6.0,91.7%
Baltimore Ravens,6.0,6.0,84.7%
Minnesota Vikings,5.0,5.0,26.2%
Detroit Lions,5.0,5.0,32.8%
Buffalo Bills,5.0,5.0,74.0%
Cincinnati Bengals,4.0,4.0,19.4%
Pittsburgh Steelers,4.0,4.0,89.2%
New England Patriots,4.0,4.0,29.1%
Tampa Bay Buccaneers,3.0,3.0,49.0%
New York Jets,2.0,2.0,72.7%
Kansas City Chiefs,1.0,1.0,72.9%
Atlanta Falcons,1.0,1.0,49.4%
Indianapolis Colts,1.0,1.0,33.2%
Chicago Bears,-1.0,-1.0,3.9%
Jacksonville Jaguars,-2.0,-2.0,55.5%
Tennessee Titans,-2.0,-2.0,8.3%
,,,
,,,
