Player,FPTS,FPTS/G,ROST
New England Patriots,26.0,26.0,29.1%
Detroit Lions,11.0,11.0,32.8%
Baltimore Ravens,10.0,10.0,84.7%
New York Jets,10.0,10.0,72.7%
Arizona Cardinals,9.0,9.0,1.0%
Miami Dolphins,9.0,9.0,91.7%
Tampa Bay Buccaneers,8.0,8.0,49.0%
Seattle Seahawks,8.0,8.0,22.0%
Philadelphia Eagles,8.0,8.0,62.1%
Tennessee Titans,7.0,7.0,8.3%
Los Angeles Chargers,7.0,7.0,30.2%
Indianapolis Colts,7.0,7.0,33.2%
Cincinnati Bengals,6.0,6.0,19.4%
Minnesota Vikings,6.0,6.0,26.2%
Buffalo Bills,5.0,5.0,74.0%
Washington Commanders,5.0,5.0,18.0%
Atlanta Falcons,5.0,5.0,49.4%
Jacksonville Jaguars,5.0,5.0,55.5%
Houston Texans,5.0,5.0,54.5%
Kansas City Chiefs,4.0,4.0,72.9%
Los Angeles Rams,4.0,4.0,22.6%
Green Bay Packers,3.0,3.0,54.0%
New Orleans Saints,3.0,3.0,60.5%
Las Vegas Raiders,2.0,2.0,9.8%
Chicago Bears,-1.0,-1.0,3.9%
Carolina Panthers,-2.0,-2.0,6.4%
,,,
,,,
