Player,FPTS,FPTS/G,ROST
Greg Zuerlein,19.0,19.0,7.1%
Michael Badgley,19.0,19.0,0.0%
Robbie Gould,18.0,18.0,0.1%
Matthew Wright,16.0,16.0,0.0%
Younghoe Koo,14.0,14.0,52.5%
Matt Gay,14.0,14.0,51.6%
Brandon McManus,14.0,14.0,50.9%
Greg Joseph,12.0,12.0,5.2%
Daniel Carlson,11.0,11.0,37.9%
Cade York,11.0,11.0,0.1%
Evan McPherson,10.0,10.0,77.2%
Jason Myers,10.0,10.0,53.9%
Wil Lutz,10.0,10.0,15.3%
Graham Gano,9.0,9.0,11.8%
Chase McLaughlin,9.0,9.0,5.1%
Joey Slye,9.0,9.0,1.0%
Cairo Santos,8.0,8.0,6.5%
Mason Crosby,8.0,8.0,0.1%
Cameron Dicker,8.0,8.0,71.0%
Ka'imi Fairbairn,7.0,7.0,2.4%
Riley Patterson,7.0,7.0,42.8%
Tyler Bass,7.0,7.0,59.2%
Harrison Butker,6.0,6.0,91.8%
Jason Sanders,6.0,6.0,63.5%
Brett Maher,6.0,6.0,2.8%
Jake Elliott,5.0,5.0,87.2%
Ryan Succop,5.0,5.0,0.0%
Randy Bullock,4.0,4.0,0.1%
Nick Folk,4.0,4.0,33.1%
Justin Tucker,4.0,4.0,93.6%
Tristan Vizcaino,0.0,0.0,0.3%
Quinn Nordin,0.0,0.0,0.0%
Michael Palardy,0.0,0.0,33.3%
,,,
,,,
