Player,FPTS,FPTS/G,ROST
Nick Folk,18.0,18.0,33.1%
Chase McLaughlin,17.0,17.0,5.1%
Daniel Carlson,16.0,16.0,37.9%
Justin Tucker,16.0,16.0,93.6%
Cairo Santos,15.0,15.0,6.5%
Taylor Bertolet,12.0,12.0,0.0%
Brandon McManus,11.0,11.0,50.9%
Ka'imi Fairbairn,11.0,11.0,2.4%
Brett Maher,11.0,11.0,2.8%
Mason Crosby,10.0,10.0,0.1%
Graham Gano,10.0,10.0,11.8%
Jason Myers,10.0,10.0,53.9%
Eddy Pineiro,10.0,10.0,5.8%
Wil Lutz,9.0,9.0,15.3%
Cameron Dicker,9.0,9.0,71.0%
Tyler Bass,8.0,8.0,59.2%
Greg Zuerlein,8.0,8.0,7.1%
Matthew Wright,8.0,8.0,0.0%
Ryan Succop,8.0,8.0,0.0%
Riley Patterson,7.0,7.0,42.8%
Robbie Gould,7.0,7.0,0.1%
Joey Slye,7.0,7.0,1.0%
Jason Sanders,6.0,6.0,63.5%
Evan McPherson,6.0,6.0,77.2%
Matt Ammendola,5.0,5.0,3.3%
Cade York,4.0,4.0,0.1%
Matt Gay,4.0,4.0,51.6%
Greg Joseph,3.0,3.0,5.2%
Chris Boswell,3.0,3.0,33.2%
Randy Bullock,3.0,3.0,0.1%
Younghoe Koo,1.0,1.0,52.5%
Quinn Nordin,0.0,0.0,0.0%
,,,
,,,
