Player,FPTS,FPTS/G,ROST
Younghoe Koo,19.0,19.0,52.5%
Cade York,16.0,16.0,0.1%
Ryan Succop,15.0,15.0,0.0%
Chris Boswell,14.0,14.0,33.2%
Greg Joseph,13.0,13.0,5.2%
Riley Patterson,12.0,12.0,42.8%
Brandon McManus,11.0,11.0,50.9%
Jason Sanders,10.0,10.0,63.5%
Ka'imi Fairbairn,10.0,10.0,2.4%
Wil Lutz,10.0,10.0,15.3%
Daniel Carlson,9.0,9.0,37.9%
Harrison Butker,9.0,9.0,91.8%
Rodrigo Blankenship,9.0,9.0,0.1%
Randy Bullock,9.0,9.0,0.1%
Jake Elliott,8.0,8.0,87.2%
Evan McPherson,8.0,8.0,77.2%
Tyler Bass,8.0,8.0,59.2%
Dustin Hopkins,7.0,7.0,59.2%
Justin Tucker,6.0,6.0,93.6%
Eddy Pineiro,6.0,6.0,5.8%
Jason Myers,6.0,6.0,53.9%
Matt Gay,6.0,6.0,51.6%
Brett Maher,5.0,5.0,2.8%
Austin Seibert,5.0,5.0,0.0%
Greg Zuerlein,4.0,4.0,7.1%
Robbie Gould,4.0,4.0,0.1%
Joey Slye,2.0,2.0,1.0%
Matt Prater,1.0,1.0,8.8%
Mason Crosby,1.0,1.0,0.1%
Nick Folk,1.0,1.0,33.1%
Graham Gano,1.0,1.0,11.8%
Cairo Santos,1.0,1.0,6.5%
,,,
,,,
