Player,FPTS,FPTS/G,ROST
Nick Folk,15.0,15.0,33.1%
Justin Tucker,15.0,15.0,93.6%
Harrison Butker,14.0,14.0,91.8%
Jason Sanders,13.0,13.0,63.5%
Matthew Wright,13.0,13.0,0.0%
Jake Elliott,12.0,12.0,87.2%
Eddy Pineiro,12.0,12.0,5.8%
Graham Gano,11.0,11.0,11.8%
Jason Myers,10.0,10.0,53.9%
Tyler Bass,10.0,10.0,59.2%
Daniel Carlson,10.0,10.0,37.9%
Caleb Shudak,10.0,10.0,0.0%
Greg Zuerlein,9.0,9.0,7.1%
Younghoe Koo,9.0,9.0,52.5%
Evan McPherson,9.0,9.0,77.2%
Mason Crosby,9.0,9.0,0.1%
Greg Joseph,9.0,9.0,5.2%
Riley Patterson,8.0,8.0,42.8%
Joey Slye,8.0,8.0,1.0%
Robbie Gould,8.0,8.0,0.1%
Cade York,7.0,7.0,0.1%
Matt Prater,7.0,7.0,8.8%
Chase McLaughlin,7.0,7.0,5.1%
Michael Badgley,7.0,7.0,0.0%
Ryan Succop,6.0,6.0,0.0%
Cameron Dicker,5.0,5.0,71.0%
Matt Gay,5.0,5.0,51.6%
Brandon McManus,4.0,4.0,50.9%
Brett Maher,4.0,4.0,2.8%
Cairo Santos,4.0,4.0,6.5%
Ka'imi Fairbairn,3.0,3.0,2.4%
Wil Lutz,0.0,0.0,15.3%
Michael Palardy,0.0,0.0,33.3%
Randy Bullock,0.0,0.0,0.1%
,,,
,,,
