Player,FPTS,FPTS/G,ROST
Greg Joseph,18.0,18.0,5.2%
Brett Maher,16.0,16.0,2.8%
Daniel Carlson,14.0,14.0,37.9%
Jason Myers,14.0,14.0,53.9%
Michael Badgley,13.0,13.0,0.0%
Younghoe Koo,12.0,12.0,52.5%
Matthew Wright,12.0,12.0,0.0%
Chris Boswell,12.0,12.0,33.2%
Tyler Bass,11.0,11.0,59.2%
Justin Tucker,11.0,11.0,93.6%
Evan McPherson,11.0,11.0,77.2%
Graham Gano,10.0,10.0,11.8%
Dustin Hopkins,10.0,10.0,59.2%
Jason Sanders,10.0,10.0,63.5%
Cade York,9.0,9.0,0.1%
Matt Gay,9.0,9.0,51.6%
Mason Crosby,9.0,9.0,0.1%
Matt Prater,8.0,8.0,8.8%
Ryan Succop,8.0,8.0,0.0%
Randy Bullock,7.0,7.0,0.1%
Ka'imi Fairbairn,7.0,7.0,2.4%
Wil Lutz,7.0,7.0,15.3%
Nick Folk,6.0,6.0,33.1%
Greg Zuerlein,6.0,6.0,7.1%
Eddy Pineiro,6.0,6.0,5.8%
Robbie Gould,6.0,6.0,0.1%
Dominik Eberle,6.0,6.0,0.0%
Chase McLaughlin,5.0,5.0,5.1%
Jake Elliott,5.0,5.0,87.2%
Brandon McManus,5.0,5.0,50.9%
Joey Slye,5.0,5.0,1.0%
Riley Patterson,3.0,3.0,42.8%
,,,
,,,
