Player,FPTS,FPTS/G,ROST
Nick Folk,21.0,21.0,33.1%
Younghoe Koo,14.0,14.0,52.5%
Chase McLaughlin,11.0,11.0,5.1%
Jason Myers,11.0,11.0,53.9%
Tyler Bass,10.0,10.0,59.2%
Michael Badgley,10.0,10.0,0.0%
Ryan Succop,10.0,10.0,0.0%
Eddy Pineiro,9.0,9.0,5.8%
Justin Tucker,9.0,9.0,93.6%
Matt Prater,9.0,9.0,8.8%
Graham Gano,8.0,8.0,11.8%
Jason Sanders,8.0,8.0,63.5%
Cade York,8.0,8.0,0.1%
Robbie Gould,7.0,7.0,0.1%
Nick Sciba,7.0,7.0,0.0%
Brett Maher,7.0,7.0,2.8%
Wil Lutz,6.0,6.0,15.3%
Cairo Santos,5.0,5.0,6.5%
Mason Crosby,5.0,5.0,0.1%
Ka'imi Fairbairn,5.0,5.0,2.4%
Jake Elliott,5.0,5.0,87.2%
Riley Patterson,5.0,5.0,42.8%
Joey Slye,5.0,5.0,1.0%
Greg Zuerlein,5.0,5.0,7.1%
Randy Bullock,5.0,5.0,0.1%
Greg Joseph,4.0,4.0,5.2%
Brandon McManus,3.0,3.0,50.9%
Matt Gay,2.0,2.0,51.6%
Evan McPherson,1.0,1.0,77.2%
Rodrigo Blankenship,0.0,0.0,0.1%
Daniel Carlson,0.0,0.0,37.9%
,,,
,,,
