Player,FPTS,FPTS/G,ROST
Greg Zuerlein,18.0,18.0,7.1%
Graham Gano,15.0,15.0,11.8%
Matt Prater,14.0,14.0,8.8%
Cairo Santos,14.0,14.0,6.5%
Riley Patterson,12.0,12.0,42.8%
Brett Maher,12.0,12.0,2.8%
Eddy Pineiro,12.0,12.0,5.8%
Younghoe Koo,12.0,12.0,52.5%
Chase McLaughlin,11.0,11.0,5.1%
Jason Myers,11.0,11.0,53.9%
Evan McPherson,10.0,10.0,77.2%
Daniel Carlson,10.0,10.0,37.9%
Nick Folk,10.0,10.0,33.1%
Justin Tucker,9.0,9.0,93.6%
Matt Gay,9.0,9.0,51.6%
Ryan Succop,8.0,8.0,0.0%
Ka'imi Fairbairn,8.0,8.0,2.4%
Randy Bullock,7.0,7.0,0.1%
Austin Seibert,7.0,7.0,0.0%
Jake Elliott,6.0,6.0,87.2%
Robbie Gould,6.0,6.0,0.1%
Tyler Bass,5.0,5.0,59.2%
Cade York,5.0,5.0,0.1%
Chris Boswell,5.0,5.0,33.2%
Brandon McManus,5.0,5.0,50.9%
Dustin Hopkins,4.0,4.0,59.2%
Greg Joseph,4.0,4.0,5.2%
Jason Sanders,3.0,3.0,63.5%
Matt Ammendola,3.0,3.0,3.3%
Wil Lutz,2.0,2.0,15.3%
Mason Crosby,2.0,2.0,0.1%
Joey Slye,0.0,0.0,1.0%
,,,
,,,
