"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Mike Gesicki (NE)","6","7","69","11.5","18","0","2","0","0","0","0","1","18.9","18.9","3.3%"
"2","Mark Andrews (BAL)","7","11","106","15.1","18","0","1","0","0","0","0","1","16.6","16.6","57.4%"
"3","Hunter Henry (NE)","4","7","61","15.3","31","2","1","0","0","0","0","1","12.1","12.1","20.1%"
"4","Travis Kelce (KC)","8","10","108","13.5","25","2","0","1","4","0","0","1","11.2","11.2","100.0%"
"5","Greg Dulcich (DEN)","2","3","44","22.0","39","2","1","0","0","0","0","1","10.4","10.4","5.8%"
"6","Jake Ferguson (DAL)","4","6","40","10.0","22","1","1","0","0","0","0","1","10.0","10.0","87.0%"
"7","Daniel Bellinger (NYG)","5","5","38","7.6","10","0","1","0","0","0","0","1","9.8","9.8","0.8%"
"8","Dawson Knox (BUF)","3","3","37","12.3","20","1","1","0","0","0","0","1","9.7","9.7","5.4%"
"9","Robert Tonyan (CHI)","10","12","90","9.0","16","0","0","0","0","0","0","1","9.0","9.0","0.1%"
"10","Jelani Woods (IND)","2","3","27","13.5","17","0","1","0","0","0","0","1","8.7","8.7","0.9%"
"11","George Kittle (SF)","8","10","83","10.4","19","0","0","0","0","0","0","1","8.3","8.3","99.7%"
"12","Kyle Pitts (ATL)","3","3","19","6.3","7","0","1","0","0","0","0","1","7.9","7.9","81.5%"
"13","Zach Ertz (FA)","7","10","70","10.0","32","2","0","0","0","0","0","1","7.0","7.0","14.2%"
"14","Irv Smith Jr. (CIN)","4","4","7","1.8","4","0","1","0","0","0","0","1","6.7","6.7","3.4%"
"15","MyCole Pruitt (ATL)","1","1","2","2.0","2","0","1","0","0","0","0","1","6.2","6.2","0.0%"
"16","Jonnu Smith (ATL)","2","2","61","30.5","53","4","0","0","0","0","0","1","6.1","6.1","18.3%"
"17","David Njoku (CLE)","3","6","58","19.3","33","3","0","0","0","0","0","1","5.8","5.8","90.8%"
"18","Donald Parham Jr. (LAC)","3","3","53","17.7","24","1","0","0","0","0","0","1","5.3","5.3","2.8%"
"19","Connor Heyward (PIT)","2","3","49","24.5","45","3","0","0","0","0","0","1","4.9","4.9","0.5%"
