"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Cleveland Browns (CLE)","0","2","2","1","2","0","1","1","27.0","27.0","82.1%"
"2","Dallas Cowboys (DAL)","3","3","2","2","1","0","0","1","20.0","20.0","96.5%"
"3","San Francisco 49ers (SF)","3","3","1","1","1","0","0","1","18.0","18.0","94.9%"
"4","Los Angeles Chargers (LAC)","0","1","1","1","1","0","0","1","12.0","12.0","30.2%"
"5","Denver Broncos (DEN)","4","2","0","1","0","0","0","1","12.0","12.0","23.5%"
"6","Philadelphia Eagles (PHI)","6","0","0","0","0","0","0","1","10.0","10.0","62.1%"
"7","Green Bay Packers (GB)","0","2","1","1","0","0","0","1","9.0","9.0","54.0%"
"8","Los Angeles Rams (LAR)","4","1","1","1","0","0","0","1","8.0","8.0","22.6%"
"9","Seattle Seahawks (SEA)","4","2","0","1","0","0","0","1","8.0","8.0","22.0%"
"10","Las Vegas Raiders (LV)","5","0","1","2","0","0","0","1","8.0","8.0","9.8%"
"11","Houston Texans (HOU)","1","1","1","1","0","1","0","1","8.0","8.0","54.5%"
"12","New York Giants (NYG)","5","0","1","3","0","0","0","1","8.0","8.0","6.3%"
"13","Washington Commanders (WAS)","4","0","1","1","0","0","0","1","7.0","7.0","18.0%"
"14","New Orleans Saints (NO)","1","1","1","1","0","0","0","1","6.0","6.0","60.5%"
"15","Miami Dolphins (MIA)","4","1","0","1","0","0","0","1","6.0","6.0","91.7%"
"16","Baltimore Ravens (BAL)","2","0","0","0","0","0","0","1","6.0","6.0","84.7%"
"17","Minnesota Vikings (MIN)","1","2","0","0","0","0","0","1","5.0","5.0","26.2%"
"18","Detroit Lions (DET)","2","0","1","1","0","0","0","1","5.0","5.0","32.8%"
"19","Buffalo Bills (BUF)","1","0","0","1","0","0","0","1","5.0","5.0","74.0%"
"20","Cincinnati Bengals (CIN)","2","0","1","1","0","0","0","1","4.0","4.0","19.4%"
"21","Pittsburgh Steelers (PIT)","1","1","0","0","0","0","0","1","4.0","4.0","89.2%"
"22","New England Patriots (NE)","2","0","1","1","0","0","0","1","4.0","4.0","29.1%"
"23","Tampa Bay Buccaneers (TB)","2","0","0","0","0","0","0","1","3.0","3.0","49.0%"
"24","New York Jets (NYJ)","2","0","0","0","0","0","0","1","2.0","2.0","72.7%"
"25","Kansas City Chiefs (KC)","1","0","0","0","0","0","0","1","1.0","1.0","72.9%"
"26","Atlanta Falcons (ATL)","0","0","0","0","0","0","0","1","1.0","1.0","49.4%"
"27","Indianapolis Colts (IND)","1","1","0","0","0","0","0","1","1.0","1.0","33.2%"
"28","Chicago Bears (CHI)","0","0","0","0","0","0","0","1","-1.0","-1.0","3.9%"
"29","Jacksonville Jaguars (JAC)","2","0","0","0","0","0","0","1","-2.0","-2.0","55.5%"
"30","Tennessee Titans (TEN)","2","0","0","1","0","0","0","1","-2.0","-2.0","8.3%"
""
""
