"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jerry Jeudy (DEN)","8","9","73","9.1","18","0","3","0","0","0","0","1","25.3","25.3","63.9%"
"2","Justin Jefferson (MIN)","11","15","223","20.3","47","8","0","0","0","0","0","1","22.3","22.3","99.9%"
"3","Ja'Marr Chase (CIN)","10","15","119","11.9","20","1","1","1","6","0","0","1","18.5","18.5","100.0%"
"4","Mike Williams (LAC)","6","6","116","19.3","55","5","1","0","0","0","0","1","17.6","17.6","18.8%"
"5","DJ Chark Jr. (CAR)","6","7","94","15.7","48","3","1","0","0","0","0","1","15.4","15.4","17.1%"
"6","Marquise Goodwin (CLE)","5","6","95","19.0","38","3","1","1","-2","0","0","1","15.3","15.3","0.1%"
"7","Tyreek Hill (MIA)","4","10","81","20.3","60","4","1","0","0","0","0","1","14.1","14.1","100.0%"
"8","Zay Jones (JAC)","8","12","77","9.6","20","1","1","0","0","0","0","1","13.7","13.7","23.7%"
"9","JuJu Smith-Schuster (NE)","9","11","74","8.2","20","1","1","0","0","0","0","1","13.4","13.4","19.1%"
"10","DK Metcalf (SEA)","5","10","71","14.2","25","1","1","0","0","0","0","1","13.1","13.1","98.2%"
"11","A.J. Brown (PHI)","4","6","70","17.5","33","2","1","0","0","0","0","1","13.0","13.0","100.0%"
"12","Adam Thielen (CAR)","7","8","65","9.3","23","1","1","0","0","0","0","1","12.5","12.5","91.4%"
"13","DeVonta Smith (PHI)","5","8","64","12.8","41","3","1","0","0","0","0","1","12.4","12.4","98.3%"
"14","Chris Moore (TEN)","10","11","124","12.4","36","4","0","0","0","0","0","1","12.4","12.4","0.1%"
"15","Richie James Jr. (KC)","7","9","61","8.7","19","0","1","0","0","0","0","1","12.1","12.1","0.1%"
"16","Tyler Lockett (SEA)","5","9","60","12.0","23","1","1","0","0","0","0","1","12.0","12.0","91.9%"
"17","Amari Rodgers (FA)","4","5","57","14.3","28","1","1","1","3","0","0","1","12.0","12.0","0.0%"
"18","Trenton Irwin (CIN)","2","2","58","29.0","45","3","1","0","0","0","0","1","11.8","11.8","1.9%"
"19","Isaiah Hodgins (NYG)","4","6","38","9.5","15","0","1","0","0","0","0","1","11.8","11.8","1.1%"
