"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Davante Adams (LV)","7","13","141","20.1","35","6","2","0","0","0","0","1","26.1","26.1","99.9%"
"2","Amari Cooper (CLE)","8","12","113","14.1","25","2","2","0","0","0","0","1","23.3","23.3","92.9%"
"3","Joshua Palmer (LAC)","8","10","106","13.3","50","4","2","0","0","0","0","1","22.6","22.6","25.6%"
"4","Christian Watson (GB)","4","6","48","12.0","18","0","2","1","3","0","0","1","17.1","17.1","78.8%"
"5","Chris Olave (NO)","5","6","102","20.4","53","4","1","0","0","0","0","1","16.2","16.2","98.4%"
"6","Deebo Samuel (SF)","7","9","57","8.1","19","0","0","3","37","1","0","1","15.4","15.4","98.6%"
"7","Tee Higgins (CIN)","9","13","148","16.4","33","3","0","0","0","0","0","1","14.8","14.8","89.4%"
"8","George Pickens (PIT)","4","6","83","20.8","33","4","1","0","0","0","0","1","14.3","14.3","81.7%"
"9","Brandon Aiyuk (SF)","2","4","20","10.0","13","0","2","0","0","0","0","1","14.0","14.0","97.6%"
"10","Demarcus Robinson (LAR)","9","9","128","14.2","31","4","0","0","0","0","0","1","12.8","12.8","0.1%"
"11","Tutu Atwell (LAR)","1","1","62","62.0","62","4","1","0","0","0","0","1","12.2","12.2","22.0%"
"12","Donovan Peoples-Jones (DET)","5","6","61","12.2","27","2","1","0","0","0","0","1","12.1","12.1","2.2%"
"13","Treylon Burks (TEN)","7","8","111","15.9","51","7","0","0","0","0","0","1","11.1","11.1","17.9%"
"14","Richie James Jr. (KC)","3","3","48","16.0","20","1","1","0","0","0","0","1","10.8","10.8","0.1%"
"15","Stefon Diggs (BUF)","4","5","48","12.0","21","1","1","0","0","0","0","1","10.8","10.8","100.0%"
"16","Allen Robinson II (PIT)","4","5","47","11.8","17","0","1","0","0","0","0","1","10.7","10.7","1.1%"
"17","Wan'Dale Robinson (NYG)","9","13","100","11.1","19","0","0","1","4","0","0","1","10.4","10.4","6.2%"
"18","Greg Dortch (ARI)","9","10","103","11.4","47","3","0","0","0","0","0","1","10.3","10.3","7.1%"
"19","Trenton Irwin (CIN)","3","4","42","14.0","32","2","1","0","0","0","0","1","10.2","10.2","1.9%"
"20","Jarvis Landry (FA)","3","4","33","11.0","18","0","1","0","0","0","0","1","9.3","9.3","14.0%"
"21","DeAndre Hopkins (TEN)","9","12","91","10.1","17","0","0","0","0","0","0","1","9.1","9.1","94.9%"
"22","Quez Watkins (PHI)","2","2","31","15.5","22","1","1","0","0","0","0","1","9.1","9.1","0.3%"
"23","Darnell Mooney (CHI)","4","5","29","7.3","16","0","1","0","0","0","0","1","8.9","8.9","17.6%"
"24","Curtis Samuel (WAS)","1","2","10","10.0","10","0","0","2","18","1","0","1","8.8","8.8","39.8%"
"25","Darius Slayton (NYG)","5","10","86","17.2","24","2","0","0","0","0","0","1","8.6","8.6","2.2%"
"26","Courtland Sutton (DEN)","5","7","80","16.0","23","2","0","0","0","0","0","1","8.0","8.0","86.9%"
"27","Amon-Ra St. Brown (DET)","7","8","76","10.9","32","2","0","1","4","0","0","1","8.0","8.0","100.0%"
"28","DeVonta Smith (PHI)","6","9","78","13.0","24","1","0","0","0","0","0","1","7.8","7.8","98.3%"
"29","Terrace Marshall Jr. (CAR)","3","6","76","25.3","34","3","0","0","0","0","0","1","7.6","7.6","0.3%"
"30","Michael Pittman Jr. (IND)","6","7","75","12.5","24","1","0","0","0","0","0","1","7.5","7.5","96.1%"
"31","Keenan Allen (LAC)","5","8","94","18.8","46","3","0","0","0","0","1","1","7.4","7.4","99.4%"
"32","Randall Cobb (NYJ)","6","6","73","12.2","28","2","0","0","0","0","0","1","7.3","7.3","0.3%"
"33","Brandin Cooks (DAL)","3","6","70","23.3","41","3","0","0","0","0","0","1","7.0","7.0","70.5%"
"34","Robert Woods (HOU)","6","7","69","11.5","32","2","0","0","0","0","0","1","6.9","6.9","7.8%"
"35","Gabe Davis (BUF)","5","7","68","13.6","28","1","0","0","0","0","0","1","6.8","6.8","81.3%"
"36","Parris Campbell (NYG)","5","6","67","13.4","31","2","0","0","0","0","0","1","6.7","6.7","2.5%"
"37","Justin Watson (KC)","3","4","67","22.3","29","2","0","0","0","0","0","1","6.7","6.7","3.4%"
"38","Skyy Moore (KC)","5","6","63","12.6","18","0","0","0","0","0","0","1","6.3","6.3","19.5%"
"39","Drake London (ATL)","1","3","2","2.0","2","0","1","0","0","0","0","1","6.2","6.2","82.4%"
"40","Allen Lazard (NYJ)","5","11","57","11.4","23","1","0","0","0","0","0","1","5.7","5.7","10.8%"
"41","Kendall Hinton (FA)","3","3","57","19.0","32","2","0","0","0","0","0","1","5.7","5.7","0.0%"
"42","Terry McLaurin (WAS)","4","7","55","13.8","19","0","0","1","1","0","0","1","5.6","5.6","90.8%"
"43","Jakobi Meyers (LV)","4","6","52","13.0","20","1","0","0","0","0","0","1","5.2","5.2","79.1%"
"44","Mack Hollins (ATL)","6","9","52","8.7","18","0","0","0","0","0","0","1","5.2","5.2","0.4%"
"45","A.J. Green (FA)","5","9","50","10.0","18","0","0","0","0","0","0","1","5.0","5.0","1.0%"
"46","Nico Collins (HOU)","5","7","48","9.6","22","1","0","0","0","0","0","1","4.8","4.8","92.0%"
"47","CeeDee Lamb (DAL)","5","5","45","9.0","27","1","0","0","0","0","0","1","4.5","4.5","100.0%"
"48","Noah Brown (HOU)","2","2","42","21.0","35","2","0","0","0","0","0","1","4.2","4.2","44.7%"
"49","Tyler Boyd (CIN)","2","7","42","21.0","27","1","0","0","0","0","0","1","4.2","4.2","49.6%"
"50","Van Jefferson (ATL)","3","5","41","13.7","20","1","0","0","0","0","0","1","4.1","4.1","2.4%"
"51","Michael Gallup (DAL)","3","4","41","13.7","19","0","0","0","0","0","0","1","4.1","4.1","19.7%"
"52","A.J. Brown (PHI)","5","7","60","12.0","29","1","0","0","0","0","1","1","4.0","4.0","100.0%"
"53","Kalif Raymond (DET)","3","7","33","11.0","21","1","0","1","7","0","0","1","4.0","4.0","1.9%"
"54","Gunner Olszewski (NYG)","2","3","39","19.5","31","2","0","0","0","0","0","1","3.9","3.9","0.0%"
"55","Denzel Mims (PIT)","2","6","35","17.5","34","2","0","0","0","0","0","1","3.5","3.5","0.0%"
"56","DeAndre Carter (LV)","3","3","33","11.0","20","1","0","0","0","0","0","1","3.3","3.3","0.1%"
"57","Justin Jefferson (MIN)","3","5","33","11.0","15","0","0","0","0","0","0","1","3.3","3.3","99.9%"
"58","Kenny Golladay (FA)","2","2","29","14.5","15","0","0","0","0","0","0","1","2.9","2.9","4.0%"
"59","Damiere Byrd (FA)","2","2","29","14.5","19","0","0","0","0","0","0","1","2.9","2.9","0.0%"
"60","Nick Westbrook-Ikhine (TEN)","2","2","28","14.0","19","0","0","0","0","0","0","1","2.8","2.8","0.8%"
"61","Alec Pierce (IND)","3","8","28","9.3","17","0","0","0","0","0","0","1","2.8","2.8","2.7%"
"62","Adam Thielen (CAR)","2","3","25","12.5","15","0","0","0","0","0","0","1","2.5","2.5","91.4%"
"63","DJ Moore (CHI)","3","5","24","8.0","12","0","0","0","0","0","0","1","2.4","2.4","96.6%"
"64","Equanimeous St. Brown (CHI)","2","2","24","12.0","14","0","0","0","0","0","0","1","2.4","2.4","0.1%"
