"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Minnesota Vikings (MIN)","2","2","2","1","1","0","0","1","15.0","15.0","26.2%"
"2","Washington Commanders (WAS)","1","1","3","2","1","0","0","1","15.0","15.0","18.0%"
"3","Tennessee Titans (TEN)","6","1","0","1","0","0","0","1","12.0","12.0","8.3%"
"4","Detroit Lions (DET)","3","1","0","1","1","0","0","1","10.0","10.0","32.8%"
"5","Pittsburgh Steelers (PIT)","2","2","0","1","0","0","0","1","10.0","10.0","89.2%"
"6","Carolina Panthers (CAR)","5","1","0","0","0","0","0","1","10.0","10.0","6.4%"
"7","New York Giants (NYG)","4","1","1","1","0","0","0","1","9.0","9.0","6.3%"
"8","Arizona Cardinals (ARI)","3","1","1","1","0","0","0","1","8.0","8.0","1.0%"
"9","Buffalo Bills (BUF)","4","2","0","1","0","0","0","1","8.0","8.0","74.0%"
"10","New Orleans Saints (NO)","6","0","0","1","0","0","0","1","7.0","7.0","60.5%"
"11","Philadelphia Eagles (PHI)","3","1","1","1","0","0","0","1","7.0","7.0","62.1%"
"12","Miami Dolphins (MIA)","3","0","1","1","0","0","0","1","6.0","6.0","91.7%"
"13","Tampa Bay Buccaneers (TB)","3","0","1","1","0","0","0","1","6.0","6.0","49.0%"
"14","San Francisco 49ers (SF)","3","1","0","1","0","0","0","1","6.0","6.0","94.9%"
"15","Jacksonville Jaguars (JAC)","0","1","2","1","0","0","0","1","6.0","6.0","55.5%"
"16","Kansas City Chiefs (KC)","5","0","0","0","0","0","0","1","6.0","6.0","72.9%"
"17","Dallas Cowboys (DAL)","2","0","2","2","0","0","0","1","5.0","5.0","96.5%"
"18","Green Bay Packers (GB)","2","2","0","0","0","0","0","1","5.0","5.0","54.0%"
"19","Denver Broncos (DEN)","1","0","1","1","0","0","0","1","4.0","4.0","23.5%"
"20","Seattle Seahawks (SEA)","0","2","0","0","0","0","0","1","4.0","4.0","22.0%"
"21","Las Vegas Raiders (LV)","1","0","1","2","0","0","0","1","3.0","3.0","9.8%"
"22","Indianapolis Colts (IND)","2","0","0","0","0","0","0","1","3.0","3.0","33.2%"
"23","Houston Texans (HOU)","3","0","0","0","0","0","0","1","3.0","3.0","54.5%"
"24","Los Angeles Chargers (LAC)","1","0","1","1","0","0","0","1","3.0","3.0","30.2%"
"25","Los Angeles Rams (LAR)","2","0","0","1","0","0","0","1","2.0","2.0","22.6%"
"26","Chicago Bears (CHI)","2","0","0","0","0","0","0","1","2.0","2.0","3.9%"
"27","Atlanta Falcons (ATL)","1","0","0","0","0","0","0","1","1.0","1.0","49.4%"
"28","Cleveland Browns (CLE)","1","0","0","0","0","0","0","1","-3.0","-3.0","82.1%"
""
""
