"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"56","Chase Claypool (MIA)","5","8","41","8.2","12","0","0","0","0","0","0","1","4.1","4.1","2.4%"
"57","Russell Gage (TB)","4","5","39","9.8","20","1","0","0","0","0","0","1","3.9","3.9","0.1%"
"58","Michael Pittman Jr. (IND)","6","9","58","9.7","14","0","0","0","0","0","1","1","3.8","3.8","96.1%"
"59","DeAndre Carter (LV)","3","7","37","12.3","22","1","0","0","0","0","0","1","3.7","3.7","0.1%"
"60","Alec Pierce (IND)","3","4","37","12.3","20","1","0","0","0","0","0","1","3.7","3.7","2.7%"
"61","Sammy Watkins (FA)","2","4","36","18.0","28","1","0","0","0","0","0","1","3.6","3.6","0.0%"
"62","Nico Collins (HOU)","3","3","33","11.0","15","0","0","0","0","0","0","1","3.3","3.3","92.0%"
"63","Cody Hollister (FA)","2","2","32","16.0","27","1","0","0","0","0","0","1","3.2","3.2","0.0%"
"64","Olamide Zaccheaus (PHI)","3","4","31","10.3","12","0","0","0","0","0","0","1","3.1","3.1","0.1%"
"65","Rondale Moore (ARI)","1","2","31","31.0","31","2","0","0","0","0","0","1","3.1","3.1","21.2%"
"66","Dante Pettis (FA)","1","1","2","2.0","2","0","0","1","29","0","0","1","3.1","3.1","0.0%"
"67","Terrace Marshall Jr. (CAR)","2","3","31","15.5","20","1","0","0","0","0","0","1","3.1","3.1","0.3%"
"68","Noah Brown (HOU)","5","7","50","10.0","15","0","0","0","0","0","1","1","3.0","3.0","44.7%"
"69","Robert Woods (HOU)","3","4","26","8.7","13","0","0","0","0","0","0","1","2.6","2.6","7.8%"
"70","Garrett Wilson (NYJ)","4","4","24","6.0","12","0","0","0","0","0","0","1","2.4","2.4","97.3%"
"71","Jauan Jennings (SF)","2","4","24","12.0","13","0","0","0","0","0","0","1","2.4","2.4","0.7%"
"72","Courtland Sutton (DEN)","3","9","23","7.7","11","0","0","0","0","0","0","1","2.3","2.3","86.9%"
"73","Marquez Callaway (NO)","2","6","20","10.0","12","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"74","DJ Turner (LV)","0","0","0","0","0","0","0","3","20","0","0","1","2.0","2.0","0.0%"
"75","Tyquan Thornton (NE)","1","5","19","19.0","19","0","0","0","0","0","0","1","1.9","1.9","1.0%"
"76","David Sills (DEN)","1","1","19","19.0","19","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"77","KJ Hamler (IND)","1","4","4","4.0","4","0","0","1","14","0","0","1","1.8","1.8","0.0%"
"78","N'Keal Harry (MIN)","1","1","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"79","Kendall Hinton (FA)","1","1","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"80","Tom Kennedy (DET)","2","3","14","7.0","9","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"81","Cam Sims (CAR)","1","2","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"82","DK Metcalf (SEA)","1","2","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","98.2%"
"83","Keenan Allen (LAC)","2","2","11","5.5","10","0","0","0","0","0","0","1","1.1","1.1","99.4%"
"84","Drake London (ATL)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","82.4%"
"85","Laviska Shenault Jr. (CAR)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.1%"
"86","Josh Reynolds (DET)","1","2","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","11.4%"
"87","David Bell (CLE)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.1%"
"88","Tim Jones (JAC)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"89","Scott Miller (ATL)","2","2","6","3.0","4","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"90","Jason Moore Jr. (FA)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"91","Samori Toure (GB)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.1%"
"92","Amon-Ra St. Brown (DET)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","100.0%"
"93","Dax Milne (WAS)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"94","Denzel Mims (PIT)","1","2","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"95","Dee Eskridge (SEA)","0","1","0","0","0","0","0","1","4","0","0","1","0.4","0.4","0.0%"
"96","KaVontae Turpin (DAL)","0","0","0","0","0","0","0","1","3","0","0","1","0.3","0.3","0.7%"
"97","Mason Kinsey (TEN)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"98","Richie James Jr. (KC)","1","2","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","0.1%"
"99","Montrell Washington (KC)","0","0","0","0","0","0","0","1","2","0","0","1","0.2","0.2","0.0%"
"100","Jaelon Darden (CLE)","1","1","1","1.0","1","0","0","0","0","0","0","1","0.1","0.1","0.0%"
