"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Greg Joseph (MIN)","5","5","100.0","47","0","2","1","2","0","1","2","1","18.0","18.0","5.2%"
"2","Brett Maher (FA)","4","4","100.0","53","0","2","0","1","1","1","2","1","16.0","16.0","2.8%"
"3","Daniel Carlson (LV)","4","4","100.0","39","0","2","2","0","0","2","3","1","14.0","14.0","37.9%"
"4","Jason Myers (SEA)","2","3","66.7","56","0","1","0","0","1","6","6","1","14.0","14.0","53.9%"
"5","Michael Badgley (DET)","4","4","100.0","40","0","2","1","1","0","0","0","1","13.0","13.0","0.0%"
"6","Younghoe Koo (ATL)","3","3","100.0","45","0","1","1","1","0","2","2","1","12.0","12.0","52.5%"
"7","Matthew Wright (NE)","2","2","100.0","44","0","0","1","1","0","5","5","1","12.0","12.0","0.0%"
"8","Chris Boswell (PIT)","2","2","100.0","59","0","0","0","0","2","2","2","1","12.0","12.0","33.2%"
"9","Tyler Bass (BUF)","3","3","100.0","39","0","1","2","0","0","2","2","1","11.0","11.0","59.2%"
"10","Justin Tucker (BAL)","2","2","100.0","51","0","0","0","1","1","2","2","1","11.0","11.0","93.6%"
"11","Evan McPherson (CIN)","2","2","100.0","57","1","0","0","0","1","3","3","1","11.0","11.0","77.2%"
"12","Graham Gano (NYG)","2","3","66.7","44","0","0","0","2","0","2","2","1","10.0","10.0","11.8%"
"13","Dustin Hopkins (CLE)","2","2","100.0","37","0","1","1","0","0","4","4","1","10.0","10.0","59.2%"
"14","Jason Sanders (MIA)","3","4","75.0","48","0","2","0","1","0","0","1","1","10.0","10.0","63.5%"
"15","Cade York (NYG)","2","2","100.0","45","0","1","0","1","0","2","2","1","9.0","9.0","0.1%"
"16","Matt Gay (IND)","3","3","100.0","39","0","2","1","0","0","0","0","1","9.0","9.0","51.6%"
"17","Mason Crosby (LAR)","2","2","100.0","38","0","0","2","0","0","3","3","1","9.0","9.0","0.1%"
"18","Matt Prater (ARI)","2","2","100.0","39","0","0","2","0","0","2","2","1","8.0","8.0","8.8%"
"19","Ryan Succop (FA)","1","1","100.0","45","0","0","0","1","0","4","4","1","8.0","8.0","0.0%"
"20","Randy Bullock (NYG)","1","1","100.0","44","0","0","0","1","0","3","3","1","7.0","7.0","0.1%"
"21","Ka'imi Fairbairn (HOU)","1","2","50.0","40","0","0","0","1","0","3","3","1","7.0","7.0","2.4%"
"22","Wil Lutz (DEN)","1","2","50.0","60","0","0","0","0","1","2","2","1","7.0","7.0","15.3%"
"23","Nick Folk (TEN)","1","1","100.0","37","0","0","1","0","0","3","3","1","6.0","6.0","33.1%"
"24","Greg Zuerlein (NYJ)","1","1","100.0","38","0","0","1","0","0","3","3","1","6.0","6.0","7.1%"
"25","Eddy Pineiro (CAR)","1","1","100.0","54","0","0","0","0","1","1","1","1","6.0","6.0","5.8%"
"26","Robbie Gould (FA)","1","2","50.0","25","0","1","0","0","0","3","3","1","6.0","6.0","0.1%"
"27","Dominik Eberle (FA)","1","1","100.0","49","0","0","0","1","0","2","4","1","6.0","6.0","0.0%"
"28","Chase McLaughlin (TB)","1","2","50.0","27","0","1","0","0","0","2","2","1","5.0","5.0","5.1%"
"29","Jake Elliott (PHI)","1","1","100.0","28","0","1","0","0","0","2","3","1","5.0","5.0","87.2%"
"30","Brandon McManus (JAC)","1","1","100.0","28","0","1","0","0","0","2","3","1","5.0","5.0","50.9%"
"31","Joey Slye (WAS)","1","1","100.0","45","0","0","0","1","0","1","1","1","5.0","5.0","1.0%"
"32","Riley Patterson (DET)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","42.8%"
""
""
