"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Dalton Schultz (HOU)","4","4","31","7.8","15","0","2","0","0","0","0","1","15.1","15.1","80.4%"
"2","Josh Oliver (MIN)","4","6","76","19.0","40","3","1","0","0","0","0","1","13.6","13.6","0.2%"
"3","Hunter Henry (NE)","3","5","63","21.0","37","3","1","0","0","0","0","1","12.3","12.3","20.1%"
"4","Travis Kelce (KC)","4","8","57","14.3","39","2","1","0","0","0","0","1","11.7","11.7","100.0%"
"5","T.J. Hockenson (MIN)","5","6","43","8.6","14","0","1","0","0","0","0","1","10.3","10.3","99.2%"
"6","Jordan Akins (CLE)","5","5","61","12.2","25","1","1","0","0","0","1","1","10.1","10.1","0.0%"
"7","Jelani Woods (IND)","8","9","98","12.3","28","1","0","0","0","0","0","1","9.8","9.8","0.9%"
"8","Foster Moreau (NO)","3","7","33","11.0","17","0","1","0","0","0","0","1","9.3","9.3","0.1%"
"9","David Njoku (CLE)","5","7","29","5.8","12","0","1","0","0","0","0","1","8.9","8.9","90.8%"
"10","John Bates (WAS)","3","4","24","8.0","16","0","1","0","0","0","0","1","8.4","8.4","0.1%"
"11","Mark Andrews (BAL)","4","7","50","12.5","25","1","0","0","0","0","0","1","7.0","7.0","57.4%"
"12","MyCole Pruitt (ATL)","2","3","9","4.5","5","0","1","0","0","0","0","1","6.9","6.9","0.0%"
"13","Ko Kieft (TB)","1","1","5","5.0","5","0","1","0","0","0","0","1","6.5","6.5","0.0%"
"14","Durham Smythe (MIA)","1","1","4","4.0","4","0","1","0","0","0","0","1","6.4","6.4","0.5%"
"15","Peyton Hendershot (DAL)","0","0","0","0","0","0","0","1","2","1","0","1","6.2","6.2","0.1%"
"16","Hayden Hurst (CAR)","6","9","57","9.5","29","1","0","0","0","0","0","1","5.7","5.7","3.3%"
"17","Jake Ferguson (DAL)","3","3","57","19.0","30","2","0","0","0","0","0","1","5.7","5.7","87.0%"
"18","Tyler Conklin (NYJ)","3","3","50","16.7","29","1","0","0","0","0","0","1","5.0","5.0","20.0%"
"19","Pat Freiermuth (PIT)","3","4","39","13.0","17","0","0","0","0","0","0","1","3.9","3.9","72.6%"
"20","Gerald Everett (LAC)","4","4","18","4.5","10","0","0","0","0","0","0","1","3.8","3.8","34.0%"
"21","Chigoziem Okonkwo (TEN)","3","5","35","11.7","17","0","0","0","0","0","0","1","3.5","3.5","30.6%"
"22","Noah Fant (SEA)","3","3","34","11.3","24","1","0","0","0","0","0","1","3.4","3.4","1.8%"
