"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Christian Watson (GB)","4","8","107","26.8","58","6","3","0","0","0","0","1","28.7","28.7","78.8%"
"2","CeeDee Lamb (DAL)","11","15","150","13.6","35","5","2","0","0","0","0","1","27.0","27.0","100.0%"
"3","Justin Jefferson (MIN)","10","16","193","19.3","46","7","1","0","0","0","0","1","25.3","25.3","99.9%"
"4","Nick Westbrook-Ikhine (TEN)","5","8","119","23.8","63","5","2","0","0","0","0","1","23.9","23.9","0.8%"
"5","Christian Kirk (JAC)","9","12","105","11.7","24","1","2","0","0","0","0","1","22.5","22.5","86.5%"
"6","Davante Adams (LV)","9","14","126","14.0","48","3","1","0","0","0","0","1","18.6","18.6","99.9%"
"7","Darius Slayton (NYG)","3","4","95","31.7","54","6","1","0","0","0","0","1","15.5","15.5","2.2%"
"8","Gabe Davis (BUF)","6","10","93","15.5","22","2","1","0","0","0","0","1","15.3","15.3","81.3%"
"9","Kadarius Toney (KC)","4","5","57","14.3","23","2","1","2","33","0","0","1","15.0","15.0","12.1%"
"10","Parris Campbell (NYG)","7","9","76","10.9","35","2","1","0","0","0","0","1","13.6","13.6","2.5%"
"11","Chris Godwin (TB)","6","8","71","11.8","19","0","1","0","0","0","0","1","13.1","13.1","88.5%"
"12","Stefon Diggs (BUF)","12","16","128","10.7","25","1","0","0","0","0","0","1","12.8","12.8","100.0%"
"13","Terry McLaurin (WAS)","8","11","128","16.0","41","4","0","0","0","0","0","1","12.8","12.8","90.8%"
"14","Jalen Virgil (DEN)","1","1","66","66.0","66","4","1","0","0","0","0","1","12.6","12.6","0.0%"
"15","DeAndre Carter (LV)","4","4","64","16.0","33","4","1","0","0","0","0","1","12.4","12.4","0.1%"
"16","Trent Sherfield (BUF)","4","5","63","15.8","27","1","1","0","0","0","0","1","12.3","12.3","0.1%"
"17","Amon-Ra St. Brown (DET)","10","11","119","11.9","22","2","0","1","2","0","0","1","12.1","12.1","100.0%"
"18","Marquez Valdes-Scantling (KC)","3","4","60","20.0","36","2","1","0","0","0","0","1","12.0","12.0","3.8%"
"19","Laviska Shenault Jr. (CAR)","3","4","17","5.7","8","0","0","2","42","1","0","1","11.9","11.9","0.1%"
