"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","6","10","115","19.2","34","5","3","0","0","0","0","1","29.5","29.5","100.0%"
"2","George Kittle (SF)","4","6","84","21.0","39","4","2","0","0","0","0","1","20.4","20.4","99.7%"
"3","Austin Hooper (LV)","4","4","36","9.0","16","0","2","0","0","0","0","1","15.6","15.6","0.3%"
"4","Juwan Johnson (NO)","3","4","47","15.7","26","1","1","0","0","0","0","1","10.7","10.7","20.9%"
"5","Pat Freiermuth (PIT)","8","12","79","9.9","27","1","0","0","0","0","0","1","7.9","7.9","72.6%"
"6","Dawson Knox (BUF)","7","7","70","10.0","23","1","0","0","0","0","0","1","7.0","7.0","5.4%"
"7","Taysom Hill (NO)","1","1","8","8.0","8","0","0","9","52","0","0","1","6.6","6.6","77.0%"
"8","Logan Thomas (WAS)","5","6","65","13.0","19","0","0","0","0","0","0","1","6.5","6.5","53.5%"
"9","Mark Andrews (BAL)","6","8","63","10.5","16","0","0","0","0","0","0","1","6.3","6.3","57.4%"
"10","Jody Fortson (KC)","2","2","51","25.5","40","3","0","0","0","0","0","1","5.1","5.1","0.0%"
"11","Tyler Higbee (LAR)","4","8","45","11.3","20","1","0","0","0","0","0","1","4.5","4.5","44.3%"
"12","Jonnu Smith (ATL)","4","4","40","10.0","26","1","0","1","5","0","0","1","4.5","4.5","18.3%"
"13","Kyle Pitts (ATL)","3","5","43","14.3","18","0","0","0","0","0","0","1","4.3","4.3","81.5%"
"14","Harrison Bryant (CLE)","4","7","41","10.3","14","0","0","0","0","0","0","1","4.1","4.1","0.7%"
"15","Cole Kmet (CHI)","3","4","35","11.7","24","1","0","0","0","0","0","1","3.5","3.5","82.2%"
"16","T.J. Hockenson (MIN)","5","9","34","6.8","11","0","0","0","0","0","0","1","3.4","3.4","99.2%"
"17","Foster Moreau (NO)","1","3","33","33.0","33","2","0","0","0","0","0","1","3.3","3.3","0.1%"
"18","Chigoziem Okonkwo (TEN)","1","2","31","31.0","31","2","0","0","0","0","0","1","3.1","3.1","30.6%"
"19","Greg Dulcich (DEN)","4","5","30","7.5","15","0","0","0","0","0","0","1","3.0","3.0","5.8%"
"20","Hayden Hurst (CAR)","2","3","28","14.0","21","1","0","0","0","0","0","1","2.8","2.8","3.3%"
"21","Ian Thomas (CAR)","3","4","24","8.0","12","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"22","Dalton Schultz (HOU)","3","5","22","7.3","12","0","0","0","0","0","0","1","2.2","2.2","80.4%"
"23","Hunter Henry (NE)","1","1","20","20.0","20","1","0","0","0","0","0","1","2.0","2.0","20.1%"
"24","Brock Wright (DET)","2","2","20","10.0","16","0","0","0","0","0","0","1","2.0","2.0","0.1%"
"25","Robert Tonyan (CHI)","2","4","19","9.5","10","0","0","0","0","0","0","1","1.9","1.9","0.1%"
"26","MyCole Pruitt (ATL)","1","1","17","17.0","17","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"27","David Njoku (CLE)","2","3","17","8.5","21","1","0","0","0","0","0","1","1.7","1.7","90.8%"
"28","Eric Saubert (HOU)","2","2","16","8.0","9","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"29","Kylen Granson (IND)","1","1","16","16.0","16","0","0","0","0","0","0","1","1.6","1.6","0.8%"
"30","Tyler Conklin (NYJ)","2","3","15","7.5","8","0","0","0","0","0","0","1","1.5","1.5","20.0%"
"31","Noah Gray (KC)","2","3","15","7.5","12","0","0","0","0","0","0","1","1.5","1.5","1.1%"
"32","Jake Ferguson (DAL)","2","2","15","7.5","11","0","0","0","0","0","0","1","1.5","1.5","87.0%"
"33","Trey McBride (ARI)","4","4","14","3.5","6","0","0","0","0","0","0","1","1.4","1.4","80.4%"
"34","Mo Alie-Cox (IND)","1","1","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","0.1%"
"35","Adam Trautman (DEN)","3","3","12","4.0","7","0","0","0","0","0","0","1","1.2","1.2","0.4%"
"36","O.J. Howard (FA)","1","3","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"37","Jordan Akins (CLE)","2","3","8","4.0","8","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"38","Zach Gentry (CIN)","2","3","8","4.0","9","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"39","Johnny Mundt (MIN)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"40","Maxx Williams (FA)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"41","Jack Stoll (PHI)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.2%"
"42","Stone Smartt (LAC)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.1%"
"43","Geoff Swaim (ARI)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"44","Josh Oliver (MIN)","1","1","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","0.2%"
"45","Isaiah Likely (BAL)","1","3","1","1.0","1","0","0","0","0","0","0","1","0.1","0.1","38.8%"
"46","Jesper Horsted (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"47","Tyree Jackson (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"48","Lawrence Cager (NYG)","2","3","20","10.0","13","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"49","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"50","Devin Asiasi (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"51","Grant Calcaterra (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"52","Teagan Quitoriano (HOU)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"53","Connor Heyward (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.5%"
"54","Tommy Tremble (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"55","John Bates (WAS)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"56","Cole Turner (WAS)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"57","Ben Mason (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"58","Jacob Harris (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"59","Ryan Griffin (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"60","Stephen Anderson (LAC)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"61","Pharaoh Brown (NE)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"62","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"63","C.J. Uzomah (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"64","Peyton Hendershot (DAL)","1","1","-2","-2.0","0","0","0","0","0","0","0","1","-0.2","-0.2","0.1%"
""
""
