"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","New England Patriots (NE)","9","1","0","0","1","0","0","1","26.0","26.0","29.1%"
"2","Detroit Lions (DET)","1","3","0","2","0","0","0","1","11.0","11.0","32.8%"
"3","Baltimore Ravens (BAL)","4","1","0","0","0","0","0","1","10.0","10.0","84.7%"
"4","New York Jets (NYJ)","5","2","0","2","0","0","0","1","10.0","10.0","72.7%"
"5","Arizona Cardinals (ARI)","2","1","0","0","1","0","0","1","9.0","9.0","1.0%"
"6","Miami Dolphins (MIA)","2","0","0","0","0","0","1","1","9.0","9.0","91.7%"
"7","Tampa Bay Buccaneers (TB)","4","0","0","0","0","0","0","1","8.0","8.0","49.0%"
"8","Seattle Seahawks (SEA)","5","0","1","1","0","0","0","1","8.0","8.0","22.0%"
"9","Philadelphia Eagles (PHI)","3","2","0","0","0","0","0","1","8.0","8.0","62.1%"
"10","Tennessee Titans (TEN)","4","1","0","0","0","0","0","1","7.0","7.0","8.3%"
"11","Los Angeles Chargers (LAC)","2","0","2","1","0","0","0","1","7.0","7.0","30.2%"
"12","Indianapolis Colts (IND)","4","0","1","2","0","0","0","1","7.0","7.0","33.2%"
"13","Cincinnati Bengals (CIN)","0","2","1","0","0","0","0","1","6.0","6.0","19.4%"
"14","Minnesota Vikings (MIN)","3","1","0","0","0","0","0","1","6.0","6.0","26.2%"
"15","Buffalo Bills (BUF)","2","0","1","1","0","0","0","1","5.0","5.0","74.0%"
"16","Washington Commanders (WAS)","2","1","0","0","0","0","0","1","5.0","5.0","18.0%"
"17","Atlanta Falcons (ATL)","0","1","1","1","0","0","0","1","5.0","5.0","49.4%"
"18","Jacksonville Jaguars (JAC)","2","0","1","1","0","0","0","1","5.0","5.0","55.5%"
"19","Houston Texans (HOU)","4","0","1","2","0","0","0","1","5.0","5.0","54.5%"
"20","Kansas City Chiefs (KC)","3","0","0","0","0","0","0","1","4.0","4.0","72.9%"
"21","Los Angeles Rams (LAR)","1","0","0","0","0","0","0","1","4.0","4.0","22.6%"
"22","Green Bay Packers (GB)","0","1","0","0","0","0","0","1","3.0","3.0","54.0%"
"23","New Orleans Saints (NO)","3","0","0","0","0","0","0","1","3.0","3.0","60.5%"
"24","Las Vegas Raiders (LV)","0","0","1","0","0","0","0","1","2.0","2.0","9.8%"
"25","Chicago Bears (CHI)","0","0","0","0","0","0","0","1","-1.0","-1.0","3.9%"
"26","Carolina Panthers (CAR)","2","0","0","0","0","0","0","1","-2.0","-2.0","6.4%"
""
""
