"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Nick Folk (TEN)","5","5","100.0","44","0","1","3","1","0","2","2","1","18.0","18.0","33.1%"
"2","Chase McLaughlin (TB)","4","4","100.0","52","0","0","1","1","2","0","0","1","17.0","17.0","5.1%"
"3","Daniel Carlson (LV)","3","3","100.0","53","0","0","0","1","2","2","2","1","16.0","16.0","37.9%"
"4","Justin Tucker (BAL)","4","4","100.0","58","0","1","1","1","1","1","1","1","16.0","16.0","93.6%"
"5","Cairo Santos (CHI)","3","3","100.0","51","0","0","0","1","2","1","1","1","15.0","15.0","6.5%"
"6","Taylor Bertolet (FA)","3","3","100.0","28","0","3","0","0","0","3","3","1","12.0","12.0","0.0%"
"7","Brandon McManus (JAC)","3","4","75.0","45","0","0","1","2","0","0","0","1","11.0","11.0","50.9%"
"8","Ka'imi Fairbairn (HOU)","2","2","100.0","51","0","0","0","0","2","1","1","1","11.0","11.0","2.4%"
"9","Brett Maher (FA)","3","3","100.0","40","0","0","2","1","0","1","1","1","11.0","11.0","2.8%"
"10","Mason Crosby (LAR)","2","2","100.0","48","0","0","0","2","0","2","2","1","10.0","10.0","0.1%"
"11","Graham Gano (NYG)","2","2","100.0","48","0","0","1","1","0","3","3","1","10.0","10.0","11.8%"
"12","Jason Myers (SEA)","2","2","100.0","56","0","0","1","0","1","2","3","1","10.0","10.0","53.9%"
"13","Eddy Pineiro (CAR)","3","4","75.0","43","0","0","2","1","0","0","0","1","10.0","10.0","5.8%"
"14","Wil Lutz (DEN)","1","1","100.0","56","0","0","0","0","1","4","4","1","9.0","9.0","15.3%"
"15","Cameron Dicker (LAC)","2","2","100.0","42","0","1","0","1","0","2","2","1","9.0","9.0","71.0%"
"16","Tyler Bass (BUF)","1","2","50.0","35","0","0","1","0","0","5","5","1","8.0","8.0","59.2%"
"17","Greg Zuerlein (NYJ)","1","1","100.0","34","0","0","1","0","0","5","5","1","8.0","8.0","7.1%"
"18","Matthew Wright (NE)","1","2","50.0","59","0","0","0","0","1","3","3","1","8.0","8.0","0.0%"
"19","Ryan Succop (FA)","2","2","100.0","44","0","1","0","1","0","1","1","1","8.0","8.0","0.0%"
"20","Riley Patterson (DET)","2","2","100.0","45","0","1","0","1","0","0","0","1","7.0","7.0","42.8%"
"21","Robbie Gould (FA)","1","2","50.0","49","0","0","0","1","0","3","3","1","7.0","7.0","0.1%"
"22","Joey Slye (WAS)","1","1","100.0","50","0","0","0","0","1","2","2","1","7.0","7.0","1.0%"
"23","Jason Sanders (MIA)","1","2","50.0","46","0","0","0","1","0","2","2","1","6.0","6.0","63.5%"
"24","Evan McPherson (CIN)","1","1","100.0","40","0","0","0","1","0","2","2","1","6.0","6.0","77.2%"
"25","Matt Ammendola (HOU)","1","2","50.0","20","0","1","0","0","0","2","2","1","5.0","5.0","3.3%"
"26","Cade York (NYG)","0","2","0.0","0","0","0","0","0","0","4","4","1","4.0","4.0","0.1%"
"27","Matt Gay (IND)","1","2","50.0","29","0","1","0","0","0","1","1","1","4.0","4.0","51.6%"
"28","Greg Joseph (MIN)","0","2","0.0","0","0","0","0","0","0","3","3","1","3.0","3.0","5.2%"
"29","Chris Boswell (PIT)","1","3","33.3","29","0","1","0","0","0","0","0","1","3.0","3.0","33.2%"
"30","Randy Bullock (NYG)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","0.1%"
"31","Younghoe Koo (ATL)","0","1","0.0","0","0","0","0","0","0","1","1","1","1.0","1.0","52.5%"
"32","Quinn Nordin (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
""
""
