"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Khalil Herbert (CHI)","20","157","7.9","52","4","2","2","2","12","6.0","0","0","1","28.9","28.9","60.4%"
"2","Jamaal Williams (NO)","20","87","4.4","15","0","2","2","2","20","10.0","0","0","1","22.7","22.7","17.8%"
"3","Cordarrelle Patterson (ATL)","17","141","8.3","40","3","1","1","1","12","12.0","0","0","1","21.3","21.3","2.0%"
"4","Derrick Henry (TEN)","20","85","4.3","24","1","1","5","6","58","11.6","0","0","1","20.3","20.3","99.8%"
"5","Saquon Barkley (NYG)","14","81","5.8","36","2","1","4","4","45","11.3","0","0","1","18.6","18.6","99.9%"
"6","James Robinson (FA)","17","100","5.9","50","5","1","3","3","16","5.3","0","0","1","17.6","17.6","0.6%"
"7","Nick Chubb (CLE)","23","113","4.9","36","2","1","0","1","0","0","0","0","1","17.3","17.3","22.3%"
"8","Dameon Pierce (HOU)","20","80","4.0","24","1","1","2","2","21","10.5","0","0","1","16.1","16.1","68.0%"
"9","Rhamondre Stevenson (NE)","12","73","6.1","18","0","1","4","5","28","7.0","0","0","1","16.1","16.1","92.9%"
"10","Devin Singletary (HOU)","9","13","1.4","6","0","0","9","11","78","8.7","1","0","1","15.1","15.1","75.5%"
"11","Chase Edmonds (TB)","6","21","3.5","8","0","2","1","1","6","6.0","0","0","1","14.7","14.7","1.1%"
"12","Dalvin Cook (NYJ)","17","96","5.6","13","0","1","0","0","0","0","0","1","1","13.6","13.6","23.9%"
"13","Ezekiel Elliott (NE)","15","73","4.9","27","1","1","1","1","2","2.0","0","0","1","13.5","13.5","56.3%"
"14","Samaje Perine (DEN)","9","47","5.2","7","0","0","2","2","14","7.0","1","0","1","12.1","12.1","32.8%"
"15","Melvin Gordon III (BAL)","12","26","2.2","6","0","1","5","6","29","5.8","0","0","1","11.5","11.5","0.1%"
"16","Christian McCaffrey (SF)","25","108","4.3","18","0","0","2","4","7","3.5","0","0","1","11.5","11.5","100.0%"
"17","Damien Harris (BUF)","11","41","3.7","10","0","1","2","3","5","2.5","0","0","1","10.6","10.6","7.2%"
"18","Tony Pollard (DAL)","13","105","8.1","46","3","0","0","1","0","0","0","0","1","10.5","10.5","99.8%"
"19","Alexander Mattison (MIN)","7","28","4.0","9","0","1","1","1","16","16.0","0","0","1","10.4","10.4","86.3%"
"20","Najee Harris (PIT)","15","56","3.7","10","0","1","3","3","5","1.7","0","1","1","10.1","10.1","93.6%"
"21","Cam Akers (MIN)","12","61","5.1","14","0","1","0","0","0","0","0","1","1","10.1","10.1","20.9%"
"22","Antonio Gibson (WAS)","12","38","3.2","11","0","1","1","1","2","2.0","0","0","1","10.0","10.0","50.0%"
"23","Clyde Edwards-Helaire (KC)","7","0","0.0","4","0","1","5","5","39","7.8","0","0","1","9.9","9.9","4.5%"
"24","Josh Jacobs (LV)","13","66","5.1","13","0","0","5","5","31","6.2","0","0","1","9.7","9.7","99.6%"
"25","Breece Hall (NYJ)","8","39","4.9","16","0","0","6","11","53","8.8","0","0","1","9.2","9.2","97.4%"
"26","Jonathan Taylor (IND)","21","71","3.4","13","0","0","3","5","20","6.7","0","0","1","9.1","9.1","95.7%"
"27","Jeff Wilson Jr. (MIA)","12","75","6.3","37","2","0","3","3","31","10.3","0","1","1","8.6","8.6","15.8%"
"28","Mark Ingram II (FA)","5","18","3.6","7","0","1","0","0","0","0","0","0","1","7.8","7.8","0.0%"
"29","Travis Etienne Jr. (JAC)","13","45","3.5","9","0","0","3","3","30","10.0","0","0","1","7.5","7.5","99.9%"
"30","Leonard Fournette (BUF)","12","35","2.9","6","0","0","5","6","35","7.0","0","0","1","7.0","7.0","4.5%"
"31","Rashaad Penny (PHI)","14","66","4.7","14","0","0","1","1","3","3.0","0","0","1","6.9","6.9","11.8%"
"32","Kareem Hunt (CLE)","12","47","3.9","11","0","0","3","4","14","4.7","0","0","1","6.1","6.1","55.5%"
"33","Javonte Williams (DEN)","15","58","3.9","16","0","0","3","5","2","0.7","0","0","1","6.0","6.0","90.9%"
"34","Justice Hill (BAL)","6","60","10.0","34","2","0","0","0","0","0","0","0","1","6.0","6.0","12.4%"
"35","James Conner (ARI)","13","39","3.0","10","0","0","3","5","18","6.0","0","0","1","5.7","5.7","90.2%"
"36","Austin Ekeler (LAC)","4","5","1.3","3","0","0","8","8","48","6.0","0","0","1","5.3","5.3","100.0%"
"37","Alvin Kamara (NO)","15","61","4.1","27","1","0","2","7","12","6.0","0","1","1","5.3","5.3","98.7%"
"38","Zack Moss (IND)","4","46","11.5","43","3","0","1","1","6","6.0","0","0","1","5.2","5.2","88.5%"
"39","Michael Carter (ARI)","11","39","3.5","9","0","0","1","2","7","7.0","0","0","1","4.6","4.6","1.5%"
"40","D'Andre Swift (PHI)","7","31","4.4","9","0","0","3","4","15","5.0","0","0","1","4.6","4.6","96.9%"
"41","Dontrell Hilliard (FA)","2","14","7.0","10","0","0","1","1","30","30.0","0","0","1","4.4","4.4","0.0%"
"42","Miles Sanders (CAR)","15","46","3.1","13","0","0","1","1","-2","-2.0","0","0","1","4.4","4.4","51.0%"
"43","J.K. Dobbins (BAL)","7","23","3.3","5","0","0","2","2","17","8.5","0","0","1","4.0","4.0","16.3%"
"44","James Cook (BUF)","1","3","3.0","3","0","0","4","5","37","9.3","0","0","1","4.0","4.0","94.3%"
"45","J.D. McKissic (FA)","3","8","2.7","6","0","0","6","9","32","5.3","0","0","1","4.0","4.0","0.0%"
"46","AJ Dillon (GB)","12","32","2.7","7","0","0","2","3","6","3.0","0","0","1","3.8","3.8","71.7%"
"47","DeeJay Dallas (SEA)","3","21","7.0","16","0","0","2","2","17","8.5","0","0","1","3.8","3.8","0.9%"
"48","Joe Mixon (CIN)","12","24","2.0","9","0","0","3","7","14","4.7","0","0","1","3.8","3.8","98.6%"
"49","Jaylen Warren (PIT)","4","30","7.5","10","0","0","1","1","3","3.0","0","0","1","3.3","3.3","83.5%"
"50","Kenneth Walker III (SEA)","3","19","6.3","21","1","0","3","3","14","4.7","0","0","1","3.3","3.3","96.4%"
"51","Sony Michel (FA)","5","22","4.4","8","0","0","1","2","9","9.0","0","0","1","3.1","3.1","0.0%"
"52","Tyler Allgeier (ATL)","6","25","4.2","7","0","0","1","1","5","5.0","0","0","1","3.0","3.0","46.9%"
"53","Nyheim Hines (BUF)","3","7","2.3","7","0","0","5","6","23","4.6","0","0","1","3.0","3.0","0.1%"
"54","Rex Burkhead (FA)","3","9","3.0","4","0","0","4","5","21","5.3","0","0","1","3.0","3.0","10.0%"
"55","Aaron Jones (GB)","12","36","3.0","10","0","0","3","4","11","3.7","0","1","1","2.7","2.7","92.5%"
"56","Chuba Hubbard (CAR)","3","25","8.3","14","0","0","0","0","0","0","0","0","1","2.5","2.5","69.8%"
"57","Kyle Juszczyk (SF)","0","0","0","0","0","0","1","1","24","24.0","0","0","1","2.4","2.4","0.3%"
"58","Eno Benjamin (NO)","5","16","3.2","9","0","0","2","4","7","3.5","0","0","1","2.3","2.3","0.0%"
"59","Trestan Ebner (FA)","7","23","3.3","7","0","0","0","1","0","0","0","0","1","2.3","2.3","0.0%"
"60","Reggie Gilliam (BUF)","0","0","0","0","0","0","2","3","22","11.0","0","0","1","2.2","2.2","0.0%"
"61","Brandon Bolden (LV)","3","17","5.7","12","0","0","2","2","4","2.0","0","0","1","2.1","2.1","0.1%"
"62","Jerick McKinnon (KC)","7","20","2.9","6","0","0","0","1","0","0","0","0","1","2.0","2.0","23.3%"
"63","Craig Reynolds (DET)","6","13","2.2","5","0","0","1","1","5","5.0","0","0","1","1.8","1.8","2.0%"
"64","Darrell Henderson Jr. (FA)","4","17","4.3","7","0","0","0","1","0","0","0","0","1","1.7","1.7","10.5%"
"65","C.J. Ham (MIN)","0","0","0","0","0","0","2","3","15","7.5","0","0","1","1.5","1.5","0.1%"
"66","Patrick Ricard (BAL)","0","0","0","0","0","0","1","1","12","12.0","0","0","1","1.2","1.2","0.1%"
"67","Raheem Mostert (MIA)","8","11","1.4","9","0","0","0","2","0","0","0","0","1","1.1","1.1","97.7%"
"68","David Montgomery (DET)","3","11","3.7","5","0","0","0","0","0","0","0","0","1","1.1","1.1","95.9%"
"69","Avery Williams (ATL)","1","9","9.0","9","0","0","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"70","Isiah Pacheco (KC)","3","9","3.0","5","0","0","0","0","0","0","0","0","1","0.9","0.9","96.5%"
"71","Jordan Mason (SF)","1","7","7.0","7","0","0","0","0","0","0","0","0","1","0.7","0.7","0.9%"
"72","Travis Homer (CHI)","1","7","7.0","7","0","0","0","0","0","0","0","0","1","0.7","0.7","0.1%"
"73","Darrel Williams (FA)","1","7","7.0","7","0","0","0","1","0","0","0","0","1","0.7","0.7","0.0%"
"74","Jonathan Williams (WAS)","1","6","6.0","6","0","0","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"75","Kenneth Gainwell (PHI)","3","6","2.0","3","0","0","0","0","0","0","0","0","1","0.6","0.6","23.6%"
"76","Chris Evans (CIN)","0","0","0","0","0","0","1","1","4","4.0","0","0","1","0.4","0.4","0.2%"
"77","Joshua Kelley (LAC)","1","-3","-3.0","0","0","0","2","2","6","3.0","0","0","1","0.3","0.3","11.4%"
"78","Matt Breida (NYG)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","2.6%"
"79","Michael Burton (DEN)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"80","Chris Myarick (FA)","0","0","0","0","0","0","1","1","6","6.0","0","0","1","0.0","0.0","0.0%"
"81","Khari Blasingame (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"82","Alec Ingold (MIA)","1","0","0.0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.1%"
"83","Jakob Johnson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"84","JaMycal Hasty (NE)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.1%"
"85","Zander Horvath (FA)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"86","Rachaad White (TB)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","95.8%"
"87","Hassan Haskins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"88","Jerome Ford (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","86.9%"
"89","Kene Nwangwu (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"90","Dwayne Washington (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"91","Mike Boone (HOU)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.6%"
"92","Boston Scott (PHI)","2","0","0.0","1","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"93","Justin Jackson (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"94","Jason Cabinda (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"95","Ameer Abdullah (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.5%"
""
""
