"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Garrett Wilson (NYJ)","5","8","95","19.0","54","4","2","1","-1","0","0","1","21.4","21.4","97.3%"
"2","Justin Jefferson (MIN)","9","11","139","15.4","37","5","1","0","0","0","0","1","20.3","20.3","99.9%"
"3","Amon-Ra St. Brown (DET)","9","10","122","13.6","26","1","1","1","7","0","0","1","18.9","18.9","100.0%"
"4","Tee Higgins (CIN)","7","9","114","16.3","29","3","1","0","0","0","0","1","17.4","17.4","89.4%"
"5","Christian Watson (GB)","4","6","110","27.5","63","5","1","0","0","0","0","1","17.0","17.0","78.8%"
"6","Chris Godwin (TB)","12","13","110","9.2","23","2","1","0","0","0","0","1","17.0","17.0","88.5%"
"7","Zay Jones (JAC)","11","14","145","13.2","29","3","0","0","0","0","0","1","16.5","16.5","23.7%"
"8","DJ Moore (CHI)","4","6","103","25.8","52","6","1","0","0","0","0","1","16.3","16.3","96.6%"
"9","Isaiah McKenzie (IND)","6","10","96","16.0","30","3","1","2","7","0","0","1","16.3","16.3","0.2%"
"10","DeAndre Hopkins (TEN)","4","6","87","21.8","33","4","1","0","0","0","0","1","14.7","14.7","94.9%"
"11","Stefon Diggs (BUF)","8","15","77","9.6","36","2","1","0","0","0","0","1","13.7","13.7","100.0%"
"12","DeAndre Carter (LV)","7","10","73","10.4","33","2","1","0","0","0","0","1","13.3","13.3","0.1%"
"13","Tyler Lockett (SEA)","3","7","68","22.7","35","3","1","0","0","0","0","1","12.8","12.8","91.9%"
"14","Nelson Agholor (BAL)","6","8","65","10.8","34","2","1","0","0","0","0","1","12.5","12.5","0.7%"
"15","Mack Hollins (ATL)","4","5","63","15.8","36","3","1","0","0","0","0","1","12.3","12.3","0.4%"
"16","Adam Thielen (CAR)","9","10","61","6.8","16","0","1","0","0","0","0","1","12.1","12.1","91.4%"
"17","Michael Pittman Jr. (IND)","7","11","61","8.7","28","1","1","0","0","0","0","1","12.1","12.1","96.1%"
"18","Elijah Moore (CLE)","2","2","64","32.0","42","4","1","1","-4","0","0","1","12.0","12.0","42.2%"
"19","CeeDee Lamb (DAL)","6","11","106","17.7","25","3","0","2","11","0","0","1","11.7","11.7","100.0%"
"20","Keenan Allen (LAC)","5","7","49","9.8","16","0","1","0","0","0","0","1","10.9","10.9","99.4%"
"21","Jauan Jennings (SF)","6","7","49","8.2","13","0","1","0","0","0","0","1","10.9","10.9","0.7%"
