"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Ja'Marr Chase (CIN)","7","10","132","18.9","60","5","2","0","0","0","0","1","25.2","25.2","100.0%"
"2","Stefon Diggs (BUF)","10","13","148","14.8","31","4","1","0","0","0","0","1","20.8","20.8","100.0%"
"3","Brandon Aiyuk (SF)","8","11","83","10.4","14","0","2","0","0","0","0","1","20.3","20.3","97.6%"
"4","Tyreek Hill (MIA)","12","15","177","14.8","28","3","0","0","0","0","0","1","17.7","17.7","100.0%"
"5","Tyquan Thornton (NE)","4","5","37","9.3","21","1","1","3","16","1","0","1","17.3","17.3","1.0%"
"6","JuJu Smith-Schuster (NE)","5","5","113","22.6","42","6","1","0","0","0","0","1","17.3","17.3","19.1%"
"7","Chase Claypool (MIA)","7","7","96","13.7","26","1","1","1","8","0","0","1","16.4","16.4","2.4%"
"8","Dante Pettis (FA)","4","7","84","21.0","40","3","1","0","0","0","0","1","14.4","14.4","0.0%"
"9","Allen Lazard (NYJ)","4","9","76","19.0","35","3","1","0","0","0","0","1","13.6","13.6","10.8%"
"10","Gabe Davis (BUF)","3","6","74","24.7","34","3","1","0","0","0","0","1","13.4","13.4","81.3%"
"11","Michael Pittman Jr. (IND)","13","16","134","10.3","20","1","0","0","0","0","0","1","13.4","13.4","96.1%"
"12","A.J. Brown (PHI)","5","8","67","13.4","22","1","1","0","0","0","0","1","12.7","12.7","100.0%"
"13","Allen Robinson II (PIT)","5","6","63","12.6","22","1","1","0","0","0","0","1","12.3","12.3","1.1%"
"14","Ben Skowronek (LAR)","5","5","40","8.0","19","0","0","1","17","1","0","1","11.7","11.7","0.1%"
"15","Parris Campbell (NYG)","7","11","57","8.1","15","0","1","0","0","0","0","1","11.7","11.7","2.5%"
"16","Adam Thielen (CAR)","4","8","36","9.0","14","0","1","0","0","0","0","1","11.6","11.6","91.4%"
"17","Jaylen Waddle (MIA)","6","10","129","21.5","49","5","0","0","0","0","1","1","10.9","10.9","99.4%"
"18","Alec Pierce (IND)","3","7","49","16.3","32","2","1","0","0","0","0","1","10.9","10.9","2.7%"
"19","Justin Jefferson (MIN)","6","8","107","17.8","47","5","0","0","0","0","0","1","10.7","10.7","99.9%"
"20","DeVonta Smith (PHI)","5","5","44","8.8","13","0","1","0","0","0","0","1","10.4","10.4","98.3%"
"21","Amari Cooper (CLE)","4","12","44","11.0","15","0","1","0","0","0","0","1","10.4","10.4","92.9%"
"22","Rashid Shaheed (NO)","0","1","0","0","0","0","0","1","44","1","0","1","10.4","10.4","32.0%"
"23","Tre'Quan Smith (DEN)","3","3","43","14.3","18","0","1","0","0","0","0","1","10.3","10.3","0.0%"
"24","Mecole Hardman Jr. (KC)","3","4","42","14.0","26","1","1","0","0","0","0","1","10.2","10.2","1.7%"
"25","Wan'Dale Robinson (NYG)","3","4","37","12.3","17","0","1","0","0","0","0","1","9.7","9.7","6.2%"
"26","Cooper Kupp (LAR)","7","8","80","11.4","22","2","0","2","17","0","0","1","9.7","9.7","99.0%"
"27","Chris Godwin (TB)","6","12","95","15.8","28","2","0","0","0","0","0","1","9.5","9.5","88.5%"
"28","Deebo Samuel (SF)","7","10","79","11.3","27","2","0","2","11","0","0","1","9.0","9.0","98.6%"
"29","Braxton Berrios (MIA)","1","1","6","6.0","6","0","0","1","20","1","0","1","8.6","8.6","1.6%"
"30","CeeDee Lamb (DAL)","5","10","68","13.6","24","1","0","2","9","0","0","1","7.7","7.7","100.0%"
"31","Donovan Peoples-Jones (DET)","4","5","74","18.5","37","3","0","1","2","0","0","1","7.6","7.6","2.2%"
"32","Marquise Brown (ARI)","5","9","68","13.6","26","2","0","0","0","0","0","1","6.8","6.8","85.6%"
"33","Christian Kirk (JAC)","4","5","24","6.0","12","0","1","1","4","0","1","1","6.8","6.8","86.5%"
"34","Darnell Mooney (CHI)","7","12","68","9.7","26","2","0","0","0","0","0","1","6.8","6.8","17.6%"
"35","Tyler Boyd (CIN)","6","6","66","11.0","21","1","0","0","0","0","0","1","6.6","6.6","49.6%"
"36","DeVante Parker (NE)","4","6","64","16.0","29","1","0","0","0","0","0","1","6.4","6.4","2.8%"
"37","Jakobi Meyers (LV)","4","4","60","15.0","27","2","0","0","0","0","0","1","6.0","6.0","79.1%"
"38","Olamide Zaccheaus (PHI)","4","4","58","14.5","37","2","0","0","0","0","0","1","5.8","5.8","0.1%"
"39","Joshua Palmer (LAC)","9","12","57","6.3","14","0","0","0","0","0","0","1","5.7","5.7","25.6%"
