"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","New York Jets (NYJ)","4","0","1","1","0","0","1","1","20.0","20.0","72.7%"
"2","Seattle Seahawks (SEA)","6","1","1","3","0","0","0","1","17.0","17.0","22.0%"
"3","Arizona Cardinals (ARI)","5","0","1","1","1","0","0","1","14.0","14.0","1.0%"
"4","Atlanta Falcons (ATL)","0","2","1","1","1","0","0","1","13.0","13.0","49.4%"
"5","New England Patriots (NE)","4","2","2","2","0","0","0","1","13.0","13.0","29.1%"
"6","Minnesota Vikings (MIN)","6","2","1","1","0","0","0","1","13.0","13.0","26.2%"
"7","Washington Commanders (WAS)","5","1","1","1","0","0","0","1","13.0","13.0","18.0%"
"8","Los Angeles Rams (LAR)","2","1","0","0","0","0","0","1","11.0","11.0","22.6%"
"9","Carolina Panthers (CAR)","1","1","0","0","1","0","0","1","9.0","9.0","6.4%"
"10","Buffalo Bills (BUF)","3","2","0","0","0","0","0","1","8.0","8.0","74.0%"
"11","Los Angeles Chargers (LAC)","4","0","1","0","0","0","0","1","7.0","7.0","30.2%"
"12","Philadelphia Eagles (PHI)","0","3","0","0","0","0","0","1","7.0","7.0","62.1%"
"13","Chicago Bears (CHI)","3","0","0","1","0","0","0","1","7.0","7.0","3.9%"
"14","New York Giants (NYG)","2","1","1","1","0","0","0","1","7.0","7.0","6.3%"
"15","Baltimore Ravens (BAL)","4","0","1","1","0","0","0","1","6.0","6.0","84.7%"
"16","Indianapolis Colts (IND)","4","0","1","1","0","0","0","1","6.0","6.0","33.2%"
"17","Denver Broncos (DEN)","2","1","0","0","0","0","0","1","5.0","5.0","23.5%"
"18","New Orleans Saints (NO)","3","0","1","0","0","0","0","1","4.0","4.0","60.5%"
"19","Dallas Cowboys (DAL)","4","0","0","0","0","0","0","1","4.0","4.0","96.5%"
"20","Tampa Bay Buccaneers (TB)","2","0","0","0","0","0","0","1","3.0","3.0","49.0%"
"21","Pittsburgh Steelers (PIT)","2","0","0","1","0","0","0","1","3.0","3.0","89.2%"
"22","Miami Dolphins (MIA)","3","0","0","1","0","0","0","1","3.0","3.0","91.7%"
"23","Kansas City Chiefs (KC)","1","0","1","0","0","0","0","1","3.0","3.0","72.9%"
"24","Green Bay Packers (GB)","2","0","0","0","0","0","0","1","2.0","2.0","54.0%"
"25","Cincinnati Bengals (CIN)","1","0","0","0","0","0","0","1","1.0","1.0","19.4%"
"26","San Francisco 49ers (SF)","2","0","0","0","0","0","0","1","1.0","1.0","94.9%"
"27","Cleveland Browns (CLE)","2","0","1","1","0","0","0","1","0.0","0.0","82.1%"
"28","Jacksonville Jaguars (JAC)","0","0","0","1","0","0","0","1","-1.0","-1.0","55.5%"
""
""
