"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","A.J. Brown (PHI)","6","10","156","26.0","43","7","3","0","0","0","0","1","33.6","33.6","100.0%"
"2","Jaylen Waddle (MIA)","8","9","106","13.3","29","1","2","0","0","0","0","1","22.6","22.6","99.4%"
"3","DeAndre Hopkins (TEN)","12","13","159","13.3","33","3","1","0","0","0","0","1","21.9","21.9","94.9%"
"4","DJ Moore (CHI)","6","11","152","25.3","62","6","1","1","3","0","0","1","21.5","21.5","96.6%"
"5","Tyreek Hill (MIA)","12","14","188","15.7","42","6","0","1","7","0","0","1","19.5","19.5","100.0%"
"6","Amari Cooper (CLE)","5","7","131","26.2","53","6","1","0","0","0","0","1","18.1","18.1","92.9%"
"7","Stefon Diggs (BUF)","6","8","108","18.0","53","5","1","0","0","0","0","1","16.8","16.8","100.0%"
"8","Rondale Moore (ARI)","7","8","92","13.1","38","3","1","2","12","0","0","1","16.4","16.4","21.2%"
"9","Cooper Kupp (LAR)","8","12","79","9.9","23","2","1","2","10","0","0","1","14.9","14.9","99.0%"
"10","Brandon Aiyuk (SF)","6","6","81","13.5","34","2","1","0","0","0","0","1","14.1","14.1","97.6%"
"11","CeeDee Lamb (DAL)","5","7","77","15.4","22","2","1","1","1","0","0","1","13.8","13.8","100.0%"
"12","Damiere Byrd (FA)","3","6","67","22.3","47","3","1","0","0","0","0","1","12.7","12.7","0.0%"
"13","Devin Duvernay (BAL)","4","4","31","7.8","13","0","0","2","33","1","0","1","12.4","12.4","0.1%"
"14","Mike Evans (TB)","6","11","123","20.5","51","6","0","0","0","0","0","1","12.3","12.3","97.3%"
"15","Jerry Jeudy (DEN)","6","7","63","10.5","25","1","1","0","0","0","0","1","12.3","12.3","63.9%"
"16","Romeo Doubs (GB)","4","7","62","15.5","26","1","1","0","0","0","0","1","12.2","12.2","48.4%"
"17","Jakobi Meyers (LV)","9","13","60","6.7","16","0","1","0","0","0","0","1","12.0","12.0","79.1%"
