"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Lamar Jackson (BAL)","21","29","72.4","318","11.0","3","0","0","9","119","1","0","1","42.6","42.6","99.1%"
"2","Tua Tagovailoa (MIA)","36","50","72.0","469","9.4","6","2","1","1","1","0","0","1","40.9","40.9","97.0%"
"3","Jalen Hurts (PHI)","26","31","83.9","333","10.7","1","1","3","11","57","2","0","1","34.0","34.0","100.0%"
"4","Josh Allen (BUF)","26","38","68.4","317","8.3","4","0","1","1","10","0","0","1","29.7","29.7","100.0%"
"5","Carson Wentz (LAR)","30","46","65.2","337","7.3","3","1","5","2","23","0","0","1","28.8","28.8","0.2%"
"6","Kyler Murray (ARI)","31","49","63.3","277","5.7","1","1","1","5","28","1","0","1","26.9","26.9","73.2%"
"7","Joe Flacco (CLE)","26","44","59.1","307","7.0","4","0","2","2","6","0","1","1","26.9","26.9","4.1%"
"8","Jared Goff (DET)","20","34","58.8","256","7.5","4","0","3","2","-2","0","0","1","26.0","26.0","82.5%"
"9","Justin Herbert (LAC)","33","48","68.8","334","7.0","3","1","2","2","1","0","0","1","24.5","24.5","98.6%"
"10","Matthew Stafford (LAR)","27","36","75.0","272","7.6","3","2","1","0","0","0","0","1","20.9","20.9","44.5%"
"11","Derek Carr (NO)","25","39","64.1","252","6.5","2","0","1","1","9","0","0","1","19.0","19.0","34.8%"
"12","Trevor Lawrence (JAC)","25","30","83.3","235","7.8","2","0","0","3","11","0","0","1","18.5","18.5","91.2%"
"13","Patrick Mahomes II (KC)","24","35","68.6","235","6.7","2","0","1","2","-1","0","0","1","17.3","17.3","100.0%"
"14","Jimmy Garoppolo (LV)","13","21","61.9","154","7.3","1","0","1","4","5","1","0","1","16.7","16.7","2.8%"
"15","Joe Burrow (CIN)","24","36","66.7","199","5.5","1","0","6","4","26","0","0","1","16.6","16.6","39.5%"
"16","Jacoby Brissett (WAS)","22","27","81.5","229","8.5","1","1","1","6","43","0","0","1","16.5","16.5","0.1%"
"17","Aaron Rodgers (NYJ)","19","25","76.0","234","9.4","2","0","3","5","10","0","1","1","16.4","16.4","19.8%"
"18","Marcus Mariota (PHI)","17","26","65.4","196","7.5","2","2","3","6","16","0","1","1","15.4","15.4","0.2%"
"19","Mac Jones (NE)","21","35","60.0","252","7.2","1","1","0","7","6","0","0","1","13.7","13.7","3.8%"
"20","Cooper Rush (DAL)","19","31","61.3","235","7.6","1","0","1","1","2","0","0","1","13.6","13.6","0.1%"
"21","Baker Mayfield (TB)","14","29","48.3","145","5.0","1","0","2","6","35","0","0","1","13.3","13.3","52.1%"
"22","Daniel Jones (NYG)","22","34","64.7","176","5.2","1","0","3","10","21","0","0","1","13.1","13.1","19.3%"
"23","Mitch Trubisky (PIT)","21","33","63.6","168","5.1","1","1","3","1","7","0","0","1","12.4","12.4","1.8%"
"24","Russell Wilson (DEN)","14","31","45.2","219","7.1","1","1","3","2","3","0","0","1","12.1","12.1","69.9%"
"25","Kirk Cousins (MIN)","27","46","58.7","221","4.8","1","3","2","2","20","0","0","1","11.8","11.8","20.8%"
"26","Jameis Winston (NO)","25","40","62.5","236","5.9","1","3","6","1","2","0","0","1","10.6","10.6","2.1%"
"27","Justin Fields (CHI)","7","11","63.6","70","6.4","0","1","3","8","20","1","0","1","9.8","9.8","86.7%"
"28","Tom Brady (FA)","18","34","52.9","190","5.6","1","0","1","3","-2","0","1","1","9.4","9.4","0.8%"
"29","Davis Mills (HOU)","19","38","50.0","177","4.7","0","0","3","2","1","0","0","1","7.2","7.2","0.0%"
"30","Geno Smith (SEA)","24","30","80.0","197","6.6","0","1","2","2","2","0","0","1","7.1","7.1","62.4%"
"31","Matt Ryan (FA)","16","30","53.3","195","6.5","0","3","5","0","0","0","0","1","4.8","4.8","0.0%"
"32","Ryan Tannehill (TEN)","11","20","55.0","117","5.9","0","2","2","1","2","0","0","1","2.9","2.9","1.6%"
"33","Trey Lance (DAL)","2","3","66.7","30","10.0","0","0","0","3","13","0","0","1","2.5","2.5","0.7%"
"34","Jeff Driskel (ARI)","0","0","0","0","0","0","0","0","1","10","0","0","1","1.0","1.0","0.0%"
"35","Case Keenum (HOU)","0","2","0.0","0","0.0","0","0","0","3","2","0","0","1","0.2","0.2","0.0%"
"36","Tyrod Taylor (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"37","Malik Willis (TEN)","1","4","25.0","6","1.5","0","0","0","4","16","0","1","1","-0.2","-0.2","0.1%"
""
""
