"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jalen Hurts (PHI)","29","39","74.4","380","9.7","3","0","2","5","12","1","0","1","34.4","34.4","100.0%"
"2","Joe Burrow (CIN)","25","31","80.6","286","9.2","2","0","1","11","46","1","0","1","30.0","30.0","39.5%"
"3","Geno Smith (SEA)","28","39","71.8","367","9.4","3","1","4","2","3","0","1","1","24.0","24.0","62.4%"
"4","Jared Goff (DET)","31","41","75.6","340","8.3","2","0","2","0","0","0","0","1","21.6","21.6","82.5%"
"5","Justin Fields (CHI)","20","25","80.0","254","10.2","0","2","0","6","71","1","0","1","21.3","21.3","86.7%"
"6","Patrick Mahomes II (KC)","16","27","59.3","223","8.3","1","0","2","2","9","1","0","1","19.8","19.8","100.0%"
"7","Mike White (MIA)","31","57","54.4","369","6.5","0","2","1","3","7","1","0","1","19.5","19.5","0.1%"
"8","Tom Brady (FA)","36","54","66.7","281","5.2","2","1","1","1","-1","0","0","1","18.1","18.1","0.8%"
"9","Justin Herbert (LAC)","28","47","59.6","335","7.1","1","0","5","5","7","0","0","1","18.1","18.1","98.6%"
"10","Dak Prescott (DAL)","20","30","66.7","170","5.7","3","1","1","0","0","0","0","1","17.8","17.8","97.5%"
"11","Taylor Heinicke (ATL)","27","41","65.9","275","6.7","2","0","5","2","6","0","1","1","17.6","17.6","3.0%"
"12","Daniel Jones (NYG)","25","31","80.6","200","6.5","1","0","4","12","71","0","1","1","17.1","17.1","19.3%"
"13","Derek Carr (NO)","16","30","53.3","250","8.3","2","1","0","0","0","0","0","1","17.0","17.0","34.8%"
"14","Josh Allen (BUF)","22","33","66.7","223","6.8","2","0","2","8","20","0","1","1","16.9","16.9","100.0%"
"15","Tyler Huntley (BAL)","27","32","84.4","187","5.8","0","1","2","10","41","1","0","1","16.6","16.6","0.1%"
"16","Trevor Lawrence (JAC)","17","31","54.8","179","5.8","1","0","2","4","32","0","0","1","16.4","16.4","91.2%"
"17","Tua Tagovailoa (MIA)","18","33","54.5","295","8.9","2","2","3","0","0","0","1","1","15.8","15.8","97.0%"
"18","Brock Purdy (SF)","25","37","67.6","210","5.7","2","1","3","4","-1","0","0","1","15.3","15.3","91.8%"
"19","Aaron Rodgers (NYJ)","18","31","58.1","182","5.9","1","0","0","3","4","0","0","1","13.7","13.7","19.8%"
"20","Andy Dalton (CAR)","20","28","71.4","229","8.2","1","0","2","1","1","0","0","1","13.3","13.3","0.1%"
"21","Kenny Pickett (PIT)","16","28","57.1","197","7.0","1","0","0","7","14","0","0","1","13.3","13.3","17.1%"
"22","Ryan Tannehill (TEN)","14","22","63.6","141","6.4","1","0","6","3","34","0","0","1","13.0","13.0","1.6%"
"23","Mac Jones (NE)","22","36","61.1","195","5.4","1","0","1","3","7","0","0","1","12.5","12.5","3.8%"
"24","Matt Ryan (FA)","21","37","56.8","233","6.3","2","3","3","3","-2","0","1","1","12.1","12.1","0.0%"
"25","Kirk Cousins (MIN)","21","35","60.0","173","4.9","1","0","2","3","9","0","0","1","11.8","11.8","20.8%"
"26","Marcus Mariota (PHI)","13","24","54.2","167","7.0","1","1","1","3","17","0","0","1","11.4","11.4","0.2%"
"27","Russell Wilson (DEN)","17","22","77.3","189","8.6","0","0","2","2","21","0","0","1","9.7","9.7","69.9%"
"28","Kyle Allen (BUF)","20","39","51.3","201","5.2","1","2","0","2","1","0","1","1","8.1","8.1","0.1%"
"29","John Wolford (TB)","14","26","53.8","178","6.8","0","2","4","5","29","0","0","1","8.0","8.0","0.0%"
"30","Deshaun Watson (CLE)","12","22","54.5","131","6.0","0","1","1","7","21","0","0","1","6.3","6.3","26.1%"
"31","Jimmy Garoppolo (LV)","2","4","50.0","56","14.0","0","0","1","0","0","0","0","1","2.2","2.2","2.8%"
"32","Malik Willis (TEN)","2","4","50.0","16","4.0","0","0","0","1","8","0","0","1","1.4","1.4","0.1%"
"33","Lamar Jackson (BAL)","3","4","75.0","11","2.8","0","0","2","1","9","0","0","1","1.3","1.3","99.1%"
"34","Bryce Perkins (FA)","0","0","0","0","0","0","0","0","1","5","0","0","1","0.5","0.5","0.0%"
"35","Gardner Minshew II (IND)","1","2","50.0","11","5.5","0","0","0","0","0","0","0","1","0.4","0.4","19.2%"
"36","C.J. Beathard (JAC)","2","3","66.7","6","2.0","0","0","0","0","0","0","0","1","0.2","0.2","1.3%"
"37","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"38","Nate Sudfeld (DET)","0","0","0","0","0","0","0","0","2","-1","0","0","1","-0.1","-0.1","0.0%"
"39","Skylar Thompson (MIA)","0","1","0.0","0","0.0","0","1","0","0","0","0","0","1","-1.0","-1.0","0.0%"
""
""
