"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Tyler Bass (BUF)","6","6","100.0","56","0","1","2","2","1","1","1","1","23.0","23.0","59.2%"
"2","Brett Maher (FA)","4","4","100.0","60","0","1","0","0","3","4","4","1","22.0","22.0","2.8%"
"3","Evan McPherson (CIN)","3","3","100.0","54","0","0","0","2","1","4","4","1","17.0","17.0","77.2%"
"4","Brandon McManus (JAC)","3","4","75.0","52","0","0","0","2","1","1","1","1","14.0","14.0","50.9%"
"5","Daniel Carlson (LV)","3","4","75.0","57","0","1","0","0","2","1","1","1","14.0","14.0","37.9%"
"6","Harrison Butker (KC)","3","3","100.0","52","0","0","2","0","1","3","3","1","14.0","14.0","91.8%"
"7","Matthew Wright (NE)","3","3","100.0","42","0","0","2","1","0","3","3","1","13.0","13.0","0.0%"
"8","Younghoe Koo (ATL)","2","2","100.0","53","0","0","0","1","1","3","3","1","12.0","12.0","52.5%"
"9","Chase McLaughlin (TB)","3","4","75.0","51","0","0","2","0","1","1","1","1","12.0","12.0","5.1%"
"10","Joey Slye (WAS)","3","3","100.0","44","0","2","0","1","0","2","2","1","12.0","12.0","1.0%"
"11","Matt Gay (IND)","2","2","100.0","58","0","0","1","0","1","2","2","1","10.0","10.0","51.6%"
"12","Wil Lutz (DEN)","2","2","100.0","46","0","1","0","1","0","3","3","1","10.0","10.0","15.3%"
"13","Cameron Dicker (LAC)","2","2","100.0","46","0","1","0","1","0","3","3","1","10.0","10.0","71.0%"
"14","Robbie Gould (FA)","1","1","100.0","39","0","0","1","0","0","5","5","1","8.0","8.0","0.1%"
"15","Michael Badgley (DET)","1","1","100.0","24","0","1","0","0","0","4","4","1","7.0","7.0","0.0%"
"16","Justin Tucker (BAL)","2","2","100.0","37","0","0","2","0","0","1","1","1","7.0","7.0","93.6%"
"17","Cairo Santos (CHI)","1","2","50.0","41","0","0","0","1","0","3","3","1","7.0","7.0","6.5%"
"18","Matt Prater (ARI)","1","1","100.0","40","0","0","0","1","0","1","1","1","5.0","5.0","8.8%"
"19","Cade York (NYG)","1","2","50.0","32","0","0","1","0","0","2","2","1","5.0","5.0","0.1%"
"20","Jake Elliott (PHI)","1","1","100.0","22","0","1","0","0","0","2","2","1","5.0","5.0","87.2%"
"21","Greg Zuerlein (NYJ)","1","1","100.0","45","0","0","0","1","0","0","0","1","4.0","4.0","7.1%"
"22","Nick Folk (TEN)","1","3","33.3","24","0","1","0","0","0","1","1","1","4.0","4.0","33.1%"
"23","Ka'imi Fairbairn (HOU)","1","1","100.0","29","0","1","0","0","0","1","1","1","4.0","4.0","2.4%"
"24","Greg Joseph (MIN)","1","1","100.0","25","0","1","0","0","0","0","0","1","3.0","3.0","5.2%"
"25","Eddy Pineiro (CAR)","1","1","100.0","32","0","0","1","0","0","0","0","1","3.0","3.0","5.8%"
"26","Mason Crosby (LAR)","1","1","100.0","39","0","0","1","0","0","0","1","1","3.0","3.0","0.1%"
"27","Josh Lambo (FA)","0","0","0","0","0","0","0","0","0","3","4","1","3.0","3.0","0.1%"
"28","Quinn Nordin (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"29","Graham Gano (NYG)","0","0","0","0","0","0","0","0","0","0","2","1","0.0","0.0","11.8%"
"30","Michael Palardy (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","33.3%"
""
""
