"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Josh Jacobs (LV)","20","143","7.2","15","0","3","3","4","12","4.0","0","0","1","33.5","33.5","99.6%"
"2","Kenneth Walker III (SEA)","23","167","7.3","74","4","2","0","0","0","0","0","0","1","28.7","28.7","96.4%"
"3","Austin Ekeler (LAC)","9","31","3.4","13","0","1","12","12","96","8.0","1","0","1","24.7","24.7","100.0%"
"4","Aaron Jones (GB)","8","23","2.9","8","0","0","9","10","53","5.9","2","0","1","19.6","19.6","92.5%"
"5","Eno Benjamin (NO)","12","92","7.7","45","3","1","4","5","21","5.3","0","0","1","19.3","19.3","0.0%"
"6","Gus Edwards (BAL)","16","66","4.1","12","0","2","0","1","0","0","0","0","1","18.6","18.6","82.0%"
"7","Travis Etienne Jr. (JAC)","14","114","8.1","49","3","1","1","5","5","5.0","0","1","1","17.9","17.9","99.9%"
"8","Ezekiel Elliott (NE)","15","57","3.8","18","0","2","0","0","0","0","0","0","1","17.7","17.7","56.3%"
"9","Raheem Mostert (MIA)","16","79","4.9","12","0","0","4","5","30","7.5","1","0","1","16.9","16.9","97.7%"
"10","Nick Chubb (CLE)","16","91","5.7","22","1","1","2","3","16","8.0","0","0","1","16.7","16.7","22.3%"
"11","Rhamondre Stevenson (NE)","11","39","3.5","7","0","1","8","8","59","7.4","0","0","1","15.8","15.8","92.9%"
"12","Joe Mixon (CIN)","17","58","3.4","11","0","1","3","3","33","11.0","0","0","1","15.1","15.1","98.6%"
"13","Khalil Herbert (CHI)","12","62","5.2","13","0","0","1","2","25","25.0","1","0","1","14.7","14.7","60.4%"
"14","D'Onta Foreman (CHI)","15","118","7.9","60","5","0","2","2","27","13.5","0","0","1","14.5","14.5","32.8%"
"15","Derrick Henry (TEN)","30","128","4.3","23","2","0","3","3","10","3.3","0","0","1","13.8","13.8","99.8%"
"16","Antonio Gibson (WAS)","10","59","5.9","20","1","0","3","4","18","6.0","1","0","1","13.7","13.7","50.0%"
"17","Saquon Barkley (NYG)","24","110","4.6","20","1","0","4","4","25","6.3","0","0","1","13.5","13.5","99.9%"
"18","Chuba Hubbard (CAR)","9","63","7.0","17","0","1","2","3","10","5.0","0","0","1","13.3","13.3","69.8%"
"19","Breece Hall (NYJ)","4","72","18.0","62","4","1","0","0","0","0","0","0","1","13.2","13.2","97.4%"
"20","David Montgomery (DET)","15","62","4.1","12","0","1","0","0","0","0","0","0","1","12.2","12.2","95.9%"
"21","Dameon Pierce (HOU)","20","92","4.6","22","1","0","4","4","25","6.3","0","0","1","11.7","11.7","68.0%"
"22","Tyler Allgeier (ATL)","16","50","3.1","9","0","1","0","0","0","0","0","0","1","11.0","11.0","46.9%"
"23","Tony Pollard (DAL)","12","83","6.9","28","2","0","2","2","26","13.0","0","0","1","10.9","10.9","99.8%"
"24","Alvin Kamara (NO)","11","49","4.5","17","0","0","7","9","56","8.0","0","0","1","10.5","10.5","98.7%"
"25","Keaontay Ingram (KC)","9","14","1.6","11","0","1","2","2","23","11.5","0","0","1","9.7","9.7","2.0%"
"26","Clyde Edwards-Helaire (KC)","6","32","5.3","16","0","1","0","1","0","0","0","0","1","9.2","9.2","4.5%"
"27","Brian Robinson Jr. (WAS)","20","73","3.7","24","1","0","2","2","13","6.5","0","0","1","8.6","8.6","89.3%"
"28","Jonathan Taylor (IND)","10","58","5.8","14","0","0","7","8","27","3.9","0","0","1","8.5","8.5","95.7%"
"29","Latavius Murray (BUF)","8","24","3.0","5","0","1","2","3","-1","-0.5","0","0","1","8.3","8.3","15.7%"
"30","Najee Harris (PIT)","17","65","3.8","16","0","0","3","4","15","5.0","0","0","1","8.0","8.0","93.6%"
"31","Michael Carter (ARI)","13","29","2.2","5","0","0","2","2","45","22.5","0","0","1","7.4","7.4","1.5%"
"32","Kareem Hunt (CLE)","5","4","0.8","6","0","1","1","2","4","4.0","0","0","1","6.8","6.8","55.5%"
"33","Jamaal Williams (NO)","15","79","5.3","20","1","0","1","1","4","4.0","0","1","1","6.3","6.3","17.8%"
"34","Christian McCaffrey (SF)","8","38","4.8","12","0","0","2","2","24","12.0","0","0","1","6.2","6.2","100.0%"
"35","Dare Ogunbowale (HOU)","1","8","8.0","8","0","0","5","7","54","10.8","0","0","1","6.2","6.2","0.1%"
"36","Jeff Wilson Jr. (MIA)","7","54","7.7","15","0","0","0","1","0","0","0","0","1","5.4","5.4","15.8%"
"37","Melvin Gordon III (BAL)","11","33","3.0","7","0","0","2","4","17","8.5","0","0","1","5.0","5.0","0.1%"
"38","Jerick McKinnon (KC)","2","12","6.0","9","0","0","2","3","36","18.0","0","0","1","4.8","4.8","23.3%"
"39","Isiah Pacheco (KC)","8","43","5.4","17","0","0","0","0","0","0","0","0","1","4.3","4.3","96.5%"
"40","Nyheim Hines (BUF)","4","2","0.5","2","0","0","5","5","41","8.2","0","0","1","4.3","4.3","0.1%"
"41","DeeJay Dallas (SEA)","6","35","5.8","11","0","0","2","2","6","3.0","0","0","1","4.1","4.1","0.9%"
"42","Kyle Juszczyk (SF)","0","0","0","0","0","0","3","4","34","11.3","0","0","1","3.4","3.4","0.3%"
"43","Matt Breida (NYG)","4","19","4.8","6","0","0","1","1","14","14.0","0","0","1","3.3","3.3","2.6%"
