"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Davante Adams (LV)","10","17","146","14.6","38","4","2","0","0","0","0","1","26.6","26.6","99.9%"
"2","Tyreek Hill (MIA)","7","8","143","20.4","39","5","1","0","0","0","0","1","20.3","20.3","100.0%"
"3","Cooper Kupp (LAR)","8","9","127","15.9","69","6","1","3","1","0","0","1","18.8","18.8","99.0%"
"4","Justin Jefferson (MIN)","7","13","115","16.4","47","3","1","1","10","0","0","1","18.5","18.5","99.9%"
"5","Allen Lazard (NYJ)","4","10","87","21.8","47","4","1","0","0","0","0","1","14.7","14.7","10.8%"
"6","Jaylen Waddle (MIA)","5","7","85","17.0","26","1","1","0","0","0","0","1","14.5","14.5","99.4%"
"7","Curtis Samuel (WAS)","3","4","65","21.7","49","3","1","1","16","0","0","1","14.1","14.1","39.8%"
"8","Mecole Hardman Jr. (KC)","6","9","79","13.2","33","2","1","0","0","0","0","1","13.9","13.9","1.7%"
"9","Christian Kirk (JAC)","8","9","76","9.5","23","1","1","0","0","0","0","1","13.6","13.6","86.5%"
"10","Tyler Lockett (SEA)","5","5","67","13.4","30","2","1","0","0","0","0","1","12.7","12.7","91.9%"
"11","A.J. Brown (PHI)","4","6","59","14.8","31","2","1","0","0","0","0","1","11.9","11.9","100.0%"
"12","Terrace Marshall Jr. (CAR)","3","6","53","17.7","21","1","1","0","0","0","0","1","11.3","11.3","0.3%"
"13","Joshua Palmer (LAC)","8","10","106","13.3","25","3","0","0","0","0","0","1","10.6","10.6","25.6%"
"14","Chris Moore (TEN)","4","5","43","10.8","25","1","1","1","2","0","0","1","10.5","10.5","0.1%"
"15","Darnell Mooney (CHI)","7","8","43","6.1","16","0","1","1","2","0","0","1","10.5","10.5","17.6%"
"16","Garrett Wilson (NYJ)","8","9","92","11.5","24","1","0","1","7","0","0","1","9.9","9.9","97.3%"
"17","DK Metcalf (SEA)","5","6","37","7.4","9","0","1","0","0","0","0","1","9.7","9.7","98.2%"
"18","DeAndre Hopkins (TEN)","4","5","36","9.0","22","1","1","0","0","0","0","1","9.6","9.6","94.9%"
"19","Stefon Diggs (BUF)","5","10","93","18.6","42","3","0","0","0","0","0","1","9.3","9.3","100.0%"
"20","JuJu Smith-Schuster (NE)","10","12","88","8.8","17","0","0","0","0","0","0","1","8.8","8.8","19.1%"
"21","Chris Olave (NO)","6","9","71","11.8","16","0","0","0","0","0","0","1","7.1","7.1","98.4%"
"22","Rondale Moore (ARI)","8","10","69","8.6","18","0","0","0","0","0","0","1","6.9","6.9","21.2%"
"23","Phillip Dorsett II (DEN)","3","5","69","23.0","34","3","0","0","0","0","0","1","6.9","6.9","0.0%"
"24","Adam Thielen (CAR)","3","7","67","22.3","36","3","0","0","0","0","0","1","6.7","6.7","91.4%"
"25","Dax Milne (WAS)","1","1","6","6.0","6","0","1","0","0","0","0","1","6.6","6.6","0.0%"
"26","Tee Higgins (CIN)","7","8","60","8.6","17","0","0","0","0","0","0","1","6.0","6.0","89.4%"
"27","Terry McLaurin (WAS)","5","9","56","11.2","18","0","0","0","0","0","0","1","5.6","5.6","90.8%"
"28","Amon-Ra St. Brown (DET)","4","9","55","13.8","25","1","0","0","0","0","0","1","5.5","5.5","100.0%"
"29","Scott Miller (ATL)","7","8","53","7.6","14","0","0","0","0","0","0","1","5.3","5.3","0.0%"
"30","DeAndre Carter (LV)","5","6","53","10.6","23","1","0","0","0","0","0","1","5.3","5.3","0.1%"
"31","Marvin Jones Jr. (FA)","5","6","48","9.6","15","0","0","0","0","0","0","1","4.8","4.8","0.6%"
"32","Tyler Boyd (CIN)","5","6","44","8.8","15","0","0","0","0","0","0","1","4.4","4.4","49.6%"
"33","Zay Jones (JAC)","5","5","40","8.0","22","1","0","0","0","0","0","1","4.0","4.0","23.7%"
"34","Mike Evans (TB)","5","11","40","8.0","13","0","0","0","0","0","0","1","4.0","4.0","97.3%"
"35","Chris Godwin (TB)","7","10","36","5.1","9","0","0","1","1","0","0","1","3.7","3.7","88.5%"
"36","Justin Watson (KC)","2","5","37","18.5","31","2","0","0","0","0","0","1","3.7","3.7","3.4%"
"37","Samori Toure (GB)","2","4","34","17.0","32","2","0","0","0","0","0","1","3.4","3.4","0.1%"
"38","Gabe Davis (BUF)","2","5","33","16.5","18","0","0","0","0","0","0","1","3.3","3.3","81.3%"
"39","Trent Taylor (CHI)","2","2","14","7.0","9","0","0","3","18","0","0","1","3.2","3.2","0.0%"
"40","Tre'Quan Smith (DEN)","3","4","29","9.7","13","0","0","0","0","0","0","1","2.9","2.9","0.0%"
"41","Julio Jones (PHI)","2","5","28","14.0","19","0","0","0","0","0","0","1","2.8","2.8","1.5%"
"42","Trent Sherfield (BUF)","3","3","27","9.0","18","0","0","0","0","0","0","1","2.7","2.7","0.1%"
"43","Hunter Renfrow (LV)","3","4","26","8.7","14","0","0","0","0","0","0","1","2.6","2.6","2.3%"
"44","Michael Bandy (DEN)","5","8","26","5.2","11","0","0","0","0","0","0","1","2.6","2.6","0.0%"
"45","Trenton Irwin (CIN)","1","1","14","14.0","14","0","0","1","11","0","0","1","2.5","2.5","1.9%"
"46","Quez Watkins (PHI)","2","2","25","12.5","23","1","0","0","0","0","0","1","2.5","2.5","0.3%"
"47","DJ Moore (CHI)","2","6","24","12.0","14","0","0","0","0","0","0","1","2.4","2.4","96.6%"
"48","Jakobi Meyers (LV)","5","6","42","8.4","17","0","0","1","2","0","1","1","2.4","2.4","79.1%"
"49","Christian Watson (GB)","2","2","24","12.0","18","0","0","0","0","0","0","1","2.4","2.4","78.8%"
"50","Allen Robinson II (PIT)","3","5","24","8.0","15","0","0","0","0","0","0","1","2.4","2.4","1.1%"
"51","Marquez Callaway (NO)","3","5","24","8.0","12","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"52","Cedrick Wilson Jr. (MIA)","2","2","23","11.5","14","0","0","0","0","0","0","1","2.3","2.3","0.2%"
"53","Alec Pierce (IND)","1","2","23","23.0","23","1","0","0","0","0","0","1","2.3","2.3","2.7%"
"54","James Proche II (CLE)","2","2","22","11.0","12","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"55","DeVonta Smith (PHI)","2","2","22","11.0","22","1","0","0","0","0","0","1","2.2","2.2","98.3%"
"56","Michael Pittman Jr. (IND)","3","6","22","7.3","10","0","0","0","0","0","0","1","2.2","2.2","96.1%"
"57","Isaiah McKenzie (IND)","2","3","12","6.0","9","0","0","1","9","0","0","1","2.1","2.1","0.2%"
"58","Shi Smith (TEN)","1","2","20","20.0","20","1","0","0","0","0","0","1","2.0","2.0","0.0%"
"59","KhaDarel Hodge (ATL)","1","2","19","19.0","19","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"60","Olamide Zaccheaus (PHI)","2","2","19","9.5","15","0","0","0","0","0","0","1","1.9","1.9","0.1%"
"61","Romeo Doubs (GB)","1","1","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","48.4%"
"62","Kalif Raymond (DET)","3","3","17","5.7","9","0","0","0","0","0","0","1","1.7","1.7","1.9%"
"63","Mack Hollins (ATL)","2","4","17","8.5","13","0","0","0","0","0","0","1","1.7","1.7","0.4%"
"64","Chase Claypool (MIA)","2","6","13","6.5","12","0","0","1","4","0","0","1","1.7","1.7","2.4%"
"65","DeSean Jackson (FA)","1","2","16","16.0","16","0","0","0","0","0","0","1","1.6","1.6","1.0%"
"66","Parris Campbell (NYG)","2","5","15","7.5","11","0","0","1","1","0","0","1","1.6","1.6","2.5%"
"67","Tom Kennedy (DET)","1","4","16","16.0","16","0","0","0","0","0","0","1","1.6","1.6","0.0%"
