"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Nick Folk (TEN)","5","5","100.0","52","0","0","1","3","1","1","1","1","21.0","21.0","33.1%"
"2","Younghoe Koo (ATL)","3","3","100.0","41","0","0","2","1","0","4","4","1","14.0","14.0","52.5%"
"3","Chase McLaughlin (TB)","3","3","100.0","46","0","1","1","1","0","1","1","1","11.0","11.0","5.1%"
"4","Jason Myers (SEA)","2","2","100.0","51","0","0","1","0","1","3","3","1","11.0","11.0","53.9%"
"5","Tyler Bass (BUF)","2","2","100.0","42","0","0","1","1","0","3","3","1","10.0","10.0","59.2%"
"6","Michael Badgley (DET)","2","2","100.0","42","0","1","0","1","0","3","3","1","10.0","10.0","0.0%"
"7","Ryan Succop (FA)","3","3","100.0","31","0","1","2","0","0","1","1","1","10.0","10.0","0.0%"
"8","Eddy Pineiro (CAR)","2","3","66.7","42","0","0","1","1","0","2","3","1","9.0","9.0","5.8%"
"9","Justin Tucker (BAL)","2","3","66.7","30","0","1","1","0","0","3","3","1","9.0","9.0","93.6%"
"10","Matt Prater (ARI)","2","2","100.0","44","0","0","1","1","0","2","2","1","9.0","9.0","8.8%"
"11","Graham Gano (NYG)","2","2","100.0","45","0","0","1","1","0","1","1","1","8.0","8.0","11.8%"
"12","Jason Sanders (MIA)","1","1","100.0","45","0","0","0","1","0","4","4","1","8.0","8.0","63.5%"
"13","Cade York (NYG)","1","2","50.0","55","0","0","0","0","1","3","3","1","8.0","8.0","0.1%"
"14","Robbie Gould (FA)","1","1","100.0","29","0","1","0","0","0","4","4","1","7.0","7.0","0.1%"
"15","Nick Sciba (FA)","2","2","100.0","38","0","1","1","0","0","1","1","1","7.0","7.0","0.0%"
"16","Brett Maher (FA)","0","0","0","0","0","0","0","0","0","7","7","1","7.0","7.0","2.8%"
"17","Wil Lutz (DEN)","1","2","50.0","37","0","0","1","0","0","3","3","1","6.0","6.0","15.3%"
"18","Cairo Santos (CHI)","1","1","100.0","36","0","0","1","0","0","2","2","1","5.0","5.0","6.5%"
"19","Mason Crosby (LAR)","1","2","50.0","38","0","0","1","0","0","2","2","1","5.0","5.0","0.1%"
"20","Ka'imi Fairbairn (HOU)","1","1","100.0","43","0","0","0","1","0","1","1","1","5.0","5.0","2.4%"
"21","Jake Elliott (PHI)","0","0","0","0","0","0","0","0","0","5","5","1","5.0","5.0","87.2%"
"22","Riley Patterson (DET)","1","1","100.0","37","0","0","1","0","0","2","2","1","5.0","5.0","42.8%"
"23","Joey Slye (WAS)","1","1","100.0","28","0","1","0","0","0","2","2","1","5.0","5.0","1.0%"
"24","Greg Zuerlein (NYJ)","1","2","50.0","28","0","1","0","0","0","2","2","1","5.0","5.0","7.1%"
"25","Randy Bullock (NYG)","1","2","50.0","29","0","1","0","0","0","2","2","1","5.0","5.0","0.1%"
"26","Greg Joseph (MIN)","0","1","0.0","0","0","0","0","0","0","4","5","1","4.0","4.0","5.2%"
"27","Brandon McManus (JAC)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","50.9%"
"28","Matt Gay (IND)","0","0","0","0","0","0","0","0","0","2","2","1","2.0","2.0","51.6%"
"29","Evan McPherson (CIN)","0","1","0.0","0","0","0","0","0","0","1","2","1","1.0","1.0","77.2%"
"30","Rodrigo Blankenship (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"31","Daniel Carlson (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","37.9%"
""
""
