"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","T.J. Hockenson (MIN)","8","12","179","22.4","81","7","2","0","0","0","0","1","31.9","31.9","99.2%"
"2","Mo Alie-Cox (IND)","6","6","85","14.2","34","2","2","0","0","0","0","1","20.5","20.5","0.1%"
"3","Travis Kelce (KC)","9","10","92","10.2","22","1","1","0","0","0","0","1","15.2","15.2","100.0%"
"4","Gerald Everett (LAC)","5","6","61","12.2","18","0","1","0","0","0","0","1","12.1","12.1","34.0%"
"5","Zach Ertz (FA)","6","6","47","7.8","23","1","1","0","0","0","0","1","10.7","10.7","14.2%"
"6","Will Dissly (SEA)","4","4","39","9.8","17","0","1","0","0","0","0","1","9.9","9.9","0.1%"
"7","Chigoziem Okonkwo (TEN)","3","3","38","12.7","23","1","1","0","0","0","0","1","9.8","9.8","30.6%"
"8","Hayden Hurst (CAR)","3","4","27","9.0","19","0","1","0","0","0","0","1","8.7","8.7","3.3%"
"9","Pat Freiermuth (PIT)","7","9","85","12.1","24","1","0","0","0","0","0","1","8.5","8.5","72.6%"
"10","Robert Tonyan (CHI)","2","2","22","11.0","20","1","1","0","0","0","0","1","8.2","8.2","0.1%"
"11","Taysom Hill (NO)","0","0","0","0","0","0","0","5","21","1","0","1","8.1","8.1","77.0%"
"12","Tyler Higbee (LAR)","10","14","73","7.3","12","0","0","0","0","0","0","1","7.3","7.3","44.3%"
"13","Dallas Goedert (PHI)","5","6","72","14.4","26","2","0","0","0","0","0","1","7.2","7.2","82.7%"
"14","Jody Fortson (KC)","1","1","10","10.0","10","0","1","0","0","0","0","1","7.0","7.0","0.0%"
"15","Kylen Granson (IND)","4","4","62","15.5","20","1","0","0","0","0","0","1","6.2","6.2","0.8%"
"16","Noah Fant (SEA)","1","1","2","2.0","2","0","1","0","0","0","0","1","6.2","6.2","1.8%"
"17","Noah Gray (KC)","0","1","0","0","0","0","0","1","1","1","0","1","6.1","6.1","1.1%"
"18","Tyler Conklin (NYJ)","3","5","52","17.3","26","1","0","0","0","0","0","1","5.2","5.2","20.0%"
"19","David Njoku (CLE)","5","7","73","14.6","25","2","0","1","-6","0","1","1","4.7","4.7","90.8%"
"20","Dawson Knox (BUF)","3","6","40","13.3","20","1","0","0","0","0","0","1","4.0","4.0","5.4%"
"21","Adam Trautman (DEN)","3","3","37","12.3","14","0","0","0","0","0","0","1","3.7","3.7","0.4%"
"22","Tommy Tremble (CAR)","3","6","34","11.3","16","0","0","0","0","0","0","1","3.4","3.4","0.1%"
"23","Jelani Woods (IND)","1","1","33","33.0","33","2","0","0","0","0","0","1","3.3","3.3","0.9%"
"24","Juwan Johnson (NO)","3","4","33","11.0","16","0","0","0","0","0","0","1","3.3","3.3","20.9%"
"25","Jordan Akins (CLE)","2","2","33","16.5","30","2","0","0","0","0","0","1","3.3","3.3","0.0%"
"26","Cameron Brate (FA)","4","8","32","8.0","11","0","0","0","0","0","0","1","3.2","3.2","2.0%"
"27","Cade Otton (TB)","3","4","29","9.7","12","0","0","0","0","0","0","1","2.9","2.9","34.1%"
"28","Colby Parkinson (SEA)","2","3","28","14.0","15","0","0","0","0","0","0","1","2.8","2.8","0.1%"
"29","O.J. Howard (FA)","2","5","27","13.5","22","1","0","0","0","0","0","1","2.7","2.7","0.0%"
"30","Dan Arnold (FA)","1","1","26","26.0","26","1","0","0","0","0","0","1","2.6","2.6","0.0%"
"31","Eric Saubert (HOU)","1","2","25","25.0","25","1","0","0","0","0","0","1","2.5","2.5","0.0%"
"32","Kyle Pitts (ATL)","1","4","25","25.0","25","1","0","0","0","0","0","1","2.5","2.5","81.5%"
"33","Darren Waller (NYG)","3","5","24","8.0","13","0","0","0","0","0","0","1","2.4","2.4","62.7%"
"34","George Kittle (SF)","2","4","24","12.0","20","1","0","0","0","0","0","1","2.4","2.4","99.7%"
"35","Trey McBride (ARI)","3","3","24","8.0","11","0","0","0","0","0","0","1","2.4","2.4","80.4%"
"36","Irv Smith Jr. (CIN)","3","4","23","7.7","10","0","0","0","0","0","0","1","2.3","2.3","3.4%"
"37","Trevon Wesco (TEN)","1","2","23","23.0","23","1","0","0","0","0","0","1","2.3","2.3","0.0%"
"38","Daniel Bellinger (NYG)","3","3","23","7.7","12","0","0","0","0","0","0","1","2.3","2.3","0.8%"
"39","Mike Gesicki (NE)","2","4","23","11.5","21","1","0","0","0","0","0","1","2.3","2.3","3.3%"
"40","Parker Hesse (ATL)","1","1","22","22.0","22","1","0","0","0","0","0","1","2.2","2.2","0.0%"
"41","Ko Kieft (TB)","1","1","19","19.0","19","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"42","John Bates (WAS)","4","6","19","4.8","7","0","0","0","0","0","0","1","1.9","1.9","0.1%"
"43","Logan Thomas (WAS)","5","6","19","3.8","6","0","0","0","0","0","0","1","1.9","1.9","53.5%"
"44","Tanner Hudson (CIN)","1","2","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","4.3%"
"45","Mitchell Wilcox (CIN)","1","1","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"46","Harrison Bryant (CLE)","4","6","18","4.5","8","0","0","0","0","0","0","1","1.8","1.8","0.7%"
"47","Cole Kmet (CHI)","3","3","16","5.3","13","0","0","0","0","0","0","1","1.6","1.6","82.2%"
"48","Evan Engram (JAC)","1","1","16","16.0","16","0","0","0","0","0","0","1","1.6","1.6","94.9%"
"49","Mark Andrews (BAL)","2","5","15","7.5","9","0","0","0","0","0","0","1","1.5","1.5","57.4%"
"50","Hunter Henry (NE)","2","4","13","6.5","7","0","0","0","0","0","0","1","1.3","1.3","20.1%"
"51","Kendall Blanton (FA)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"52","Jake Ferguson (DAL)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","87.0%"
"53","Ian Thomas (CAR)","1","3","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"54","Tre' McKitty (BUF)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"55","Austin Hooper (LV)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.3%"
"56","Zach Gentry (CIN)","1","1","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"57","Andrew Beck (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"58","Ross Dwelley (SF)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"59","Charlie Woerner (SF)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"60","Giovanni Ricci (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"61","Tyler Davis (GB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"62","Stephen Sullivan (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"63","Devin Asiasi (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"64","Josiah Deguara (GB)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"65","Quintin Morris (BUF)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"66","Peyton Hendershot (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"67","Austin Allen (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"68","Brock Wright (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"69","Durham Smythe (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.5%"
"70","Mason Schreck (FA)","1","1","0","0.0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"71","Stephen Anderson (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"72","J.P. Holtz (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"73","Dalton Schultz (HOU)","0","3","0","0","0","0","0","0","0","0","0","1","0.0","0.0","80.4%"
"74","Johnny Mundt (MIN)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"75","Chris Manhertz (DEN)","1","1","0","0.0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","C.J. Uzomah (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
""
""
