"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"179","Jason Moore Jr. (FA)","3","4","56","18.7","24","1","0","0","0","0","0","1","5.6","5.6","0.0%"
"180","Alex Erickson (LAC)","3","4","55","18.3","25","1","0","0","0","0","0","17","5.5","0.3","0.0%"
"181","Jaelon Darden (CLE)","6","12","43","7.2","29","1","0","1","11","0","0","9","5.4","0.6","0.0%"
"182","Mike Thomas (FA)","5","11","52","10.4","19","0","0","0","0","0","0","7","5.2","0.7","0.0%"
"183","William Fuller V (FA)","4","8","26","6.5","10","0","0","0","0","0","0","2","4.6","2.3","0.0%"
"184","Trent Taylor (CHI)","2","3","41","20.5","26","1","0","0","0","0","0","4","4.1","1.0","0.0%"
"185","Gunner Olszewski (NYG)","2","3","31","15.5","22","1","0","1","9","0","0","16","4.0","0.3","0.0%"
"186","Greg Dortch (ARI)","3","3","15","5.0","10","0","0","1","24","0","0","5","3.9","0.8","7.1%"
"187","Juwann Winfree (IND)","8","13","58","7.3","12","0","0","0","0","0","1","5","3.8","0.8","0.0%"
"188","Kevin White (FA)","1","5","38","38.0","38","2","0","0","0","0","0","4","3.8","1.0","0.0%"
"189","Curtis Samuel (WAS)","6","9","27","4.5","10","0","0","4","11","0","0","5","3.8","0.8","39.8%"
"190","Willie Snead IV (SF)","4","8","38","9.5","15","0","0","0","0","0","0","7","3.8","0.5","0.0%"
"191","Pharoh Cooper (FA)","4","11","33","8.3","15","0","0","1","3","0","0","8","3.6","0.5","0.0%"
"192","D.J. Montgomery (IND)","3","6","36","12.0","14","0","0","0","0","0","0","2","3.6","1.8","0.0%"
"193","J.J. Arcega-Whiteside (FA)","2","5","36","18.0","23","1","0","0","0","0","0","7","3.6","0.5","0.0%"
"194","Seth Williams (JAC)","1","1","34","34.0","34","2","0","0","0","0","0","1","3.4","3.4","0.0%"
"195","Trenton Irwin (CIN)","2","5","34","17.0","25","1","0","0","0","0","0","5","3.4","0.7","1.9%"
"196","Cody White (SEA)","5","6","33","6.6","11","0","0","0","0","0","0","6","3.3","0.6","0.0%"
"197","Cody Hollister (FA)","4","7","33","8.3","14","0","0","0","0","0","0","3","3.3","1.1","0.0%"
"198","KJ Hill Jr. (FA)","3","3","30","10.0","19","0","0","0","0","0","0","6","3.0","0.5","0.0%"
"199","Jake Kumerow (FA)","2","6","28","14.0","15","0","0","0","0","0","0","7","2.8","0.4","0.0%"
"200","Mike Strachan (CAR)","2","3","26","13.0","16","0","0","0","0","0","0","2","2.6","1.3","0.0%"
"201","Christian Blake (FA)","4","10","25","6.3","8","0","0","0","0","0","0","10","2.5","0.3","0.0%"
"202","Marcus Kemp (FA)","2","5","24","12.0","16","0","0","0","0","0","0","12","2.4","0.2","0.0%"
"203","Tylan Wallace (BAL)","2","6","23","11.5","18","0","0","0","0","0","0","10","2.3","0.2","0.0%"
"204","Dazz Newsome (FA)","2","5","23","11.5","13","0","0","0","0","0","0","3","2.3","0.8","0.0%"
"205","Keith Kirkwood (NO)","3","7","17","5.7","7","0","0","0","0","0","0","3","1.7","0.6","0.1%"
"206","David Sills (DEN)","2","6","17","8.5","12","0","0","0","0","0","0","4","1.7","0.4","0.0%"
"207","Davion Davis (HOU)","1","3","17","17.0","17","0","0","0","0","0","0","2","1.7","0.9","0.0%"
"208","Tyron Billy-Johnson (DAL)","2","5","16","8.0","10","0","0","0","0","0","0","7","1.6","0.2","0.0%"
"209","Frank Darby (ATL)","1","4","14","14.0","14","0","0","0","0","0","0","4","1.4","0.4","0.0%"
"210","Stanley Morgan Jr. (CIN)","2","4","11","5.5","8","0","0","1","3","0","0","11","1.4","0.1","0.0%"
"211","Tyrell Williams (FA)","2","3","14","7.0","7","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"212","Kirk Merritt (FA)","1","3","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"213","Andy Isabella (BUF)","1","1","13","13.0","13","0","0","0","0","0","0","3","1.3","0.4","0.0%"
"214","C.J. Saunders (FA)","2","2","11","5.5","8","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"215","Jaydon Mickens (FA)","2","3","10","5.0","12","0","0","0","0","0","0","12","1.0","0.1","0.0%"
"216","Tarik Black (FA)","1","2","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"217","Marvin Hall (FA)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"218","Tommylee Lewis (FA)","1","2","7","7.0","7","0","0","0","0","0","0","2","0.7","0.4","0.0%"
"219","Miles Boykin (PIT)","1","1","6","6.0","6","0","0","0","0","0","0","2","0.6","0.3","0.0%"
