"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Dallas Cowboys (DAL)","5","1","2","2","1","0","0","1","23.0","23.0","96.5%"
"2","New England Patriots (NE)","2","1","1","1","1","0","0","1","22.0","22.0","29.1%"
"3","San Francisco 49ers (SF)","6","1","0","0","1","0","0","1","15.0","15.0","94.9%"
"4","Buffalo Bills (BUF)","3","1","1","0","0","0","0","1","14.0","14.0","74.0%"
"5","Denver Broncos (DEN)","6","2","0","3","0","0","0","1","14.0","14.0","23.5%"
"6","Indianapolis Colts (IND)","4","2","0","1","0","0","0","1","14.0","14.0","33.2%"
"7","Houston Texans (HOU)","0","2","0","0","0","0","0","1","11.0","11.0","54.5%"
"8","New York Jets (NYJ)","2","1","1","1","0","1","0","1","9.0","9.0","72.7%"
"9","Tampa Bay Buccaneers (TB)","5","0","0","1","0","0","0","1","6.0","6.0","49.0%"
"10","Baltimore Ravens (BAL)","3","1","0","0","0","0","0","1","6.0","6.0","84.7%"
"11","Tennessee Titans (TEN)","3","1","0","0","0","0","0","1","6.0","6.0","8.3%"
"12","Jacksonville Jaguars (JAC)","1","0","0","0","0","0","0","1","5.0","5.0","55.5%"
"13","Washington Commanders (WAS)","5","0","0","0","0","0","0","1","5.0","5.0","18.0%"
"14","Carolina Panthers (CAR)","2","0","1","1","0","0","0","1","5.0","5.0","6.4%"
"15","Los Angeles Rams (LAR)","3","0","0","2","0","0","0","1","4.0","4.0","22.6%"
"16","Cincinnati Bengals (CIN)","1","1","0","0","0","0","0","1","4.0","4.0","19.4%"
"17","Chicago Bears (CHI)","1","1","0","0","0","0","0","1","4.0","4.0","3.9%"
"18","Philadelphia Eagles (PHI)","1","1","0","0","0","0","0","1","4.0","4.0","62.1%"
"19","Minnesota Vikings (MIN)","2","0","1","2","0","0","0","1","4.0","4.0","26.2%"
"20","New Orleans Saints (NO)","3","0","1","2","0","0","0","1","4.0","4.0","60.5%"
"21","Arizona Cardinals (ARI)","2","0","0","0","0","0","0","1","3.0","3.0","1.0%"
"22","Green Bay Packers (GB)","1","0","0","0","0","1","0","1","3.0","3.0","54.0%"
"23","New York Giants (NYG)","2","0","0","1","0","0","0","1","2.0","2.0","6.3%"
"24","Las Vegas Raiders (LV)","3","0","0","0","0","0","0","1","2.0","2.0","9.8%"
"25","Pittsburgh Steelers (PIT)","0","1","1","1","0","0","0","1","2.0","2.0","89.2%"
"26","Detroit Lions (DET)","0","1","0","0","0","0","0","1","2.0","2.0","32.8%"
"27","Los Angeles Chargers (LAC)","0","1","0","0","0","0","0","1","1.0","1.0","30.2%"
"28","Seattle Seahawks (SEA)","1","1","1","1","0","0","0","1","1.0","1.0","22.0%"
"29","Kansas City Chiefs (KC)","2","0","0","1","0","0","0","1","1.0","1.0","72.9%"
"30","Atlanta Falcons (ATL)","0","0","0","0","0","0","0","1","0.0","0.0","49.4%"
"31","Cleveland Browns (CLE)","1","0","0","0","0","0","0","1","0.0","0.0","82.1%"
"32","Miami Dolphins (MIA)","2","0","0","0","0","0","0","1","-2.0","-2.0","91.7%"
""
""
