"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"97","A.J. Green (FA)","2","4","13","6.5","8","0","0","0","0","0","0","1","1.3","1.3","1.0%"
"98","Brandon Powell (MIN)","1","1","10","10.0","10","0","0","1","3","0","0","1","1.3","1.3","1.3%"
"99","Nick Westbrook-Ikhine (TEN)","1","2","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","0.8%"
"100","Russell Gage (TB)","2","2","13","6.5","7","0","0","0","0","0","0","1","1.3","1.3","0.1%"
"101","Robert Woods (HOU)","1","2","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","7.8%"
"102","Shi Smith (TEN)","1","3","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"103","Allen Robinson II (PIT)","1","2","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","1.1%"
"104","Simi Fehoko (FA)","2","3","12","6.0","7","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"105","Jamal Agnew (JAC)","1","1","6","6.0","6","0","0","1","6","0","0","1","1.2","1.2","0.2%"
"106","Andy Isabella (BUF)","1","3","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"107","Mike Williams (LAC)","2","4","10","5.0","6","0","0","0","0","0","0","1","1.0","1.0","18.8%"
"108","DeVante Parker (NE)","1","2","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","2.8%"
"109","Joshua Palmer (LAC)","3","4","5","1.7","5","0","0","1","4","0","0","1","0.9","0.9","25.6%"
"110","Nelson Agholor (BAL)","3","5","28","9.3","17","0","0","0","0","0","1","1","0.8","0.8","0.7%"
"111","Darnell Mooney (CHI)","1","3","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","17.6%"
"112","Trent Sherfield (BUF)","1","2","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.1%"
"113","Zach Pascal (ARI)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"114","Wan'Dale Robinson (NYG)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","6.2%"
"115","Deonte Harty (BUF)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.3%"
"116","George Pickens (PIT)","1","3","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","81.7%"
"117","Jaelon Darden (CLE)","0","0","0","0","0","0","0","1","2","0","0","1","0.2","0.2","0.0%"
"118","Amari Rodgers (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"119","Tutu Atwell (LAR)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","22.0%"
"120","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"121","Miles Boykin (PIT)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"122","Bryan Edwards (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"123","Stanley Morgan Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"124","KaVontae Turpin (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"125","Cam Sims (CAR)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"126","Jalen Guyton (LAC)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","3.4%"
"127","Tylan Wallace (BAL)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"128","Quez Watkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"129","Lawrence Cager (NYG)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"130","Gunner Olszewski (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"131","Jalen Reagor (NE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"132","Tyrie Cleveland (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"133","DeVonta Smith (PHI)","0","4","0","0","0","0","0","0","0","0","0","1","0.0","0.0","98.3%"
"134","James Proche II (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"135","KJ Hamler (IND)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"136","Montrell Washington (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"137","Britain Covey (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"138","Dax Milne (WAS)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"139","Dee Eskridge (SEA)","1","2","0","0.0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"140","Alec Pierce (IND)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.7%"
