"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Mark Andrews (BAL)","9","11","104","11.6","25","1","1","1","3","0","0","1","16.7","16.7","57.4%"
"2","Darren Waller (NYG)","6","8","50","8.3","19","0","1","0","0","0","0","1","11.0","11.0","62.7%"
"3","Mike Gesicki (NE)","4","4","41","10.3","14","0","1","0","0","0","0","1","10.1","10.1","3.3%"
"4","Ross Dwelley (SF)","1","1","38","38.0","38","2","1","0","0","0","0","1","9.8","9.8","0.1%"
"5","Logan Thomas (WAS)","3","5","37","12.3","20","1","1","0","0","0","0","1","9.7","9.7","53.5%"
"6","Irv Smith Jr. (CIN)","5","8","36","7.2","15","0","1","0","0","0","0","1","9.6","9.6","3.4%"
"7","Dallas Goedert (PHI)","5","6","82","16.4","24","1","0","0","0","0","0","1","8.2","8.2","82.7%"
"8","Eric Saubert (HOU)","1","2","22","22.0","22","1","1","0","0","0","0","1","8.2","8.2","0.0%"
"9","Pat Freiermuth (PIT)","4","7","22","5.5","8","0","1","0","0","0","0","1","8.2","8.2","72.6%"
"10","Daniel Bellinger (NYG)","1","1","16","16.0","16","0","1","0","0","0","0","1","7.6","7.6","0.8%"
"11","Zach Ertz (FA)","8","11","75","9.4","16","0","0","0","0","0","0","1","7.5","7.5","14.2%"
"12","Tyler Higbee (LAR)","7","9","71","10.1","18","0","0","0","0","0","0","1","7.1","7.1","44.3%"
"13","Gerald Everett (LAC)","6","10","71","11.8","26","1","0","0","0","0","0","1","7.1","7.1","34.0%"
"14","Travis Kelce (KC)","5","7","51","10.2","19","0","0","0","0","0","0","1","5.1","5.1","100.0%"
"15","Evan Engram (JAC)","7","8","46","6.6","12","0","0","0","0","0","0","1","4.6","4.6","94.9%"
"16","Harrison Bryant (CLE)","3","4","45","15.0","30","2","0","0","0","0","0","1","4.5","4.5","0.7%"
"17","Isaiah Likely (BAL)","4","5","43","10.8","34","2","0","0","0","0","0","1","4.3","4.3","38.8%"
"18","Dawson Knox (BUF)","4","5","41","10.3","15","0","0","0","0","0","0","1","4.1","4.1","5.4%"
"19","Juwan Johnson (NO)","4","7","40","10.0","22","1","0","0","0","0","0","1","4.0","4.0","20.9%"
"20","Tyler Conklin (NYJ)","6","9","40","6.7","13","0","0","0","0","0","0","1","4.0","4.0","20.0%"
"21","David Njoku (CLE)","3","5","32","10.7","15","0","0","0","0","0","0","1","3.2","3.2","90.8%"
"22","Foster Moreau (NO)","3","4","30","10.0","19","0","0","0","0","0","0","1","3.0","3.0","0.1%"
"23","Johnny Mundt (MIN)","2","3","28","14.0","17","0","0","0","0","0","0","1","2.8","2.8","0.0%"
"24","T.J. Hockenson (MIN)","3","7","26","8.7","18","0","0","0","0","0","0","1","2.6","2.6","99.2%"
"25","Brock Wright (DET)","1","1","25","25.0","25","1","0","0","0","0","0","1","2.5","2.5","0.1%"
"26","Hayden Hurst (CAR)","5","7","24","4.8","8","0","0","0","0","0","0","1","2.4","2.4","3.3%"
"27","Pharaoh Brown (NE)","3","5","24","8.0","18","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"28","Tanner Hudson (CIN)","2","3","22","11.0","15","0","0","0","0","0","0","1","2.2","2.2","4.3%"
"29","Kyle Pitts (ATL)","2","3","19","9.5","13","0","0","0","0","0","0","1","1.9","1.9","81.5%"
"30","Austin Hooper (LV)","1","5","19","19.0","19","0","0","0","0","0","0","1","1.9","1.9","0.3%"
"31","Ryan Griffin (FA)","1","1","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"32","Giovanni Ricci (CAR)","1","1","16","16.0","16","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"33","John Bates (WAS)","2","3","15","7.5","9","0","0","0","0","0","0","1","1.5","1.5","0.1%"
"34","Taysom Hill (NO)","0","0","0","0","0","0","0","3","14","0","0","1","1.4","1.4","77.0%"
"35","Kylen Granson (IND)","2","2","14","7.0","8","0","0","0","0","0","0","1","1.4","1.4","0.8%"
"36","Stephen Sullivan (CAR)","1","1","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","0.1%"
"37","Ian Thomas (CAR)","1","3","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"38","Noah Gray (KC)","2","3","12","6.0","11","0","0","0","0","0","0","1","1.2","1.2","1.1%"
"39","Noah Fant (SEA)","2","2","11","5.5","7","0","0","0","0","0","0","1","1.1","1.1","1.8%"
"40","Robert Tonyan (CHI)","2","2","11","5.5","9","0","0","0","0","0","0","1","1.1","1.1","0.1%"
"41","Cameron Brate (FA)","1","2","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","2.0%"
"42","Mo Alie-Cox (IND)","1","3","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.1%"
"43","Dan Arnold (FA)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"44","O.J. Howard (FA)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"45","Quintin Morris (BUF)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"46","Parker Hesse (ATL)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"47","Durham Smythe (MIA)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.5%"
"48","Cade Otton (TB)","1","2","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","34.1%"
"49","Mitchell Wilcox (CIN)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"50","Brevin Jordan (HOU)","2","4","3","1.5","4","0","0","0","0","0","0","1","0.3","0.3","7.6%"
"51","Stephen Anderson (LAC)","1","1","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"52","Albert Okwuegbunam (PHI)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"53","Chris Myarick (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"54","Cole Kmet (CHI)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","82.2%"
"55","Jody Fortson (KC)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"56","Reggie Gilliam (BUF)","2","3","17","8.5","11","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"57","Will Dissly (SEA)","2","2","0","0.0","2","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"58","Tyler Davis (GB)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"59","Ko Kieft (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"60","Connor Heyward (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.5%"
"61","Kenny Yeboah (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"62","Chigoziem Okonkwo (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","30.6%"
"63","Jeremy Ruckert (NYJ)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"64","Jonnu Smith (ATL)","0","3","0","0","0","0","0","0","0","0","0","1","0.0","0.0","18.3%"
"65","Hunter Henry (NE)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","20.1%"
"66","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"67","Andrew Beck (HOU)","0","0","0","0","0","0","0","1","-1","0","0","1","-0.1","-0.1","0.0%"
"68","Dalton Schultz (HOU)","2","4","18","9.0","9","0","0","0","0","0","1","1","-0.2","-0.2","80.4%"
"69","Drew Sample (CIN)","1","1","-4","-4.0","0","0","0","0","0","0","0","1","-0.4","-0.4","0.1%"
""
""
