"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","New England Patriots (NE)","6","1","1","1","1","0","0","1","20.0","20.0","29.1%"
"2","Kansas City Chiefs (KC)","6","2","0","0","1","0","0","1","15.0","15.0","72.9%"
"3","Buffalo Bills (BUF)","4","0","2","3","0","0","0","1","12.0","12.0","74.0%"
"4","Jacksonville Jaguars (JAC)","4","1","3","2","0","0","0","1","12.0","12.0","55.5%"
"5","Baltimore Ravens (BAL)","2","3","0","0","0","0","0","1","11.0","11.0","84.7%"
"6","Miami Dolphins (MIA)","4","0","0","0","0","0","0","1","10.0","10.0","91.7%"
"7","San Francisco 49ers (SF)","0","2","1","1","0","0","0","1","10.0","10.0","94.9%"
"8","Philadelphia Eagles (PHI)","7","0","1","1","0","0","0","1","9.0","9.0","62.1%"
"9","New York Jets (NYJ)","3","0","0","0","0","1","0","1","8.0","8.0","72.7%"
"10","Detroit Lions (DET)","4","0","2","2","0","0","0","1","8.0","8.0","32.8%"
"11","Cincinnati Bengals (CIN)","2","1","0","0","0","0","0","1","8.0","8.0","19.4%"
"12","Denver Broncos (DEN)","2","3","0","0","0","0","0","1","7.0","7.0","23.5%"
"13","Houston Texans (HOU)","1","2","1","1","0","0","0","1","7.0","7.0","54.5%"
"14","Carolina Panthers (CAR)","3","2","0","0","0","0","0","1","7.0","7.0","6.4%"
"15","Las Vegas Raiders (LV)","4","0","1","1","0","0","0","1","7.0","7.0","9.8%"
"16","Los Angeles Chargers (LAC)","2","0","0","1","0","0","0","1","6.0","6.0","30.2%"
"17","Los Angeles Rams (LAR)","0","2","0","0","0","0","0","1","5.0","5.0","22.6%"
"18","Dallas Cowboys (DAL)","0","1","1","1","0","0","0","1","4.0","4.0","96.5%"
"19","Cleveland Browns (CLE)","2","1","0","0","0","0","0","1","4.0","4.0","82.1%"
"20","Pittsburgh Steelers (PIT)","2","0","0","1","0","0","0","1","3.0","3.0","89.2%"
"21","Arizona Cardinals (ARI)","1","1","0","0","0","0","0","1","3.0","3.0","1.0%"
"22","New York Giants (NYG)","4","0","0","0","0","0","0","1","2.0","2.0","6.3%"
"23","Seattle Seahawks (SEA)","2","0","0","0","0","0","0","1","1.0","1.0","22.0%"
"24","Minnesota Vikings (MIN)","0","0","0","0","0","0","0","1","-1.0","-1.0","26.2%"
"25","Tampa Bay Buccaneers (TB)","0","0","1","1","0","0","0","1","-2.0","-2.0","49.0%"
"26","Tennessee Titans (TEN)","0","0","0","0","0","0","0","1","-4.0","-4.0","8.3%"
""
""
