"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","DeVonta Smith (PHI)","8","12","169","21.1","45","8","1","0","0","0","0","1","22.9","22.9","98.3%"
"2","Mack Hollins (ATL)","8","11","158","19.8","60","8","1","0","0","0","0","1","22.0","22.0","0.4%"
"3","Tyler Boyd (CIN)","4","5","105","26.3","56","5","1","0","0","0","0","1","16.5","16.5","49.6%"
"4","Amari Cooper (CLE)","7","11","101","14.4","32","3","1","0","0","0","0","1","16.1","16.1","92.9%"
"5","DeVante Parker (NE)","5","10","156","31.2","40","9","0","0","0","0","0","1","15.6","15.6","2.8%"
"6","Laviska Shenault Jr. (CAR)","2","2","90","45.0","67","5","1","0","0","0","0","1","15.0","15.0","0.1%"
"7","Chris Olave (NO)","9","13","147","16.3","49","5","0","0","0","0","0","1","14.7","14.7","98.4%"
"8","CeeDee Lamb (DAL)","8","12","87","10.9","26","1","1","0","0","0","0","1","14.7","14.7","100.0%"
"9","Zay Jones (JAC)","10","11","85","8.5","16","0","1","1","0","0","0","1","14.5","14.5","23.7%"
"10","A.J. Brown (PHI)","5","10","85","17.0","38","2","1","0","0","0","0","1","14.5","14.5","100.0%"
"11","Isaiah McKenzie (IND)","7","9","76","10.9","27","1","1","1","6","0","0","1","14.2","14.2","0.2%"
"12","Marquise Brown (ARI)","14","17","140","10.0","20","1","0","0","0","0","0","1","14.0","14.0","85.6%"
"13","K.J. Osborn (MIN)","5","8","73","14.6","28","2","1","0","0","0","0","1","13.3","13.3","22.4%"
"14","Romeo Doubs (GB)","8","8","73","9.1","21","1","1","0","0","0","0","1","13.3","13.3","48.4%"
"15","Christian Kirk (JAC)","6","9","72","12.0","35","2","1","0","0","0","0","1","13.2","13.2","86.5%"
"16","Russell Gage (TB)","12","13","87","7.3","15","0","1","0","0","0","1","1","12.7","12.7","0.1%"
"17","DK Metcalf (SEA)","5","12","64","12.8","18","0","1","0","0","0","0","1","12.4","12.4","98.2%"
"18","Cooper Kupp (LAR)","4","6","44","11.0","14","0","0","1","20","1","0","1","12.4","12.4","99.0%"
"19","Adam Thielen (CAR)","6","8","61","10.2","15","0","1","0","0","0","0","1","12.1","12.1","91.4%"
"20","Drake London (ATL)","3","6","54","18.0","30","2","1","0","0","0","0","1","11.4","11.4","82.4%"
"21","Jaylen Waddle (MIA)","4","6","102","25.5","45","5","0","1","9","0","0","1","11.1","11.1","99.4%"
"22","Tre'Quan Smith (DEN)","4","5","105","26.3","48","5","0","0","0","0","0","1","10.5","10.5","0.0%"
"23","Allen Lazard (NYJ)","4","6","45","11.3","26","1","1","0","0","0","0","1","10.5","10.5","10.8%"
"24","Terry McLaurin (WAS)","6","9","102","17.0","45","3","0","0","0","0","0","1","10.2","10.2","90.8%"
"25","Joshua Palmer (LAC)","6","9","99","16.5","45","3","0","0","0","0","0","1","9.9","9.9","25.6%"
"26","Brandon Aiyuk (SF)","3","8","39","13.0","20","1","1","0","0","0","0","1","9.9","9.9","97.6%"
"27","Courtland Sutton (DEN)","8","10","97","12.1","34","2","0","0","0","0","0","1","9.7","9.7","86.9%"
"28","Josh Reynolds (DET)","6","10","96","16.0","26","2","0","0","0","0","0","1","9.6","9.6","11.4%"
"29","Marvin Jones Jr. (FA)","4","7","33","8.3","11","0","1","0","0","0","0","1","9.3","9.3","0.6%"
"30","Tee Higgins (CIN)","5","7","93","18.6","45","3","0","0","0","0","0","1","9.3","9.3","89.4%"
"31","Davante Adams (LV)","5","10","36","7.2","18","0","1","1","-4","0","0","1","9.2","9.2","99.9%"
"32","JuJu Smith-Schuster (NE)","5","8","89","17.8","53","4","0","0","0","0","0","1","8.9","8.9","19.1%"
"33","Robert Woods (HOU)","4","9","85","21.3","41","4","0","0","0","0","0","1","8.5","8.5","7.8%"
"34","Diontae Johnson (PIT)","8","11","84","10.5","16","0","0","0","0","0","0","1","8.4","8.4","80.9%"
"35","Devin Duvernay (BAL)","2","2","25","12.5","21","1","1","2","-2","0","0","1","8.3","8.3","0.1%"
"36","Greg Dortch (ARI)","9","10","80","8.9","30","2","0","0","0","0","0","1","8.0","8.0","7.1%"
"37","Deebo Samuel (SF)","5","8","73","14.6","32","2","0","5","6","0","0","1","7.9","7.9","98.6%"
"38","Tyler Lockett (SEA)","9","11","76","8.4","20","1","0","0","0","0","0","1","7.6","7.6","91.9%"
"39","Mike Williams (LAC)","1","6","15","15.0","15","0","1","0","0","0","0","1","7.5","7.5","18.8%"
"40","Stefon Diggs (BUF)","7","11","74","10.6","28","1","0","0","0","0","0","1","7.4","7.4","100.0%"
"41","Amon-Ra St. Brown (DET)","6","9","73","12.2","30","2","0","0","0","0","0","1","7.3","7.3","100.0%"
"42","Michael Pittman Jr. (IND)","8","9","72","9.0","26","2","0","0","0","0","0","1","7.2","7.2","96.1%"
