"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Gabe Davis (BUF)","3","6","171","57.0","98","8","2","0","0","0","0","1","29.1","29.1","81.3%"
"2","Davante Adams (LV)","3","7","124","41.3","58","7","2","0","0","0","0","1","24.4","24.4","99.9%"
"3","Dyami Brown (WAS)","2","4","105","52.5","75","6","2","0","0","0","0","1","22.5","22.5","0.1%"
"4","Tyler Lockett (SEA)","5","6","104","20.8","40","5","2","0","0","0","0","1","22.4","22.4","91.9%"
"5","Cooper Kupp (LAR)","7","10","125","17.9","75","4","1","1","4","0","0","1","18.9","18.9","99.0%"
"6","Justin Jefferson (MIN)","12","13","154","12.8","31","2","0","0","0","0","0","1","18.3","18.3","99.9%"
"7","Jakobi Meyers (LV)","7","8","111","15.9","24","2","1","0","0","0","0","1","17.1","17.1","79.1%"
"8","Stefon Diggs (BUF)","8","11","102","12.8","41","3","1","0","0","0","0","1","16.2","16.2","100.0%"
"9","Marquise Brown (ARI)","8","10","78","9.8","25","1","1","0","0","0","0","1","13.8","13.8","85.6%"
"10","Amari Cooper (CLE)","7","12","76","10.9","20","1","1","0","0","0","0","1","13.6","13.6","92.9%"
"11","Khalil Shakir (BUF)","3","5","75","25.0","31","4","1","0","0","0","0","1","13.5","13.5","9.3%"
"12","Mike Williams (LAC)","10","13","134","13.4","38","3","0","0","0","0","0","1","13.4","13.4","18.8%"
"13","DK Metcalf (SEA)","5","8","88","17.6","50","4","1","0","0","0","1","1","12.8","12.8","98.2%"
"14","Chris Olave (NO)","4","6","54","13.5","18","0","1","0","0","0","0","1","11.4","11.4","98.4%"
"15","Marvin Jones Jr. (FA)","7","11","104","14.9","37","3","0","0","0","0","0","1","10.4","10.4","0.6%"
"16","Olamide Zaccheaus (PHI)","2","4","39","19.5","20","1","1","0","0","0","0","1","9.9","9.9","0.1%"
"17","Randall Cobb (NYJ)","7","13","99","14.1","35","3","0","0","0","0","0","1","9.9","9.9","0.3%"
"18","Allen Lazard (NYJ)","4","8","35","8.8","17","0","1","0","0","0","0","1","9.5","9.5","10.8%"
"19","Deebo Samuel (SF)","2","9","20","10.0","16","0","1","2","12","0","0","1","9.2","9.2","98.6%"
"20","Josh Reynolds (DET)","6","10","92","15.3","31","3","0","0","0","0","0","1","9.2","9.2","11.4%"
"21","Marquez Valdes-Scantling (KC)","6","8","90","15.0","23","1","0","0","0","0","0","1","9.0","9.0","3.8%"
"22","DeVonta Smith (PHI)","10","11","87","8.7","22","2","0","0","0","0","0","1","8.7","8.7","98.3%"
"23","George Pickens (PIT)","6","8","83","13.8","29","1","0","0","0","0","0","1","8.3","8.3","81.7%"
"24","Mike Evans (TB)","4","8","81","20.3","40","4","0","0","0","0","0","1","8.1","8.1","97.3%"
"25","Alec Pierce (IND)","8","9","81","10.1","17","0","0","0","0","0","0","1","8.1","8.1","2.7%"
"26","Mecole Hardman Jr. (KC)","4","5","73","18.3","36","3","0","1","7","0","0","1","8.0","8.0","1.7%"
"27","Darius Slayton (NYG)","6","7","79","13.2","26","1","0","0","0","0","0","1","7.9","7.9","2.2%"
"28","Devin Duvernay (BAL)","5","7","54","10.8","21","1","0","3","24","0","0","1","7.8","7.8","0.1%"
"29","Terry McLaurin (WAS)","5","6","76","15.2","34","3","0","0","0","0","0","1","7.6","7.6","90.8%"
"30","Braxton Berrios (MIA)","1","1","-1","-1.0","0","0","0","1","15","1","0","1","7.4","7.4","1.6%"
"31","Courtland Sutton (DEN)","5","11","74","14.8","51","4","0","0","0","0","0","1","7.4","7.4","86.9%"
"32","Nick Westbrook-Ikhine (TEN)","2","3","72","36.0","61","4","0","0","0","0","0","1","7.2","7.2","0.8%"
"33","Velus Jones Jr. (CHI)","1","1","9","9.0","9","0","1","0","0","0","0","1","6.9","6.9","0.1%"
"34","Shi Smith (TEN)","4","5","69","17.3","31","3","0","0","0","0","0","1","6.9","6.9","0.0%"
"35","DJ Moore (CHI)","4","8","59","14.8","27","1","0","1","8","0","0","1","6.7","6.7","96.6%"
"36","Nico Collins (HOU)","4","6","65","16.3","23","2","0","0","0","0","0","1","6.5","6.5","92.0%"
"37","Chris Godwin (TB)","6","6","61","10.2","20","1","0","1","2","0","0","1","6.3","6.3","88.5%"
"38","Curtis Samuel (WAS)","6","8","62","10.3","32","2","0","0","0","0","0","1","6.2","6.2","39.8%"
"39","Jalen Reagor (NE)","1","1","1","1.0","1","0","1","0","0","0","0","1","6.1","6.1","0.1%"
"40","Rondale Moore (ARI)","7","8","68","9.7","28","1","0","2","-7","0","0","1","6.1","6.1","21.2%"
"41","Diontae Johnson (PIT)","5","13","60","12.0","23","1","0","0","0","0","0","1","6.0","6.0","80.9%"
"42","Tyreek Hill (MIA)","7","7","47","6.7","13","0","0","2","13","0","0","1","6.0","6.0","100.0%"
"43","Michael Pittman Jr. (IND)","5","8","59","11.8","19","0","0","0","0","0","0","1","5.9","5.9","96.1%"
"44","Brandon Aiyuk (SF)","3","4","58","19.3","24","1","0","0","0","0","0","1","5.8","5.8","97.6%"
"45","Tutu Atwell (LAR)","1","2","54","54.0","54","4","0","0","0","0","0","1","5.4","5.4","22.0%"
"46","KhaDarel Hodge (ATL)","3","5","33","11.0","13","0","0","0","0","0","0","1","5.3","5.3","0.0%"
"47","CeeDee Lamb (DAL)","5","8","53","10.6","16","0","0","0","0","0","0","1","5.3","5.3","100.0%"
"48","Jerry Jeudy (DEN)","3","8","53","17.7","37","2","0","0","0","0","0","1","5.3","5.3","63.9%"
"49","Darnell Mooney (CHI)","2","5","52","26.0","39","2","0","0","0","0","0","1","5.2","5.2","17.6%"
"50","Chase Claypool (MIA)","5","9","50","10.0","20","1","0","0","0","0","0","1","5.0","5.0","2.4%"
"51","Ja'Marr Chase (CIN)","7","12","50","7.1","13","0","0","1","0","0","0","1","5.0","5.0","100.0%"
"52","Donovan Peoples-Jones (DET)","4","7","50","12.5","19","0","0","0","0","0","0","1","5.0","5.0","2.2%"
"53","Jauan Jennings (SF)","2","2","45","22.5","32","2","0","0","0","0","0","1","4.5","4.5","0.7%"
"54","Kalif Raymond (DET)","5","7","45","9.0","20","1","0","0","0","0","0","1","4.5","4.5","1.9%"
"55","Michael Gallup (DAL)","4","5","44","11.0","27","1","0","0","0","0","0","1","4.4","4.4","19.7%"
"56","Ben Skowronek (LAR)","6","8","41","6.8","12","0","0","0","0","0","0","1","4.1","4.1","0.1%"
"57","Isaiah Hodgins (NYG)","4","6","41","10.3","26","1","0","0","0","0","0","1","4.1","4.1","1.1%"
"58","K.J. Osborn (MIN)","5","5","41","8.2","10","0","0","0","0","0","0","1","4.1","4.1","22.4%"
"59","Russell Gage (TB)","2","6","20","10.0","14","0","0","0","0","0","0","1","4.0","4.0","0.1%"
"60","Corey Davis (FA)","2","4","38","19.0","21","1","0","0","0","0","0","1","3.8","3.8","0.1%"
"61","Robert Woods (HOU)","4","8","37","9.3","13","0","0","0","0","0","0","1","3.7","3.7","7.8%"
"62","Drake London (ATL)","4","7","35","8.8","15","0","0","0","0","0","0","1","3.5","3.5","82.4%"
"63","Scott Miller (ATL)","4","7","35","8.8","12","0","0","0","0","0","0","1","3.5","3.5","0.0%"
"64","Marcus Johnson (FA)","3","3","35","11.7","16","0","0","0","0","0","0","1","3.5","3.5","0.0%"
"65","JuJu Smith-Schuster (NE)","3","8","33","11.0","13","0","0","0","0","0","0","1","3.3","3.3","19.1%"
"66","Mike Thomas (FA)","1","3","33","33.0","33","2","0","0","0","0","0","1","3.3","3.3","0.0%"
"67","A.J. Brown (PHI)","3","7","32","10.7","15","0","0","0","0","0","0","1","3.2","3.2","100.0%"
"68","Tyler Boyd (CIN)","3","4","32","10.7","18","0","0","0","0","0","0","1","3.2","3.2","49.6%"
"69","Robbie Chosen (MIA)","1","5","32","32.0","32","2","0","0","0","0","0","1","3.2","3.2","0.1%"
"70","Terrace Marshall Jr. (CAR)","4","4","30","7.5","12","0","0","0","0","0","0","1","3.0","3.0","0.3%"
"71","Romeo Doubs (GB)","3","5","29","9.7","22","1","0","0","0","0","0","1","2.9","2.9","48.4%"
"72","Adam Thielen (CAR)","4","7","27","6.8","13","0","0","0","0","0","0","1","2.7","2.7","91.4%"
"73","Garrett Wilson (NYJ)","3","4","27","9.0","13","0","0","0","0","0","0","1","2.7","2.7","97.3%"
"74","Hunter Renfrow (LV)","4","4","25","6.3","9","0","0","0","0","0","0","1","2.5","2.5","2.3%"
"75","Joshua Palmer (LAC)","3","6","24","8.0","9","0","0","0","0","0","0","1","2.4","2.4","25.6%"
"76","Equanimeous St. Brown (CHI)","2","2","24","12.0","18","0","0","0","0","0","0","1","2.4","2.4","0.1%"
"77","Jaylen Waddle (MIA)","3","4","23","7.7","11","0","0","0","0","0","0","1","2.3","2.3","99.4%"
"78","Parris Campbell (NYG)","2","3","22","11.0","12","0","0","0","0","0","0","1","2.2","2.2","2.5%"
"79","Brandin Cooks (DAL)","4","6","20","5.0","7","0","0","0","0","0","0","1","2.0","2.0","70.5%"
"80","A.J. Green (FA)","3","5","20","6.7","9","0","0","0","0","0","0","1","2.0","2.0","1.0%"
"81","Cedrick Wilson Jr. (MIA)","2","4","20","10.0","11","0","0","0","0","0","0","1","2.0","2.0","0.2%"
"82","Quez Watkins (PHI)","3","4","19","6.3","7","0","0","0","0","0","0","1","1.9","1.9","0.3%"
"83","Amon-Ra St. Brown (DET)","4","6","18","4.5","11","0","0","0","0","0","0","1","1.8","1.8","100.0%"
"84","Ashton Dulin (IND)","1","1","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"85","Richie James Jr. (KC)","2","2","16","8.0","15","0","0","0","0","0","0","1","1.6","1.6","0.1%"
"86","Skyy Moore (KC)","2","3","15","7.5","8","0","0","0","0","0","0","1","1.5","1.5","19.5%"
"87","David Sills (DEN)","2","2","12","6.0","7","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"88","Zay Jones (JAC)","3","8","12","4.0","7","0","0","0","0","0","0","1","1.2","1.2","23.7%"
"89","Allen Robinson II (PIT)","3","5","12","4.0","6","0","0","0","0","0","0","1","1.2","1.2","1.1%"
"90","Jeff Smith (FA)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"91","Miles Boykin (PIT)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"92","Christian Kirk (JAC)","1","3","11","11.0","5","0","0","0","0","0","0","1","1.1","1.1","86.5%"
"93","Elijah Moore (CLE)","1","4","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","42.2%"
"94","KJ Hamler (IND)","1","2","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"95","Tre'Quan Smith (DEN)","1","4","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.0%"
