"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Greg Zuerlein (NYJ)","4","4","100.0","52","0","0","0","2","2","0","0","1","18.0","18.0","7.1%"
"2","Graham Gano (NYG)","3","4","75.0","51","0","0","0","1","2","1","1","1","15.0","15.0","11.8%"
"3","Matt Prater (ARI)","4","4","100.0","49","0","1","1","2","0","0","0","1","14.0","14.0","8.8%"
"4","Cairo Santos (CHI)","3","3","100.0","50","0","0","1","1","1","2","2","1","14.0","14.0","6.5%"
"5","Riley Patterson (DET)","3","3","100.0","23","0","3","0","0","0","3","3","1","12.0","12.0","42.8%"
"6","Brett Maher (FA)","3","4","75.0","44","0","2","0","1","0","2","2","1","12.0","12.0","2.8%"
"7","Eddy Pineiro (CAR)","3","3","100.0","48","0","0","1","2","0","1","1","1","12.0","12.0","5.8%"
"8","Younghoe Koo (ATL)","2","2","100.0","54","0","0","0","1","1","3","3","1","12.0","12.0","52.5%"
"9","Chase McLaughlin (TB)","2","2","100.0","51","0","0","0","1","1","2","2","1","11.0","11.0","5.1%"
"10","Jason Myers (SEA)","3","3","100.0","32","0","1","2","0","0","2","2","1","11.0","11.0","53.9%"
"11","Evan McPherson (CIN)","2","3","66.7","43","0","1","0","1","0","3","3","1","10.0","10.0","77.2%"
"12","Daniel Carlson (LV)","3","3","100.0","35","0","1","2","0","0","1","1","1","10.0","10.0","37.9%"
"13","Nick Folk (TEN)","2","2","100.0","50","0","0","1","0","1","2","2","1","10.0","10.0","33.1%"
"14","Justin Tucker (BAL)","1","1","100.0","56","0","0","0","0","1","4","5","1","9.0","9.0","93.6%"
"15","Matt Gay (IND)","2","2","100.0","40","0","1","0","1","0","2","2","1","9.0","9.0","51.6%"
"16","Ryan Succop (FA)","2","2","100.0","45","0","0","0","2","0","0","0","1","8.0","8.0","0.0%"
"17","Ka'imi Fairbairn (HOU)","2","2","100.0","39","0","1","1","0","0","2","2","1","8.0","8.0","2.4%"
"18","Randy Bullock (NYG)","1","1","100.0","48","0","0","0","1","0","3","3","1","7.0","7.0","0.1%"
"19","Austin Seibert (FA)","1","3","33.3","40","0","0","0","1","0","3","3","1","7.0","7.0","0.0%"
"20","Jake Elliott (PHI)","1","1","100.0","32","0","0","1","0","0","3","3","1","6.0","6.0","87.2%"
"21","Robbie Gould (FA)","1","1","100.0","51","0","0","0","0","1","1","1","1","6.0","6.0","0.1%"
"22","Tyler Bass (BUF)","1","2","50.0","30","0","0","1","0","0","2","2","1","5.0","5.0","59.2%"
"23","Cade York (NYG)","1","1","100.0","34","0","0","1","0","0","2","3","1","5.0","5.0","0.1%"
"24","Chris Boswell (PIT)","1","2","50.0","34","0","0","1","0","0","2","2","1","5.0","5.0","33.2%"
"25","Brandon McManus (JAC)","1","2","50.0","55","0","0","0","0","1","0","0","1","5.0","5.0","50.9%"
"26","Dustin Hopkins (CLE)","1","1","100.0","25","0","1","0","0","0","1","1","1","4.0","4.0","59.2%"
"27","Greg Joseph (MIN)","0","2","0.0","0","0","0","0","0","0","4","4","1","4.0","4.0","5.2%"
"28","Jason Sanders (MIA)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","63.5%"
"29","Matt Ammendola (HOU)","1","2","50.0","26","0","1","0","0","0","0","1","1","3.0","3.0","3.3%"
"30","Wil Lutz (DEN)","0","2","0.0","0","0","0","0","0","0","2","2","1","2.0","2.0","15.3%"
"31","Mason Crosby (LAR)","0","0","0","0","0","0","0","0","0","2","2","1","2.0","2.0","0.1%"
"32","Joey Slye (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
""
""
