"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Rhamondre Stevenson (NE)","19","76","4.0","31","2","2","4","5","15","3.8","0","0","1","21.1","21.1","92.9%"
"2","Kenyan Drake (GB)","10","119","11.9","30","5","1","1","2","8","8.0","0","0","1","18.7","18.7","0.1%"
"3","Breece Hall (NYJ)","20","116","5.8","34","2","1","2","2","5","2.5","0","0","1","18.1","18.1","97.4%"
"4","Deon Jackson (NYG)","12","42","3.5","11","0","1","10","10","79","7.9","0","0","1","18.1","18.1","1.3%"
"5","Kenneth Walker III (SEA)","21","97","4.6","34","3","1","2","3","13","6.5","0","0","1","17.0","17.0","96.4%"
"6","Leonard Fournette (BUF)","21","63","3.0","13","0","0","6","6","38","6.3","1","0","1","16.1","16.1","4.5%"
"7","Christian McCaffrey (SF)","13","69","5.3","17","0","0","7","8","89","12.7","0","0","1","15.8","15.8","100.0%"
"8","Saquon Barkley (NYG)","22","83","3.8","8","0","1","3","3","12","4.0","0","0","1","15.5","15.5","99.9%"
"9","Ezekiel Elliott (NE)","13","81","6.2","14","0","1","1","1","5","5.0","0","0","1","14.6","14.6","56.3%"
"10","Austin Ekeler (LAC)","14","36","2.6","11","0","1","10","16","47","4.7","0","0","1","14.3","14.3","100.0%"
"11","Dalvin Cook (NYJ)","13","77","5.9","53","4","1","1","1","6","6.0","0","0","1","14.3","14.3","23.9%"
"12","Miles Sanders (CAR)","18","71","3.9","13","0","1","1","1","1","1.0","0","0","1","13.2","13.2","51.0%"
"13","Joe Mixon (CIN)","8","45","5.6","10","0","0","4","6","23","5.8","1","0","1","12.8","12.8","98.6%"
"14","Alvin Kamara (NO)","19","99","5.2","24","1","0","6","9","25","4.2","0","0","1","12.4","12.4","98.7%"
"15","Brian Robinson Jr. (WAS)","17","60","3.5","16","0","1","0","0","0","0","0","0","1","12.0","12.0","89.3%"
"16","JaMycal Hasty (NE)","3","57","19.0","61","4","1","1","1","-5","-5.0","0","0","1","11.2","11.2","0.1%"
